V
-30.0 
28.8 
-28.4 
30.6 
-136.2
-134.3
82.2 
28.7 
-39.9 
54.3 
-126.3 
-83.9  
-44.6  
-65.5  
-139.1 
-64.5  
-28.7  
-30.7  
32.8  
-140.8 
-31.5  
-66.8  
41.5  
-34.8  
-44.3  
-143.6 
77.2  
-39.9  
-57.9  
42.3
