Date,Close
20040601,97.9219
20040602,97.8438
20040603,97.8672
20040604,97.7422
20040607,97.8203
20040608,97.7656
20040609,97.6406
20040610,97.625
20040614,97.3828
20040615,97.7188
20040616,97.6328
20040617,97.6875
20040618,97.6875
20040621,97.8125
20040622,97.8125
20040623,97.8594
20040624,97.9375
20040625,97.9453
20040628,97.7266
20040629,97.7969
20040630,98.0469
20040701,98.2109
20040702,98.3984
20040706,98.3906
20040707,98.4141
20040708,98.4531
20040709,98.4766
20040712,98.4844
20040713,98.4141
20040714,98.3594
20040715,98.3359
20040716,98.5469
20040719,98.5156
20040720,98.3047
20040721,98.2109
20040722,98.25
20040723,98.2813
20040726,98.2031
20040727,98.0547
20040728,98.1328
20040729,98.2031
20040730,98.3359
20040802,98.3984
20040803,98.4219
20040804,98.4219
20040805,98.4531
20040806,98.9688
20040809,98.8906
20040810,98.6875
20040811,98.75
20040812,98.7891
20040813,98.8828
20040816,98.8438
20040817,98.9453
20040818,98.9453
20040819,99.0078
20040820,98.9297
20040823,98.8516
20040824,98.8672
20040825,98.8828
20040826,98.9219
20040827,98.9219
20040830,98.9844
20040831,99.0859
20040901,99.125
20040902,99.0234
20040903,98.75
20040907,98.7891
20040908,98.9766
20040909,98.9453
20040910,98.9531
20040913,98.9609
20040914,99.0234
20040915,98.9609
20040916,99.1172
20040917,98.9453
20040920,99.1094
20040921,99.1094
20040922,99.1016
20040923,98.9453
20040924,98.8594
20040927,98.9453
20040928,98.9922
20040929,98.8438
20040930,98.8906
20041001,98.8672
20041004,98.8359
20041005,98.8516
20041006,98.7578
20041007,98.75
20041008,98.9922
20041012,99.0547
20041013,99.1328
20041014,99.2578
20041015,99.1563
20041018,99.1484
20041019,99.1172
20041020,99.1875
20041021,99.1172
20041022,99.1641
20041025,99.1875
20041026,99.1875
20041027,99.0391
20041028,99.0938
20041029,99.1563
20041101,99.0703
20041102,99.1016
20041103,99.1328
20041104,99.0547
20041105,98.7266
20041108,98.6953
20041109,98.6953
20041110,98.6094
20041112,98.6484
20041115,98.5938
20041116,98.5469
20041117,98.6484
20041118,98.6172
20041119,98.5078
20041122,98.4922
20041123,98.4453
20041124,98.3828
20041126,98.3516
20041129,98.3203
20041130,98.4063
20041201,98.4141
20041202,98.3828
20041203,98.5703
20041206,98.6094
20041207,98.5703
20041208,98.6328
20041209,98.6094
20041210,98.6016
20041213,98.5391
20041214,98.5391
20041215,98.5703
20041216,98.5
20041217,98.4688
20041220,98.4453
20041221,98.4688
20041222,98.5
20041223,98.5234
20041227,98.4453
20041228,98.4453
20041229,98.3516
20041230,98.4141
20041231,98.4844
20050103,98.4375
20050104,98.25
20050105,98.2344
20050106,98.2969
20050107,98.2344
20050110,98.2109
20050111,98.2109
20050112,98.2344
20050113,98.2891
20050114,98.1875
20050118,98.1719
20050119,98.1953
20050120,98.2969
20050121,98.3984
20050124,98.3359
20050125,98.2891
20050126,98.2188
20050127,98.1953
20050128,98.2891
20050131,98.2188
20050201,98.2266
20050202,98.1797
20050203,98.1172
20050204,98.2266
20050207,98.1797
20050208,98.1406
20050209,98.3125
20050210,98.2344
20050211,98.1563
20050214,98.125
20050215,98.1172
20050216,98.0078
20050217,98.0625
20050218,97.9844
20050222,97.9844
