 PRN   TOVF   UDREI  UDRE    PRCF    CLKL  NM DNU   TOVL     XLC     YLC     ZLC   EPHML  WAASCORR  IODE    TOA  VC     Lat          Long 
   1   130501   5     3.00    0.10  -0.35  0  0   130445    1.00   -0.62    1.50    0.64   -0.89    43    43984  1    50.140248  -169.116182
   2   130501  14   175.00  -00.00  36.16  1  0   117222   -0.75   -0.38    0.12    0.00    0.00    53    30688  1   -10.627569    55.705182
   3   130501   7     4.50    1.27  -7.31  0  0   130469    2.25   -7.12   -2.12   -5.15   -0.89   103    44016  1    36.879848   157.884024
   4   130501  14   175.00  -00.00   0.00  1  0        0    0.00    0.00    0.00    0.00    0.00  -999        0  0   -36.104340   -81.394478
   5   130501  14   175.00  -00.00  -7.99  1  0   121109   -3.38    2.38   -1.12    0.00    0.00    54    34576  1   -53.338583    50.316448
   6   130501  14   175.00  -00.00 -32.59  1  0   110634    2.25   -4.38    1.50    0.00    0.00    22    24096  1    17.296536    78.409528
   7   130501  14   175.00  -00.00  -7.69  1  0   118326    1.12    0.25    2.88    0.00    0.00    19    31792  1   -52.773706   133.639196
   8   130501   8     5.25    0.27  -0.14  0  0   130470   -0.88   -1.38    0.62    1.03   -0.90    92    44096  1   -10.378293  -167.140322
   9   130501  14   175.00  -00.00 -10.60  1  0   109403    1.75   -1.75    3.88    0.00    0.00    21    22864  1   -36.190390   154.418649
  10   130501   5     3.00    0.27  -0.98  0  0   130408   -0.50   -0.25    0.50    0.27   -0.98    70    43872  1    21.001178   -69.543101
  11   130501   5     3.00    0.12   0.54  0  0   130421   -1.00   -0.75    2.50    2.47   -1.81    58    43888  1    30.518234  -164.259351
  12   130501   6     3.75   -0.27  -0.31  0  0   130450    0.50    2.38    0.12    0.19   -0.78    90    43904  1    45.643719    -8.342378
  13   130501  14   175.00  -00.00   0.42  1  0   124566    1.75    0.12    0.88    0.00    0.00     9    38032  1   -24.159052    30.668999
  14   130497   5     3.00   -0.35  -0.37  0  0   130475   -2.12   -1.12    0.25    1.28   -2.00    26    43936  1    50.498290  -111.985818
  15   130497  14   175.00  -00.00  -0.62  1  0   129995   -1.50    4.25   -2.62    0.00    0.00    24    43440  1    -4.324656     5.352388
  16   130497  14   175.00  -00.00  -2.09  1  0   126431   -0.62   -2.75    0.12    0.00    0.00     1    39888  1   -55.533692  -122.123140
  17   130497   7     4.50    0.35  -2.51  0  0   130463    1.12   -0.75   -0.88   -1.28   -0.88    46    44000  1    56.055924   104.638913
  18   130497   5     3.00   -0.23  -0.98  0  0   130469    1.12   -0.50   -0.75    1.02   -2.22    32    44016  1     1.027207   -57.092297
  19   130497   8     5.25   -0.73  -1.47  0  0   130422    3.25    1.12   -0.88    0.48   -2.68    56    44032  1    52.567841    73.283874
  20   130497  14   175.00  -00.00  -4.36  1  0   129066   -2.12    6.38   -1.12    0.00    0.00    21    42512  1   -44.304771   -12.242931
  21   130497  14   175.00  -00.00  -1.40  1  0   130456   -0.25    0.50   -1.25    0.00    0.00    31    44064  1   -43.967199   -71.163935
  22   130497   5     3.00   -0.23  -2.07  0  0   130456   -1.62    0.00   -1.38    0.03   -2.33    24    44080  1    49.436867  -174.476884
  23   130497  14   175.00  -00.00   0.00  1  0   130470    3.50    2.00   -9.50    0.00    0.00    26    44096  1   -11.439202   177.330320
  24   130497   6     3.75   -0.02   1.95  0  0   130426   -0.12   -2.25    2.88    1.64    0.29   128    43856  1    45.299193    17.625305
  25   130497   5     3.00    0.35  -1.97  0  0   130408    0.25    0.75   -0.38   -0.44   -1.18   105    43872  1    19.295093   -39.993332
  26   130497  14   175.00  -00.00  -1.40  1  0   130421    2.50   -3.88    3.38    0.00    0.00    81    43888  1   -40.035259   -90.526130
  27   130496  14   175.00  -00.00   0.56  1  0   130450   -0.50   -1.62   -0.75    0.00    0.00   103    43904  1   -34.810782  -146.000822
  28   130496  14   175.00  -00.00  -1.77  1  0   130475    4.00    2.75    2.25    0.00    0.00    48    43920  1    17.058862   119.222438
  29   130496  14   175.00  -00.00  -0.70  1  0   122794   -0.25    0.00   -1.00    0.00    0.00    46    36256  1   -31.634510   -14.844202
  30   130496  14   175.00  -00.00   0.84  1  0   121271    3.62    0.88    4.88    0.00    0.00    85    34736  1   -31.841275    96.091677
  31   130496   5     3.00    0.12  -1.81  0  0   130445   -0.25    0.75    0.12   -0.62   -1.07    34    43984  1    13.344068  -102.581100
  32   130496   5     3.00    0.12  -0.56  0  0   130463   -2.50   -0.38    0.00   -0.05   -0.38    88    44000  1    54.914283   -80.553899
 133   130496  14   175.00  -00.00   0.00  1  0   130416    0.00    0.00    0.00    0.00    0.00   157        0  0    -2.665876   -97.982766
 135   130496  10     7.50   -0.50   0.00  0  0   130416    0.00    0.00    0.00    0.00   -0.50   247        0  0     0.011730  -133.001892
 138   130496  10     7.50    0.25   0.00  0  0   130432    0.00    0.00    0.00   -0.00    0.25    51        0  0    -0.004714  -107.330021
