toy,degs
0.0833333333333,3.0
0.166666666667,2.0
0.25,2.2
0.333333333333,4.0
0.416666666667,7.6
0.5,13.0
0.583333333333,16.0
0.666666666667,16.1
0.75,14.0
0.833333333333,10.1
0.916666666667,7.0
1.0,4.5
1.08333333333,3.0
1.16666666667,2.0
1.25,2.2
1.33333333333,4.0
1.41666666667,7.6
1.5,13.0
1.58333333333,16.0
1.66666666667,16.1
1.75,14.0
1.83333333333,10.1
1.91666666667,7.0
2.0,4.5
2.08333333333,3.0
2.16666666667,2.0
2.25,2.2
2.33333333333,4.0
2.41666666667,7.6
2.5,13.0
2.58333333333,16.0
2.66666666667,16.1
2.75,14.0
2.83333333333,10.1
2.91666666667,7.0
3.0,4.5
3.08333333333,3.0
3.16666666667,2.0
3.25,2.2
3.33333333333,4.0
3.41666666667,7.6
3.5,13.0
3.58333333333,16.0
3.66666666667,16.1
3.75,14.0
3.83333333333,10.1
3.91666666667,7.0
4.0,4.5
