Actor,Capability,Position,Salience
Isci Partisi (Avrocu),1.0,8,40
Isci Partisi (AB Karsiti),0.5,4,40
Ingiliz Merkez Bankasi,0.1,5,60
Teknokratlar,0.1,10,40
Sanayiciler,0.1,5,40
Direktorler Enstitusu,0.1,4,40
Finanscilar,0.1,9,60
Muhafazakar AB Karsiti,0.3,1,95
Muhafazakar AB Taraftari,0.3,6,50
