frame,raw_X,raw_Z,kf_X,kf_Z
0,-6.109591588098179,38.8001814032274,-6.109591588098179,38.8001814032274
1,-6.110145767671265,38.696297219459424,-6.109850370014843,38.75167122802034
2,-6.064315818546436,38.247432422551604,-6.094275174710682,38.57863165044559
3,-5.913358577323371,37.32389915344789,-6.041598473579713,38.210920745964685
4,-5.917807879377174,36.64754494852363,-6.0058357029468725,37.773108998668235
5,-5.996318633691223,37.603839792089616,-5.998532549062202,37.68194910501486
6,-6.041514872405513,37.66773544939919,-6.004568513751111,37.62862063185247
7,-6.078704195769641,37.65376984186028,-6.0195171442514175,37.58635489039411
8,-6.006787440289917,37.05817643878921,-6.013902180882877,37.40480638586454
9,-6.129577963486415,37.4377122906206,-6.04074162711778,37.357064151955356
10,-5.986176663586011,36.281938915369565,-6.026689087639864,37.031652312203455
11,-6.120218717483218,36.805315110591756,-6.048742949078671,36.90243466486653
12,-5.992959921148636,35.82389315119254,-6.035389271399589,36.56176659594055
13,-6.179210930229591,36.679724758833956,-6.0696565606011665,36.498531412897286
14,-5.996652554869235,34.6719047612364,-6.053962082978141,35.97522553174866
15,-6.106469326084759,35.88232315330387,-6.066833827528787,35.83954101163499
16,-6.033954687078954,35.61215895964577,-6.0605865755307695,35.6734987213309
17,-6.005978359701468,35.48156462816807,-6.049122768047828,35.51474581496253
18,-5.9599838105496,35.1922843637463,-6.029519382949512,35.32664480828395
19,-5.980172646551312,35.2485281087265,-6.017894167824408,35.19056010003712
20,-5.977932468189875,35.074945328565384,-6.007917778438856,35.046972981763986
21,-5.968314761351676,34.68368773447483,-5.997733801561656,34.85106652136537
22,-5.92249167824249,34.24605333886703,-5.979812798811905,34.60297616981274
23,-5.933108496655842,34.02889400831544,-5.9672921648769135,34.3581278174772
24,-5.923084028382588,33.86900368048736,-5.954987652680703,34.127831860028785
25,-5.903483072456234,33.787457838218955,-5.940935752154132,33.925493080210956
26,-5.871582228559791,32.38846735575318,-5.922991862453106,33.48183643312221
27,-5.975755999135973,33.24738563675112,-5.928928405824732,33.28847402849101
28,-6.026690432910669,33.10853212746928,-5.944122294281893,33.105542858019255
29,-6.095727346104594,32.91640142279129,-5.970520261274497,32.92083241434888
30,-6.2130707509252305,32.241124128343024,-6.015601702455581,32.6405807151296
31,-5.946709920156328,31.92923846006694,-6.001939140613371,32.35111944092825
32,-6.0642377037194874,32.42200164437672,-6.013103167603392,32.20897779011308
33,-6.007506890481479,32.06622422283137,-6.01165309862922,32.027541296798965
34,-5.955267655904473,30.796798579076345,-6.000488536861922,31.63896674617377
35,-5.93712838299028,30.363223929384088,-5.987660257565933,31.235527408770917
36,-5.998425524151485,31.17474294094749,-5.9884776801660795,31.055420118147804
37,-5.954362340200072,30.74795723831334,-5.980906940495615,30.829689038923487
38,-5.977843167676394,29.707952290618042,-5.978976777032206,30.450289090961306
39,-6.094919590065936,29.9324413525414,-5.999347520139189,30.178624079915952
40,-5.9634333295382875,28.835216491591268,-5.992023247241834,29.750771556648502
41,-6.08137647245147,29.913013764829493,-6.00786214056593,29.597139153142866
42,-5.986144099741451,28.44832002245808,-6.003556067343368,29.201688083853448
43,-5.927878728180838,28.61815724453702,-5.989093885146522,28.905813802985428
44,-6.10218926888924,28.87498162462273,-6.0092151956019055,28.7104062228827
45,-6.1533923960556205,28.83229128089147,-6.035770512887972,28.54448972611496
46,-6.056617176316156,28.274173508803266,-6.040357636769762,28.308087436994686
47,-6.158405088467088,28.17925285477915,-6.0630264979980515,28.097587469848325
48,-5.9073367386485245,27.076682599826825,-6.035849359846961,27.722990172882074
49,-5.954150162311117,26.794191968396756,-6.0213906288491055,27.360714232444636
50,-6.12588027369,27.16682233338449,-6.040755737274294,27.129772786468482
51,-6.209914041364355,27.26956746664524,-6.072641098679432,26.96053729537532
52,-6.134624556303015,25.70014102339242,-6.08579562965442,26.535905759295716
53,-6.116964535306337,25.485651884047297,-6.09363552460756,26.143901039405957
54,-6.038948286578241,25.0564884424221,-6.085865883230198,25.740335844230227
55,-6.255642019040808,26.084626333477964,-6.118985756741005,25.594814666505364
56,-6.360651594330013,24.897560559093854,-6.166284462639466,25.26160323205895
57,-6.428614804038943,24.79579551050333,-6.218770156966365,24.968250020722362
58,-6.313602423161641,23.86541050410782,-6.242036718191155,24.556807394849685
59,-6.289996172634916,23.518667121733607,-6.257221466471048,24.15227045527818
60,-6.291212330391136,23.256399632656446,-6.270080553438162,23.769271129729272
61,-6.501648382605487,24.256531454540788,-6.3192992456944665,23.636070419560784
62,-6.090684371147037,22.579701844740978,-6.28551198414857,23.224498965594357
63,-6.239090208076433,22.652496900802863,-6.283702208619417,22.897032221152696
64,-6.2820036683899065,21.95444387883099,-6.289763415134453,22.499946549126282
65,-6.398722879108954,22.044545879892826,-6.316030854843748,22.18816074618478
66,-6.2296069589836245,21.960643917729364,-6.307120879230649,21.91706620652969
67,-6.438410312373147,21.857310291214574,-6.337507574214513,21.676991433969413
68,-6.222341982974118,21.526223852896276,-6.323509866125384,21.42154997212843
69,-6.398384319524148,21.286158010110274,-6.343565455975463,21.16967118340398
70,-6.418591157582328,20.7563311613051,-6.3640409069913515,20.867767006700152
71,-6.428761285096294,20.49123598318496,-6.383021102018709,20.57180031247908
