Date,VTI,BND
2007-01-03,50.498413,
2007-01-04,50.599426,
2007-01-05,50.198906,
2007-01-08,50.382931,
2007-01-09,50.382931,
2007-01-10,50.494793,
2007-01-11,50.877274,
2007-01-12,51.21286,
2007-01-16,51.115406,
2007-01-17,51.151501,
2007-01-18,50.877274,
2007-01-19,51.075737,
2007-01-22,50.873657,
2007-01-23,51.017998,
2007-01-24,51.469032,
2007-01-25,50.891715999999995,
2007-01-26,50.859241,
2007-01-29,50.870052,
2007-01-30,51.162327000000005,
2007-01-31,51.534,
2007-02-01,51.829865000000005,
2007-02-02,51.894825,
2007-02-05,51.956165000000006,
2007-02-06,51.959773999999996,
2007-02-07,52.129356,
2007-02-08,52.064423,
2007-02-09,51.671101,
2007-02-12,51.487064000000004,
2007-02-13,51.923683000000004,
2007-02-14,52.270058,
2007-02-15,52.280891,
2007-02-16,52.316994,
2007-02-20,52.472145,
2007-02-21,52.493805,
2007-02-22,52.475761,
2007-02-23,52.30616,
2007-02-26,52.237602,
2007-02-27,50.29995,
2007-02-28,50.696835,
2007-03-01,50.552532,
2007-03-02,49.830864,
2007-03-05,49.253525,
2007-03-06,50.083431,
2007-03-07,50.043762,
2007-03-08,50.46233,
2007-03-09,50.48037,
2007-03-12,50.613869,
2007-03-13,49.704552,
2007-03-14,49.95715,
2007-03-15,50.155598,
2007-03-16,49.939133,
2007-03-19,50.509215999999995,
2007-03-20,50.841175,
2007-03-21,51.653065000000005,
2007-03-22,51.681934000000005,
2007-03-23,51.782955,
2007-03-26,51.696346000000005,
2007-03-27,51.489792,
2007-03-28,51.152775,
2007-03-29,51.294128,
2007-03-30,51.265147999999996,
2007-04-02,51.391956,
2007-04-03,51.859413,
2007-04-04,51.913779999999996,
2007-04-05,52.058723,
2007-04-09,52.120346000000005,
2007-04-10,52.26527,44.104209999999995
2007-04-11,51.931892,43.986984
2007-04-12,52.272533,43.981136
2007-04-13,52.446456999999995,43.910725
2007-04-16,52.975529,43.951805
2007-04-17,53.058871999999994,44.063152
2007-04-18,53.10599499999999,44.145222
2007-04-19,53.008148,44.127651
2007-04-20,53.479243999999994,44.11594
2007-04-23,53.37411899999999,44.174538
2007-04-24,53.366924,44.244919
2007-04-25,53.841620999999996,44.209675
2007-04-26,53.859730000000006,44.11594
2007-04-27,53.801745999999994,44.104209999999995
2007-04-30,53.327045,44.250763
2007-05-01,53.446606,44.225471
2007-05-02,53.841620999999996,44.231365000000004
2007-05-03,54.080788,44.202007
2007-05-04,54.240210999999995,44.237232
2007-05-07,54.327187,44.266609
2007-05-08,54.272835,44.272476
2007-05-09,54.464905,44.219597
2007-05-10,53.779999,44.260723
2007-05-11,54.283730000000006,44.202007
2007-05-14,54.120628,44.172676
2007-05-15,53.97569300000001,44.155045
2007-05-16,54.439522,44.172676
2007-05-17,54.309090000000005,44.108051
2007-05-18,54.714946999999995,44.002377
2007-05-21,54.870739,44.0611
2007-05-22,54.86350600000001,43.990631
2007-05-23,54.834515,43.955414000000005
2007-05-24,54.272835,43.94952
2007-05-25,54.537365,43.955414000000005
2007-05-29,54.754787,43.896687
2007-05-30,55.225891000000004,43.937798
2007-05-31,55.31284,43.902557
2007-06-01,55.53751,43.801212
2007-06-04,55.628113,43.848362
2007-06-05,55.34547,43.77763
2007-06-06,54.780167000000006,43.818867
2007-06-07,53.700309999999995,43.512501
2007-06-08,54.435894,43.506617999999996
2007-06-11,54.501125,43.459476
2007-06-12,53.830742,43.247386999999996
2007-06-13,54.671443999999994,43.347527
2007-06-14,55.062808999999994,43.288643
2007-06-15,55.356334999999994,43.506617999999996
2007-06-18,55.26936,43.459476
2007-06-19,55.421562,43.665688
2007-06-20,54.693180000000005,43.453540999999994
2007-06-21,54.964957999999996,43.477146000000005
2007-06-22,54.501125,43.541981
2007-06-25,54.11592099999999,43.65979
2007-06-26,53.675774,43.642101000000004
2007-06-27,54.468773,43.677452
2007-06-28,54.461482999999994,43.618534000000004
2007-06-29,54.337803,43.765831
2007-07-02,54.967125,43.874046
2007-07-03,55.203522,43.785385
2007-07-05,55.174434999999995,43.60804
2007-07-06,55.479983999999995,43.519397999999995
2007-07-09,55.450901,43.566681
2007-07-10,54.690661999999996,43.791267
2007-07-11,55.090763,43.684864000000005
2007-07-12,55.923779,43.625786
2007-07-13,56.09111,43.696728
2007-07-16,56.05107099999999,43.814892
2007-07-17,56.018356000000004,43.761719
2007-07-18,55.891029,43.832638
2007-07-19,56.02561600000001,43.814892
2007-07-20,55.523655000000005,43.939037
2007-07-23,55.632767,43.927212
2007-07-24,54.657906000000004,43.944953999999996
2007-07-25,54.66885,43.986340000000006
2007-07-26,53.373867000000004,44.15773
2007-07-27,52.369873,44.122253
