Date,AMZN,AAPL
2015-08-11,26.372999,25.622792999999998
2015-08-12,26.2955,26.017897
2015-08-13,26.483,25.99758
2015-08-14,26.576,26.180456
2015-08-17,26.761,26.45138
2015-08-18,26.750999,26.30237
2015-08-19,26.646,25.965979
2015-08-20,25.789,25.433157
2015-08-21,24.723499,23.877585999999997
2015-08-24,23.168501000000003,23.281558999999998
2015-08-25,23.318501,23.421535000000002
2015-08-26,25.0385,24.764872
2015-08-27,25.918501000000003,25.494107999999997
2015-08-28,25.900499,25.577648
2015-08-31,25.644501,25.457987
2015-09-01,24.827,24.320097
2015-09-02,25.5275,25.363160999999998
2015-09-03,25.236,24.918395999999998
2015-09-04,24.950001,24.670044
2015-09-08,25.877001,25.356394
2015-09-09,25.8445,24.868721
2015-09-10,26.112,25.415087
2015-09-11,26.472,25.785355
2015-09-14,26.069,26.033703
2015-09-15,26.1185,26.252705
2015-09-16,26.369498999999998,26.282053
2015-09-17,26.943501,25.719879000000002
2015-09-18,27.013,25.613768
2015-09-21,27.4195,26.011126
2015-09-22,26.92,25.602484
2015-09-23,26.803499,25.810192
2015-09-24,26.6875,25.963711
2015-09-25,26.2125,25.898241
2015-09-28,25.202999,25.385735
2015-09-29,24.803499,24.622631
2015-09-30,25.5945,24.902594
2015-10-01,26.035999,24.740032
2015-10-02,26.627001,24.92065
2015-10-05,27.184,25.01096
2015-10-06,26.874001,25.130619
2015-10-07,27.097,25.01096
2015-10-08,26.658001000000002,24.721972
2015-10-09,26.99,25.313494
2015-10-12,27.509501,25.196087
2015-10-13,27.445,25.238989
2015-10-14,27.241501,24.882271
2015-10-15,28.122,25.254793
2015-10-16,28.538,25.06966
2015-10-19,28.657498999999998,25.225445
2015-10-20,28.044001,25.686011999999998
2015-10-21,27.7885,25.683756
2015-10-22,28.195498999999998,26.076598999999998
2015-10-23,29.9515,26.884871
2015-10-26,30.4305,26.026932000000002
2015-10-27,30.550501,25.862114000000002
2015-10-28,30.855,26.927759000000002
2015-10-29,31.327499,27.212234000000002
2015-10-30,31.295,26.979689
2015-11-02,31.4175,27.358982
2015-11-03,31.265499,27.672804
2015-11-04,32.047501000000004,27.544115
2015-11-05,32.782501,27.417139000000002
