0,mag,lat,lon,rad,ago
2020-12-26 02:09:11.999,4.6,-19.2232,167.6153,10.0,40
2020-12-26 02:37:25.754,4.7,-18.9892,167.4585,10.0,40
2020-12-26 02:52:12.427,4.5,-17.4495,-71.2517,63.84,40
2020-12-26 03:08:25.505,4.5,6.6326,126.0676,123.04,40
2020-12-26 05:19:26.724,4.7,-46.0849,-75.9128,10.0,40
2020-12-26 06:18:04.412,4.6,-23.169,-66.4698,217.29,40
2020-12-26 07:00:34.082,4.6,-32.5379,-177.5613,10.0,40
2020-12-26 07:37:10.035,4.5,-22.5617,-66.0796,235.27,40
2020-12-26 10:03:41.114,4.6,43.7259,147.8418,45.14,40
2020-12-26 10:49:29.115,5.1,-10.843,166.3166,146.02,40
2020-12-26 12:15:16.798,4.9,-0.2665,125.1326,57.65,40
2020-12-26 12:53:50.269,4.8,22.4689,142.8915,178.12,40
2020-12-26 13:28:35.517,5.2,40.1473,71.6553,19.99,40
2020-12-26 15:25:59.114,4.8,-19.0968,167.5103,10.0,40
2020-12-26 17:19:09.417,4.5,16.0246,92.9758,10.0,40
2020-12-26 19:29:09.545,4.5,-24.6356,179.63,501.09,40
2020-12-26 21:52:33.383,4.8,-18.4025,168.4335,53.37,40
2020-12-26 21:54:23.084,4.7,14.6752,-93.9379,10.97,40
2020-12-26 22:42:58.426,4.5,37.5232,143.8807,10.0,40
2020-12-27 00:48:15.074,4.5,27.3034,96.9396,10.0,41
2020-12-27 01:20:16.073,4.9,-52.4773,26.5861,10.0,41
2020-12-27 02:32:42.409,4.9,-11.3718,-73.3054,10.0,41
2020-12-27 04:16:44.957,4.6,27.2602,139.8111,540.95,41
2020-12-27 05:32:08.663,5.4,-4.6093,153.2333,59.29,41
2020-12-27 05:39:48.891,4.5,-4.5021,153.2276,10.0,41
2020-12-27 09:37:32.897,5.5,38.4563,39.2302,9.0,41
2020-12-27 10:11:10.861,5.7,-16.0229,-74.3084,39.0,41
2020-12-27 16:13:07.343,4.6,-25.175,-177.3805,144.85,41
2020-12-27 16:15:50.497,4.8,-47.557,99.9673,10.0,41
2020-12-27 16:55:20.870,5.1,-19.0736,-69.412,109.89,41
2020-12-27 18:16:26.278,5.4,-18.9494,167.3738,10.0,41
2020-12-27 21:23:12.925,4.6,8.3677,58.7724,10.0,41
2020-12-27 21:57:15.207,4.7,-36.0615,179.6396,40.61,41
2020-12-27 23:16:30.888,4.5,-9.0831,-109.3102,10.0,41
2020-12-28 00:39:14.785,6.7,-39.3384,-74.9874,10.0,42
2020-12-28 00:45:13.131,4.8,-39.7089,-75.0785,10.0,42
2020-12-28 00:46:59.081,5.0,-39.8451,-75.2256,10.0,42
2020-12-28 01:19:09.266,4.5,-39.2053,-74.9569,10.0,42
2020-12-28 03:09:01.822,4.6,-39.2571,-75.1188,10.0,42
2020-12-28 04:30:59.438,4.7,-4.9988,68.2989,10.0,42
2020-12-28 07:30:25.226,5.1,-47.5761,99.9793,10.0,42
2020-12-28 07:32:20.110,5.7,-47.4975,99.9517,10.0,42
2020-12-28 07:46:17.622,5.0,4.5718,126.8416,96.27,42
2020-12-28 07:53:56.029,4.5,-47.6932,100.1086,10.0,42
2020-12-28 08:28:07.913,4.8,45.4413,16.1877,10.0,42
2020-12-28 08:46:46.733,5.4,14.2178,56.7917,10.0,42
2020-12-28 09:08:39.959,4.7,-20.1832,67.7738,10.0,42
2020-12-28 09:25:06.418,4.9,-47.6755,100.1811,10.0,42
2020-12-28 10:31:11.208,5.1,-0.1948,124.5013,50.61,42
2020-12-28 10:56:06.354,4.7,-30.2789,-177.6281,33.12,42
2020-12-28 11:25:34.648,4.6,18.7062,-60.6114,10.0,42
2020-12-28 13:23:43.623,4.5,2.2903,126.71,52.01,42
2020-12-28 13:46:36.670,4.7,-20.4042,67.909,10.0,42
2020-12-28 14:53:48.375,4.6,7.8449,-37.1231,10.0,42
2020-12-28 15:46:09.409,4.7,33.7644,104.5157,10.0,42
2020-12-28 16:43:32.767,4.5,13.9939,120.6997,154.22,42
2020-12-28 22:23:21.550,4.7,33.1914,135.7922,441.93,42
2020-12-28 23:03:26.927,5.0,-11.3759,166.3599,51.78,42
2020-12-29 02:34:07.254,5.0,-6.5548,154.9039,35.0,43
2020-12-29 03:31:53.221,4.9,56.1636,114.1564,10.0,43
2020-12-29 03:37:03.593,4.6,-10.3351,120.251,35.0,43
2020-12-29 04:46:25.656,4.5,4.8575,127.057,47.42,43
2020-12-29 06:54:39.261,4.6,13.1837,-90.802,35.0,43
2020-12-29 09:06:49.629,4.9,-6.5692,154.8293,10.0,43
2020-12-29 09:13:37.216,5.1,-6.495,154.6909,10.0,43
2020-12-29 09:19:04.705,5.0,-6.4549,154.6586,10.0,43
2020-12-29 09:23:29.619,5.3,-6.4016,154.6568,22.54,43
2020-12-29 10:10:29.079,5.7,43.389,-126.9951,10.0,43
2020-12-29 11:06:09.922,4.9,34.7091,24.0697,10.0,43
2020-12-29 11:08:50.773,4.5,41.5824,142.0966,65.44,43
2020-12-29 12:23:06.755,4.9,-6.5165,154.6822,10.0,43
2020-12-29 12:41:35.775,4.5,55.8848,-149.7875,10.0,43
2020-12-29 13:08:35.481,4.8,2.7743,127.2958,57.77,43
2020-12-29 13:09:51.670,4.7,-10.6681,161.5988,23.36,43
2020-12-29 14:19:54.766,6.4,45.4246,16.2578,10.0,43
2020-12-29 14:23:46.168,4.9,45.3897,16.2381,10.0,43
2020-12-29 14:29:05.687,4.5,45.3665,16.2696,10.0,43
2020-12-29 15:58:12.300,4.5,-39.4505,-74.9519,10.0,43
2020-12-29 17:36:56.473,4.6,45.1886,11.0546,10.0,43
2020-12-29 19:21:48.128,5.3,5.2624,125.2967,35.0,43
2020-12-29 19:45:13.409,4.5,5.1557,125.3588,45.84,43
2020-12-29 20:05:22.263,4.8,5.1959,125.2661,48.21,43
2020-12-29 20:31:59.201,4.6,-34.3785,-70.8291,92.47,43
2020-12-29 21:26:27.058,4.5,4.8876,-82.8233,10.0,43
2020-12-29 22:29:27.598,4.8,-39.3139,-72.0545,107.55,43
2020-12-30 02:34:57.555,5.8,-0.7687,-21.111,10.0,44
2020-12-30 03:35:28.415,5.2,36.4874,140.5804,49.97,44
2020-12-30 03:39:21.709,4.5,38.3977,21.9991,10.0,44
2020-12-30 03:58:06.392,4.6,4.5266,125.7779,163.75,44
2020-12-30 06:22:18.334,4.5,54.666,-159.6861,27.34,44
2020-12-30 07:31:48.476,4.6,38.1431,-26.3921,10.0,44
2020-12-30 08:33:43.546,5.0,34.741,72.9466,10.0,44
2020-12-30 09:18:09.484,4.5,-18.1104,-177.909,630.19,44
2020-12-30 14:03:09.490,4.5,-6.7969,126.6763,422.97,44
2020-12-30 19:44:06.250,4.6,-21.8109,-179.3291,593.04,44
2020-12-30 22:10:20.656,4.8,-2.3988,127.4859,16.42,44
2020-12-30 22:36:05.266,4.5,-6.8738,147.6965,68.44,44
2020-12-30 23:29:33.321,4.5,-6.6907,127.4441,393.38,44
2020-12-31 00:27:32.633,4.6,7.6359,126.9172,53.27,45
2020-12-31 00:58:16.073,4.7,-1.2508,-13.6612,10.0,45
2020-12-31 02:03:00.251,4.6,5.1231,125.2581,54.13,45
2020-12-31 05:28:49.503,4.6,-17.0503,-74.058,30.94,45
2020-12-31 05:33:13.778,4.7,-6.246,103.8908,35.0,45
2020-12-31 05:51:18.093,4.5,-23.5981,-179.7601,581.64,45
