Date,Open,High,Low,Close,Volume,Adj Close
2007-12-28 00:00:00,94.45,94.97,93.53,94.1,2098800,94.1
2007-12-27 00:00:00,94.06,94.47,93.79,93.93,2412200,93.93
2007-12-26 00:00:00,95.08,95.08,93.86,94.8,3023300,94.8
2007-12-24 00:00:00,94.01,95.65,94.01,95.55,1216700,95.55
2007-12-21 00:00:00,93.23,94.81,93.23,94.36,2924900,94.35
2007-12-20 00:00:00,93.18,93.36,91.61,92.7,3659000,92.69
2007-12-19 00:00:00,93.6,93.7,92.54,92.8,3125100,92.79
2007-12-18 00:00:00,93.53,94.28,92.02,93.72,5318000,93.71
2007-12-17 00:00:00,92.29,93.68,92.21,92.76,6385700,92.75
2007-12-14 00:00:00,93.84,94.27,92.81,93.18,2844200,93.17
2007-12-13 00:00:00,94.48,95.3,93.62,94.75,3995900,94.74
2007-12-12 00:00:00,96.8,98.14,94.08,95.3,5626900,95.29
2007-12-11 00:00:00,98.77,99.26,95.31,95.4,5957100,95.3
2007-12-10 00:00:00,98.94,98.95,98.01,98.65,1234200,98.55
2007-12-07 00:00:00,98.27,98.98,97.89,98.78,3538300,98.68
2007-12-06 00:00:00,97.48,98.46,94.08,98.15,3536000,98.05
2007-12-05 00:00:00,97.7,98.47,97.04,98.0,3863900,97.9
2007-12-04 00:00:00,96.0,97.54,95.35,97.05,3667900,96.95
2007-12-03 00:00:00,96.81,97.55,94.1,96.52,2993500,96.42
2007-11-30 00:00:00,96.13,97.9,96.13,96.98,5953200,96.88
2007-11-29 00:00:00,95.8,96.24,95.04,95.73,4101200,95.63
2007-11-28 00:00:00,94.5,96.9,93.81,96.58,11632900,96.48
2007-11-27 00:00:00,92.93,93.71,92.13,93.35,4654100,93.24
2007-11-26 00:00:00,95.08,95.5,92.0,92.0,5973000,91.78
2007-11-23 00:00:00,93.33,94.82,93.11,94.25,3846800,94.02
2007-11-21 00:00:00,92.31,93.37,91.67,92.4,5996600,92.18
2007-11-20 00:00:00,92.7,94.43,91.38,93.2,16136700,92.98
2007-11-19 00:00:00,93.8,94.15,92.41,92.7,5940500,92.48
2007-11-16 00:00:00,94.84,95.02,93.36,94.76,5950700,94.53
2007-11-15 00:00:00,94.4,95.81,93.91,94.55,5995700,94.3
2007-11-14 00:00:00,96.99,97.28,94.72,94.72,6280200,94.47
2007-11-13 00:00:00,93.92,96.2,93.76,96.2,7253500,95.95
2007-11-12 00:00:00,92.0,94.38,91.72,92.6,8468300,92.35
2007-11-09 00:00:00,93.12,93.3,91.25,91.46,9774700,91.21
2007-11-08 00:00:00,94.84,95.4,92.07,94.15,7980500,93.89
2007-11-07 00:00:00,94.82,96.2,94.27,94.36,8345100,94.1
2007-11-06 00:00:00,95.5,95.7,94.02,95.5,5917000,95.22
2007-11-05 00:00:00,95.1,95.62,94.04,94.85,4584600,94.56
2007-11-02 00:00:00,97.1,97.1,94.9,96.2,6800100,95.91
2007-11-01 00:00:00,98.37,98.37,96.0,96.17,6907100,95.88
2007-10-31 00:00:00,99.52,99.54,97.53,99.1,6998200,98.8
