date,indpro
1950-01-01,14.6888
1950-04-01,15.9221
1950-07-01,17.2018
1950-10-01,17.4986
1951-01-01,17.8510
1951-04-01,17.9066
1951-07-01,17.4800
1951-10-01,17.6006
1952-01-01,18.0086
1952-04-01,17.7490
1952-07-01,18.2682
1952-10-01,19.5758
1953-01-01,19.9652
1953-04-01,20.2435
1953-07-01,20.2620
1953-10-01,19.3069
1954-01-01,18.6948
1954-04-01,18.6206
1954-07-01,18.7134
1954-10-01,19.2327
1955-01-01,20.2713
1955-04-01,21.1522
1955-07-01,21.4768
1955-10-01,21.9868
1956-01-01,22.0703
1956-04-01,21.9776
1956-07-01,21.8570
1956-10-01,22.6545
1957-01-01,22.8678
1957-04-01,22.5803
1957-07-01,22.6638
1957-10-01,21.7086
1958-01-01,20.4846
1958-04-01,20.1415
1958-07-01,21.2079
1958-10-01,22.1630
1959-01-01,23.1367
1959-04-01,24.2588
1959-07-01,23.2665
1959-10-01,23.3778
1960-01-01,24.7873
1960-04-01,24.2495
1960-07-01,23.8508
1960-10-01,23.2758
1961-01-01,22.9234
1961-04-01,23.8322
1961-07-01,24.5926
1961-10-01,25.4550
1962-01-01,25.8352
1962-04-01,26.0856
1962-07-01,26.3638
1962-10-01,26.5863
1963-01-01,27.0778
1963-04-01,27.7919
1963-07-01,27.9773
1963-10-01,28.4503
1964-01-01,28.8398
1964-04-01,29.5167
1964-07-01,29.9896
1964-10-01,30.4440
1965-01-01,31.5939
1965-04-01,32.3265
1965-07-01,33.0034
1965-10-01,33.6711
1966-01-01,34.6355
1966-04-01,35.3588
1966-07-01,35.9059
1966-10-01,36.2490
1967-01-01,36.0493
1967-04-01,35.9024
1967-07-01,36.1493
1967-10-01,37.1167
1968-01-01,37.6465
1968-04-01,38.1540
1968-07-01,38.4501
1968-10-01,39.0340
1969-01-01,39.7934
1969-04-01,39.9670
1969-07-01,40.4467
1969-10-01,40.1932
1970-01-01,39.2194
1970-04-01,39.0037
1970-07-01,38.8640
1970-10-01,38.0239
1971-01-01,38.7570
1971-04-01,39.1080
1971-07-01,39.2286
1971-10-01,40.1379
1972-01-01,41.8394
1972-04-01,42.6410
1972-07-01,43.1810
1972-10-01,44.6907
1973-01-01,45.9572
1973-04-01,46.3304
1973-07-01,46.7350
1973-10-01,47.4306
1974-01-01,47.0105
1974-04-01,47.0496
1974-07-01,46.8453
1974-10-01,44.9815
1975-01-01,42.0081
1975-04-01,41.4549
1975-07-01,42.4691
1975-10-01,43.3964
1976-01-01,44.7325
1976-04-01,45.2989
1976-07-01,45.8953
1976-10-01,46.7122
1977-01-01,47.6780
1977-04-01,49.1480
1977-07-01,49.7017
1977-10-01,50.0198
