# source http://www.census.gov/population/international/data/idb/worldpoptotal.php
1950 	25565
1951 	25938
1952 	26357
1953 	26810
1954 	27292
1955 	27812
1956 	28344
1957 	28905
1958 	29474
1959 	30000
1960 	30424
1961 	30835
1962 	31397
1963 	32095
1964 	32809
1965 	33502
1966 	34205
1967 	34902
1968 	35623
1969 	36372
1970 	37129
1971 	37908
1972 	38673
1973 	39432
1974 	40179
1975 	40905
1976 	41618
1977 	42339
1978 	43060
1979 	43810
1980 	44534
1981 	45363
1982 	46164
1983 	46975
1984 	47778
1985 	48595
1986 	49434
1987 	50298
1988 	51169
1989 	52037
1990 	52911
1991 	53741
1992 	54590
1993 	55414
1994 	56223
1995 	57034
1996 	57838
1997 	58626
1998 	59405
1999 	60179
2000 	60946
2001 	61719
2002 	62490
2003 	63257
2004 	64027
2005 	64799
2006 	65580
2007 	66368
2008 	67152
2009 	67928
