DATE,m2cd,gdp,nonfincred,realest,inflation,irate
1956-07-01,,451.983,297.383,20.6387,,2.75
1956-08-01,,,,20.7118,,2.73
1956-09-01,,,,20.84,,2.95
1956-10-01,,461.278,305.291,20.9734,,2.96
1956-11-01,,,,21.0604,,2.88
1956-12-01,,,,21.1985,,2.94
1957-01-01,,470.57800000000003,309.274,21.2111,,2.84
1957-02-01,,,,21.2389,,3.0
1957-03-01,,,,21.2624,,2.96
1957-04-01,,472.835,318.147,21.2736,,3.0
1957-05-01,,,,21.2595,,3.0
1957-06-01,,,,21.2304,,3.0
1957-07-01,,480.315,323.45099999999996,21.3146,,2.99
1957-08-01,,,,21.413,,3.24
1957-09-01,,,,21.4475,,3.47
1957-10-01,,475.681,329.585,21.4859,,3.5
1957-11-01,,,,21.5226,,3.28
1957-12-01,,,,21.5397,,2.98
1958-01-01,,468.353,330.838,22.4231,,2.72
1958-02-01,,,,22.7674,,1.67
1958-03-01,,,,22.8259,,1.2
1958-04-01,,472.786,336.654,22.8991,,1.26
1958-05-01,,,,23.0368,,0.63
1958-06-01,,,,23.1186,,0.93
1958-07-01,,486.653,342.246,23.3003,,0.68
1958-08-01,,,,23.5152,,1.53
1958-09-01,,,,23.6594,,1.76
1958-10-01,,500.38,352.51599999999996,23.9721,,1.8
1958-11-01,,,,24.2854,,2.27
1958-12-01,,,,24.5366,,2.42
1959-01-01,286.6,511.06300000000005,357.06199999999995,24.9242,,2.48
1959-02-01,287.7,,,25.227,,2.43
1959-03-01,289.2,,,25.4218,,2.8
1959-04-01,290.1,524.241,369.45599999999996,25.7261,,2.96
1959-05-01,292.2,,,26.0187,,2.9
1959-06-01,294.1,,,26.2668,,3.39
1959-07-01,295.2,525.196,378.124,26.4697,,3.47
1959-08-01,296.4,,,26.6349,,3.5
1959-09-01,296.7,,,26.7848,,3.76
1959-10-01,296.5,529.322,389.209,26.9735,,3.98
1959-11-01,297.1,,,27.1343,,4.0
1959-12-01,297.8,,,27.5059,,3.99
1960-01-01,298.2,543.347,393.31199999999995,27.623,1.5099294269999999,3.99
1960-02-01,298.5,,,27.696,,3.97
1960-03-01,299.4,,,27.7862,,3.84
1960-04-01,300.1,542.697,404.51199999999994,27.8319,,3.92
1960-05-01,300.9,,,27.8235,,3.85
1960-06-01,302.3,,,27.7933,,3.32
1960-07-01,304.1,546.012,410.756,27.8032,,3.23
1960-08-01,306.9,,,27.8468,,2.98
1960-09-01,308.4,,,27.9041,,2.6
1960-10-01,309.5,541.063,420.477,27.9869,,2.47
1960-11-01,310.9,,,27.9885,,2.44
1960-12-01,312.4,,,28.1212,,1.98
1961-01-01,314.1,545.9490000000001,423.01599999999996,28.1882,1.075181891,1.45
1961-02-01,316.5,,,28.2445,,2.54
1961-03-01,318.3,,,28.3627,,2.02
1961-04-01,319.9,557.43,433.05199999999996,28.3899,,1.49
1961-05-01,322.2,,,28.4546,,1.98
1961-06-01,324.3,,,28.6988,,1.73
1961-07-01,325.6,568.2280000000001,439.847,28.8611,,1.17
1961-08-01,327.6,,,28.9749,,2.0
1961-09-01,329.5,,,29.0706,,1.88
1961-10-01,331.1,581.624,452.605,29.1484,,2.26
1961-11-01,333.4,,,29.2733,,2.61
1961-12-01,335.5,,,29.548,,2.33
1962-01-01,337.5,595.1759999999999,456.421,29.7869,1.116071429,2.15
1962-02-01,340.1,,,29.9882,,2.37
1962-03-01,343.1,,,30.2195,,2.85
1962-04-01,345.5,602.58,469.346,30.5167,,2.78
1962-05-01,347.5,,,30.8503,,2.36
1962-06-01,349.3,,,31.279,,2.68
1962-07-01,350.8,609.575,478.75,31.6154,,2.71
1962-08-01,352.8,,,31.9034,,2.93
1962-09-01,354.9,,,32.2481,,2.9
1962-10-01,357.2,613.132,492.52,32.6075,,2.9
1962-11-01,359.8,,,32.9728,,2.94
1962-12-01,362.7,,,33.292,,2.93
1963-01-01,365.2,622.679,498.50199999999995,33.6825,1.214128036,2.92
1963-02-01,367.9,,,34.0682,,3.0
1963-03-01,370.7,,,34.3532,,2.98
1963-04-01,373.3,631.835,513.521,34.709,,2.9
1963-05-01,376.1,,,35.1932,,3.0
1963-06-01,378.4,,,35.8523,,2.99
1963-07-01,381.1,644.96,524.011,36.3411,,3.02
1963-08-01,383.6,,,36.7087,,3.49
1963-09-01,386.0,,,37.0748,,3.48
1963-10-01,388.3,654.84,540.367,37.4258,,3.5
1963-11-01,391.5,,,37.7909,,3.48
1963-12-01,393.2,,,38.0828,,3.38
1964-01-01,395.2,671.1489999999999,547.51,38.5125,1.3086150490000001,3.48
1964-02-01,397.6,,,39.0107,,3.48
1964-03-01,399.8,,,39.3606,,3.43
1964-04-01,401.7,680.757,563.882,39.6713,,3.47
1964-05-01,404.2,,,39.9891,,3.5
1964-06-01,407.1,,,40.2639,,3.5
1964-07-01,410.1,692.807,574.871,40.666,,3.42
1964-08-01,413.4,,,41.0241,,3.5
1964-09-01,416.9,,,41.3936,,3.45
1964-10-01,419.1,698.424,591.322,41.7183,,3.36
1964-11-01,422.0,,,42.0462,,3.52
1964-12-01,424.7,,,42.5067,,3.85
1965-01-01,427.5,719.248,601.145,42.8883,1.66846071,3.9
1965-02-01,430.4,,,43.2338,,3.98
1965-03-01,433.2,,,43.6767,,4.04
1965-04-01,435.4,732.3689999999999,619.309,44.1391,,4.09
1965-05-01,437.1,,,44.5438,,4.1
1965-06-01,440.1,,,44.9974,,4.04
1965-07-01,442.9,750.184,631.51,45.4582,,4.09
1965-08-01,445.8,,,45.9554,,4.12
1965-09-01,449.5,,,46.4854,,4.01
1965-10-01,452.6,773.1039999999999,649.65,46.9676,,4.08
1965-11-01,455.7,,,47.435,,4.1
1965-12-01,459.2,,,47.8224,,4.32
1966-01-01,462.0,797.328,661.449,48.3775,2.991000529,4.42
1966-02-01,464.6,,,48.9637,,4.6
1966-03-01,467.2,,,49.4107,,4.65
1966-04-01,469.3,807.153,682.868,49.8439,,4.67
1966-05-01,470.1,,,50.1946,,4.9
1966-06-01,471.2,,,50.7663,,5.17
1966-07-01,470.9,820.798,692.403,51.0945,,5.3
1966-08-01,472.6,,,51.3113,,5.53
1966-09-01,475.4,,,51.6309,,5.4
1966-10-01,475.7,834.8639999999999,706.595,51.9758,,5.53
1966-11-01,477.3,,,52.2246,,5.76
1966-12-01,480.2,,,52.542,,5.4
1967-01-01,481.6,846.046,713.77,52.8101,2.775636083,4.94
1967-02-01,485.1,,,53.0139,,5.0
1967-03-01,489.7,,,53.2514,,4.53
1967-04-01,492.1,851.058,731.6510000000001,53.505,,4.05
1967-05-01,497.2,,,53.7975,,3.94
1967-06-01,502.0,,,54.1712,,3.98
1967-07-01,506.3,866.6139999999999,743.298,54.5249,,3.79
1967-08-01,510.8,,,54.8836,,3.9
1967-09-01,514.7,,,55.3227,,3.99
1967-10-01,518.2,883.201,773.178,55.7795,,3.88
1967-11-01,521.2,,,56.2697,,4.13
1967-12-01,524.8,,,56.8439,,4.51
1968-01-01,527.4,911.135,773.705,57.3534,4.217721097,4.6
1968-02-01,530.4,,,57.9203,,4.71
1968-03-01,533.2,,,58.4912,,5.05
1968-04-01,535.7,936.297,797.85,59.0422,,5.76
1968-05-01,538.9,,,59.5779,,6.11
1968-06-01,542.6,,,60.2492,,6.07
1968-07-01,545.6,952.347,812.919,60.5934,,6.02
1968-08-01,549.4,,,60.833,,6.03
1968-09-01,553.6,,,61.3226,,5.78
1968-10-01,557.6,970.1289999999999,839.3480000000001,62.0005,,5.91
1968-11-01,562.4,,,62.6616,,5.82
1968-12-01,566.8,,,63.2818,,6.02
1969-01-01,569.3,995.419,848.049,63.9303,5.414700472000001,6.3
1969-02-01,571.9,,,64.6501,,6.61
1969-03-01,574.4,,,65.3117,,6.79
1969-04-01,575.7,1011.3610000000001,874.909,65.9054,,7.41
1969-05-01,576.5,,,66.4363,,8.67
1969-06-01,578.5,,,66.7475,,8.9
1969-07-01,579.5,1032.016,890.459,67.1591,,8.61
1969-08-01,580.1,,,67.5101,,9.19
1969-09-01,582.1,,,67.7711,,9.15
1969-10-01,583.4,1040.741,914.056,68.0342,,9.0
1969-11-01,585.4,,,68.2572,,8.85
1969-12-01,587.9,,,68.4205,,8.97
1970-01-01,589.6,1053.528,918.7639999999999,68.9435,5.895295902999999,8.98
1970-02-01,586.3,,,69.2433,,8.98
1970-03-01,587.3,,,69.4233,,7.76
1970-04-01,588.4,1070.11,942.3689999999999,69.5445,,8.1
1970-05-01,591.5,,,69.5922,,7.94
1970-06-01,595.2,,,69.472,,7.6
1970-07-01,599.1,1088.461,959.238,69.6762,,7.21
1970-08-01,604.9,,,69.8874,,6.61
1970-09-01,611.2,,,70.1578,,6.29
1970-10-01,616.4,1091.462,979.1039999999999,70.4831,,6.2
1970-11-01,621.1,,,70.7558,,5.6
1970-12-01,626.5,,,71.3438,,4.9
1971-01-01,632.9,1137.812,992.14,71.7341,4.255928924,4.14
1971-02-01,641.0,,,72.1652,,3.72
1971-03-01,649.9,,,72.8177,,3.71
1971-04-01,658.4,1159.355,1022.64,73.5507,,4.15
1971-05-01,666.7,,,74.296,,4.63
1971-06-01,673.0,,,75.0391,,4.91
1971-07-01,679.6,1180.313,1046.927,76.2853,,5.31
1971-08-01,685.5,,,77.0427,,5.56
1971-09-01,692.5,,,77.9896,,5.55
1971-10-01,698.4,1193.585,1074.708,78.9773,,5.2
1971-11-01,704.6,,,79.8791,,4.91
1971-12-01,710.3,,,79.9843,,4.14
1972-01-01,717.7,1233.807,1095.525,81.2625,3.305614735,3.5
1972-02-01,725.7,,,83.0947,,3.29
1972-03-01,733.5,,,84.4289,,3.83
1972-04-01,738.4,1270.122,1135.65,85.836,,4.17
1972-05-01,743.3,,,87.1949,,4.27
1972-06-01,749.7,,,88.2498,,4.46
1972-07-01,759.5,1293.837,1163.951,89.7955,,4.55
1972-08-01,768.7,,,91.426,,4.8
1972-09-01,778.3,,,92.8494,,4.87
1972-10-01,786.9,1332.023,1205.632,94.2773,,5.04
1972-11-01,793.9,,,95.8342,,5.06
1972-12-01,802.3,,,96.8695,,5.33
1973-01-01,810.3,1380.68,1240.613,98.7011,6.220063864,5.94
1973-02-01,814.1,,,100.4561,,6.58
1973-03-01,815.3,,,102.4606,,7.09
1973-04-01,819.7,1417.595,1288.128,104.3032,,7.12
1973-05-01,826.8,,,105.8163,,7.84
1973-06-01,833.3,,,107.5113,,8.49
1973-07-01,836.5,1436.8129999999999,1328.5079999999998,109.2387,,10.4
1973-08-01,838.8,,,110.9024,,10.5
1973-09-01,839.3,,,112.4848,,10.78
1973-10-01,842.6,1479.069,1364.255,113.9684,,10.01
1973-11-01,848.9,,,115.5313,,10.03
1973-12-01,855.5,,,117.002,,9.95
1974-01-01,859.7,1494.654,1389.477,117.9292,11.03526022,9.65
1974-02-01,864.2,,,119.4011,,8.97
1974-03-01,870.1,,,120.9877,,9.35
1974-04-01,872.9,1534.22,1440.6860000000001,122.7659,,10.51
1974-05-01,874.6,,,124.1513,,11.31
1974-06-01,877.8,,,125.292,,11.93
1974-07-01,881.4,1563.396,1477.918,126.5844,,12.92
1974-08-01,884.1,,,127.3706,,12.01
1974-09-01,887.9,,,127.9814,,11.34
1974-10-01,893.3,1603.004,1510.987,128.6274,,10.06
1974-11-01,898.6,,,129.2202,,9.45
1974-12-01,902.1,,,129.7876,,8.53
1975-01-01,906.3,1619.5529999999999,1519.1979999999999,130.0257,9.131930735,7.13
1975-02-01,914.1,,,130.6318,,6.24
1975-03-01,925.0,,,131.1786,,5.54
1975-04-01,935.1,1656.4479999999999,1545.681,131.6391,,5.49
1975-05-01,947.9,,,131.7233,,5.22
1975-06-01,963.0,,,131.8532,,5.55
1975-07-01,975.1,1713.8120000000001,1571.5339999999999,131.83,,6.1
1975-08-01,983.1,,,131.9313,,6.14
1975-09-01,991.5,,,132.1325,,6.24
1975-10-01,997.8,1765.8670000000002,1605.743,132.863,,5.82
1975-11-01,1006.9,,,133.3819,,5.22
1975-12-01,1016.2,,,134.0939,,5.2
1976-01-01,1026.6,1824.509,1626.26,135.0484,5.737027082999999,4.87
1976-02-01,1040.3,,,136.2984,,4.77
1976-03-01,1050.0,,,137.9788,,4.84
1976-04-01,1060.8,1856.944,1673.9589999999998,139.8826,,4.82
1976-05-01,1072.1,,,140.9549,,5.29
1976-06-01,1077.6,,,141.6213,,5.48
1976-07-01,1086.3,1890.5,1714.503,142.5971,,5.31
1976-08-01,1098.7,,,143.755,,5.29
1976-09-01,1110.8,,,144.7779,,5.25
1976-10-01,1125.0,1938.4129999999998,1765.3570000000002,146.071,,5.02
1976-11-01,1138.2,,,147.2806,,4.95
1976-12-01,1152.0,,,148.5136,,4.65
1977-01-01,1165.2,1992.5339999999999,1808.6329999999998,149.6394,6.486460064,4.61
1977-02-01,1177.6,,,151.6731,,4.68
1977-03-01,1188.5,,,153.6788,,4.69
1977-04-01,1199.6,2060.165,1879.0970000000002,156.0952,,4.73
1977-05-01,1209.0,,,158.592,,5.35
1977-06-01,1217.8,,,160.6562,,5.39
1977-07-01,1226.7,2122.387,1940.832,162.9974,,5.42
1977-08-01,1237.0,,,165.634,,5.9
1977-09-01,1246.2,,,167.5557,,6.14
1977-10-01,1254.0,2168.716,2014.056,170.2452,,6.47
1977-11-01,1262.4,,,172.8184,,6.51
1977-12-01,1270.3,,,175.0673,,6.56
1978-01-01,1279.7,2208.688,2066.465,177.7143,7.647463851,6.7
1978-02-01,1285.5,,,180.32,,6.78
1978-03-01,1292.2,,,183.0011,,6.79
1978-04-01,1300.4,2336.563,2156.9210000000003,185.8235,,6.89
1978-05-01,1310.5,,,188.9707,,7.36
1978-06-01,1318.5,,,192.106,,7.6
1978-07-01,1324.1,2398.866,2231.729,195.0134,,7.81
1978-08-01,1333.5,,,198.3252,,8.04
1978-09-01,1345.0,,,201.099,,8.45
1978-10-01,1352.3,2482.159,2309.006,204.5151,,8.96
1978-11-01,1359.1,,,207.5855,,9.76
1978-12-01,1366.0,,,210.462,,10.03
1979-01-01,1371.6,2531.555,2370.871,211.9456,11.26604409,10.07
1979-02-01,1377.8,,,213.6288,,10.06
1979-03-01,1387.8,,,215.6358,,10.09
1979-04-01,1402.1,2595.909,2468.149,218.0995,,10.01
1979-05-01,1410.2,,,220.5903,,10.24
1979-06-01,1423.0,,,223.9688,,10.29
1979-07-01,1434.8,2670.388,2557.2329999999997,228.0921,,10.47
1979-08-01,1446.6,,,230.9436,,10.94
1979-09-01,1454.1,,,233.9281,,11.43
1979-10-01,1460.4,2730.705,2634.053,236.8872,,13.77
1979-11-01,1465.9,,,239.268,,13.18
1979-12-01,1473.7,,,241.6747,,13.78
1980-01-01,1482.7,2796.5229999999997,2702.887,244.1149,13.50937033,13.82
1980-02-01,1494.6,,,247.048,,14.13
1980-03-01,1499.8,,,248.9923,,17.19
1980-04-01,1502.2,2799.938,2743.985,250.6829,,17.61
1980-05-01,1512.3,,,251.3254,,10.98
1980-06-01,1529.2,,,252.0475,,9.47
1980-07-01,1545.5,2860.0440000000003,2806.035,253.6243,,9.03
1980-08-01,1561.5,,,255.0428,,9.61
1980-09-01,1574.0,,,256.2875,,10.87
1980-10-01,1584.8,2993.525,2888.5,258.4035,,12.81
1980-11-01,1595.8,,,260.6068,,15.85
1980-12-01,1599.8,,,262.2834,,18.9
1981-01-01,1606.9,3131.7990000000004,2935.341,263.7707,10.31553398,19.08
1981-02-01,1618.7,,,265.1531,,15.93
1981-03-01,1636.6,,,266.8392,,14.7
1981-04-01,1659.2,3167.2509999999997,3030.157,268.6235,,15.72
1981-05-01,1664.2,,,271.2572,,18.52
1981-06-01,1670.3,,,273.4038,,19.1
1981-07-01,1681.9,3261.203,3110.547,274.7618,,19.04
1981-08-01,1694.3,,,277.0577,,17.82
1981-09-01,1706.0,,,278.7288,,15.87
1981-10-01,1721.8,3283.5359999999996,3179.651,280.1515,,15.08
1981-11-01,1736.1,,,281.6173,,13.31
1981-12-01,1755.5,,,283.5867,,12.37
1982-01-01,1770.4,3273.809,3226.09,285.4002,6.160616062000001,13.22
1982-02-01,1774.5,,,287.5623,,14.78
1982-03-01,1786.5,,,290.207,,14.68
1982-04-01,1803.9,3331.281,3299.1859999999997,291.8256,,14.94
1982-05-01,1815.4,,,293.82,,14.45
1982-06-01,1826.0,,,295.6466,,14.15
1982-07-01,1831.5,3367.072,3346.5759999999996,295.9582,,12.59
1982-08-01,1845.2,,,297.0876,,10.12
1982-09-01,1858.4,,,297.9524,,10.31
1982-10-01,1869.7,3407.81,3400.835,298.668,,9.71
1982-11-01,1883.7,,,299.2424,,9.2
1982-12-01,1905.9,,,299.653,,8.95
1983-01-01,1959.4,3480.321,3441.223,302.0905,3.2124352330000003,8.68
1983-02-01,1996.8,,,303.1623,,8.51
1983-03-01,2015.2,,,304.3282,,8.77
1983-04-01,2028.6,3583.844,3531.6609999999996,306.2567,,8.8
1983-05-01,2043.1,,,308.3139,,8.63
1983-06-01,2053.5,,,310.8249,,8.98
1983-07-01,2064.8,3692.257,3629.948,314.1926,,9.37
1983-08-01,2074.0,,,317.2201,,9.56
1983-09-01,2083.2,,,320.6919,,9.45
1983-10-01,2099.3,3796.1209999999996,3750.236,324.0551,,9.48
1983-11-01,2112.3,,,327.3763,,9.34
1983-12-01,2123.5,,,330.3526,,9.47
1984-01-01,2138.2,3912.7740000000003,3854.611,333.7075,4.3172690760000005,9.56
1984-02-01,2158.2,,,337.6043,,9.59
1984-03-01,2175.2,,,342.0163,,9.91
1984-04-01,2191.7,4015.0,4011.0959999999995,346.1789,,10.29
1984-05-01,2204.1,,,349.7492,,10.32
1984-06-01,2215.1,,,353.7386,,11.06
1984-07-01,2223.5,4087.3779999999997,4132.872,357.1593,,11.23
1984-08-01,2230.4,,,360.6726,,11.64
1984-09-01,2244.4,,,364.7314,,11.3
1984-10-01,2258.9,4147.606,4292.249,367.6312,,9.99
1984-11-01,2281.4,,,372.3966,,9.43
1984-12-01,2306.4,,,376.2431,,8.38
1985-01-01,2332.4,4237.01,4419.126,379.0098,3.5611164580000003,8.35
1985-02-01,2354.1,,,383.1147,,8.5
1985-03-01,2366.2,,,387.19699999999995,,8.58
1985-04-01,2375.4,4302.2970000000005,4564.642,390.5657,,8.27
1985-05-01,2389.5,,,394.3958,,7.97
1985-06-01,2412.6,,,397.6223,,7.53
1985-07-01,2429.5,4394.563,4699.208,401.1047,,7.88
1985-08-01,2444.0,,,405.2309,,7.9
1985-09-01,2456.4,,,409.7857,,7.92
1985-10-01,2468.0,4453.105,4894.652,414.3685,,7.99
1985-11-01,2477.8,,,418.6494,,8.05
1985-12-01,2492.1,,,422.8856,,8.27
1986-01-01,2502.1,4516.344,4980.713,427.4303,1.8587360590000002,8.14
1986-02-01,2512.9,,,432.0869,,7.86
1986-03-01,2533.1,,,437.0529,,7.48
1986-04-01,2557.8,4555.245,5128.267,441.9288,,6.99
1986-05-01,2584.8,,,446.6988,,6.85
1986-06-01,2605.0,,,451.2366,,6.92
1986-07-01,2626.6,4619.627,5274.804,457.1143,,6.56
1986-08-01,2646.5,,,463.3325,,6.17
1986-09-01,2667.8,,,469.347,,5.89
1986-10-01,2687.4,4669.396,5452.888000000001,473.9191,,5.85
1986-11-01,2701.3,,,479.2582,,6.04
1986-12-01,2728.0,,,490.7561,,6.91
1987-01-01,2743.9,4736.231,5518.736999999999,502.8952,3.740875912,6.43
1987-02-01,2747.5,,,508.4511,,6.1
1987-03-01,2753.7,,,516.5516,,6.13
1987-04-01,2767.7,4821.459,5670.479,524.8563,,6.37
1987-05-01,2772.9,,,532.1434,,6.85
1987-06-01,2774.6,,,541.6842,,6.73
1987-07-01,2779.0,4900.509,5798.518,549.4356,,6.58
1987-08-01,2788.2,,,556.2814,,6.73
1987-09-01,2799.5,,,563.2023,,7.22
1987-10-01,2814.8,5022.67,5903.883000000001,570.741,,7.29
1987-11-01,2818.9,,,577.677,,6.69
1987-12-01,2826.4,,,585.6706,,6.77
1988-01-01,2847.4,5090.615,6018.669,591.5866,4.009088244,6.83
1988-02-01,2870.4,,,595.868,,6.58
1988-03-01,2890.7,,,601.4217,,6.58
1988-04-01,2910.7,5207.707,6188.741,608.9124,,6.87
1988-05-01,2926.0,,,616.1766,,7.09
1988-06-01,2938.4,,,622.752,,7.51
1988-07-01,2947.2,5299.486,6323.015,629.8757,,7.75
1988-08-01,2952.0,,,637.3185,,8.01
1988-09-01,2956.9,,,644.2574,,8.19
1988-10-01,2965.3,5412.713000000001,6483.071,651.4101,,8.3
1988-11-01,2980.2,,,656.8909,,8.35
1988-12-01,2988.2,,,663.0244,,8.76
1989-01-01,2991.7,5527.352,6586.953,676.46,4.82700303,9.12
1989-02-01,2992.2,,,682.9841,,9.36
1989-03-01,2999.7,,,688.8872,,9.85
1989-04-01,3006.0,5628.429,6745.132,698.1887,,9.84
1989-05-01,3011.6,,,704.2457,,9.81
1989-06-01,3027.9,,,711.87,,9.53
1989-07-01,3052.4,5711.556,6852.414000000001,720.4766,,9.24
1989-08-01,3074.4,,,730.5023,,8.99
1989-09-01,3092.5,,,739.1917,,9.02
1989-10-01,3114.1,5763.444,6988.916,745.1729,,8.84
1989-11-01,3133.3,,,752.7053,,8.55
1989-12-01,3152.5,,,759.8708,,8.45
1990-01-01,3166.8,5890.835,7106.245,765.8256,5.39795644,8.23
1990-02-01,3179.2,,,774.6987,,8.24
1990-03-01,3190.1,,,781.6356,,8.28
1990-04-01,3201.6,5974.665,7217.566999999999,788.7064,,8.26
1990-05-01,3200.6,,,797.816,,8.18
1990-06-01,3213.7,,,805.6165,,8.29
1990-07-01,3224.5,6029.504,7307.892,814.293,,8.15
1990-08-01,3242.0,,,819.2591,,8.13
1990-09-01,3254.6,,,823.2711,,8.2
1990-10-01,3259.3,6023.331999999999,7378.233,829.0952,,8.11
1990-11-01,3262.6,,,834.3223,,7.81
1990-12-01,3271.8,,,841.6689,,7.31
1991-01-01,3287.7,6054.866999999999,7373.736999999999,846.6006,4.234963965,6.91
1991-02-01,3304.5,,,851.7793,,6.25
1991-03-01,3321.9,,,857.3303,,6.12
1991-04-01,3332.4,6143.611999999999,7449.022,860.6036,,5.91
1991-05-01,3343.0,,,862.4176,,5.78
1991-06-01,3351.9,,,865.8838,,5.9
1991-07-01,3356.1,6218.425,7460.682,864.5061,,5.82
1991-08-01,3355.0,,,863.7356,,5.66
1991-09-01,3354.9,,,864.3685,,5.45
1991-10-01,3360.1,6279.295999999999,7494.519,865.7518,,5.21
1991-11-01,3365.5,,,867.1155,,4.81
1991-12-01,3372.2,,,868.1127,,4.43
1992-01-01,3381.2,6380.798000000001,7520.588000000001,871.0126,3.028819678,4.03
1992-02-01,3400.0,,,873.3974,,4.06
1992-03-01,3403.9,,,874.6639,,3.98
1992-04-01,3399.7,6492.299,7567.18,881.1461,,3.73
1992-05-01,3398.6,,,881.7419,,3.82
1992-06-01,3393.4,,,879.3974,,3.76
1992-07-01,3393.9,6586.548000000001,7618.349,878.6214,,3.25
1992-08-01,3398.8,,,880.2249,,3.3
1992-09-01,3410.3,,,882.9391,,3.22
1992-10-01,3423.8,6697.553000000001,7689.153,885.7693,,3.1
1992-11-01,3426.5,,,887.0583,,3.09
1992-12-01,3424.7,,,887.8015,,2.92
1993-01-01,3419.1,6748.182,7727.994000000001,886.1302,2.9516569660000003,3.02
1993-02-01,3414.5,,,886.9196,,3.03
1993-03-01,3411.7,,,889.8187,,3.07
1993-04-01,3411.3,6829.594,7838.415,892.7093,,2.96
1993-05-01,3436.9,,,898.1424,,3.0
1993-06-01,3442.4,,,902.3458,,3.04
1993-07-01,3442.0,6904.222,7953.353,904.4387,,3.06
1993-08-01,3445.7,,,907.2959,,3.03
1993-09-01,3452.2,,,910.6906,,3.09
1993-10-01,3456.7,7032.844,8079.098000000001,914.8483,,2.99
1993-11-01,3470.1,,,919.2109,,3.02
1993-12-01,3474.5,,,928.6287,,2.96
1994-01-01,3474.9,7136.259,8184.0740000000005,929.5394,2.607441592,3.05
1994-02-01,3475.7,,,929.5532,,3.25
1994-03-01,3480.1,,,931.8461,,3.34
1994-04-01,3481.3,7269.847,8317.437,935.5198,,3.56
1994-05-01,3490.8,,,939.7677,,4.01
1994-06-01,3479.5,,,944.6684,,4.25
1994-07-01,3488.2,7352.255,8444.121,951.4185,,4.26
1994-08-01,3485.7,,,957.4952,,4.47
1994-09-01,3486.1,,,965.1215,,4.73
1994-10-01,3484.3,7476.661,8613.073,971.2573,,4.76
1994-11-01,3487.2,,,977.7951,,5.29
1994-12-01,3486.4,,,987.8233,,5.45
1995-01-01,3492.4,7545.295999999999,8720.57,996.8274,2.805419689,5.53
