DATE,m2cd,gdp,nonfincred,realest,inflation,irate
1950-01-01,,281.209,,10.882,,
1950-02-01,,,,11.0301,,
1950-03-01,,,,11.1819,,
1950-04-01,,290.735,,11.3294,,
1950-05-01,,,,11.4721,,
1950-06-01,,,,11.6076,,
1950-07-01,,308.51,,11.7702,,
1950-08-01,,,,11.9461,,
1950-09-01,,,,12.1145,,
1950-10-01,,320.32,,12.2836,,
1950-11-01,,,,12.4544,,
1950-12-01,,,,12.6219,,
1951-01-01,,336.37199999999996,,12.7791,,
1951-02-01,,,,12.893,,
1951-03-01,,,,13.0078,,
1951-04-01,,344.455,,13.1077,,
1951-05-01,,,,13.2035,,
1951-06-01,,,,13.2826,,
1951-07-01,,351.774,,13.3717,,
1951-08-01,,,,13.4661,,
1951-09-01,,,,13.5464,,
1951-10-01,,356.579,,13.6351,,
1951-11-01,,,,13.7262,,
1951-12-01,,,,13.7744,,
1952-01-01,,360.195,189.293,13.6522,,
1952-02-01,,,,13.692,,
1952-03-01,,,,13.7838,,
1952-04-01,,361.414,195.577,13.8904,,
1952-05-01,,,,13.9909,,
1952-06-01,,,,14.1335,,
1952-07-01,,368.084,200.88,14.1862,,
1952-08-01,,,,14.2762,,
1952-09-01,,,,14.3747,,
1952-10-01,,381.241,208.132,14.4525,,
1952-11-01,,,,14.5314,,
1952-12-01,,,,14.6152,,
1953-01-01,,388.472,211.975,14.7509,,
1953-02-01,,,,14.891,,
1953-03-01,,,,14.9713,,
1953-04-01,,392.259,218.127,15.041,,
1953-05-01,,,,15.14,,
1953-06-01,,,,15.2691,,
1953-07-01,,391.69599999999997,222.132,15.3169,,
1953-08-01,,,,15.356,,
1953-09-01,,,,15.4112,,
1953-10-01,,386.52099999999996,225.767,15.494,,
1953-11-01,,,,15.5775,,
1953-12-01,,,,15.6815,,
1954-01-01,,385.92400000000004,226.957,15.7036,,
1954-02-01,,,,15.7079,,
1954-03-01,,,,15.8053,,
1954-04-01,,386.716,231.822,15.9122,,
1954-05-01,,,,16.0059,,
1954-06-01,,,,16.1206,,
1954-07-01,,391.596,237.222,16.2817,,0.8
1954-08-01,,,,16.4543,,1.22
1954-09-01,,,,16.5989,,1.06
1954-10-01,,400.348,244.21099999999998,16.7815,,0.85
1954-11-01,,,,16.9649,,0.83
1954-12-01,,,,17.1987,,1.28
1955-01-01,,413.75300000000004,248.94799999999998,17.4247,,1.39
1955-02-01,,,,17.6462,,1.29
1955-03-01,,,,17.8715,,1.35
1955-04-01,,422.226,259.377,18.0734,,1.43
1955-05-01,,,,18.2861,,1.43
1955-06-01,,,,18.5473,,1.64
1955-07-01,,430.925,267.356,18.7283,,1.68
1955-08-01,,,,18.9229,,1.96
1955-09-01,,,,19.1557,,2.18
1955-10-01,,437.787,277.617,19.3747,,2.24
1955-11-01,,,,19.4168,,2.35
1955-12-01,,,,19.4592,,2.48
1956-01-01,,440.491,282.30400000000003,19.6029,,2.45
1956-02-01,,,,19.7735,,2.5
1956-03-01,,,,19.9583,,2.5
1956-04-01,,446.77099999999996,291.311,20.1586,,2.62
1956-05-01,,,,20.3402,,2.75
1956-06-01,,,,20.5628,,2.71
