DATE,jpyus,jpyrate,usrate,exp,imp
2003-04-01,119.895,0.08,1.24,4475.001099,10332.661584
2003-05-01,117.3681,0.08,1.22,4561.798586,9105.638216
2003-06-01,118.329,0.09,1.04,4402.596072,9738.488202
2003-07-01,118.6959,0.09,1.05,4238.007194,10128.624565
2003-08-01,118.6624,0.09,1.08,4297.843985,9089.140181
2003-09-01,114.8,0.09,1.08,4162.903675,9442.253669
2003-10-01,109.4955,0.09,1.1,4383.73736,10786.709731
2003-11-01,109.1778,0.08,1.11,4480.956447,10187.251104
2003-12-01,107.7377,0.1,1.1,4475.377949,10241.265969
2004-01-01,106.2685,0.09,1.06,3974.980231,9171.944935
2004-02-01,106.7079,0.09,1.05,4116.699159,10238.373233
2004-03-01,108.5157,0.08,1.05,5085.931016,11791.7402
2004-04-01,107.6564,0.08,1.08,4653.308815,11230.066364
2004-05-01,112.196,0.08,1.2,4352.709391,9840.889267
2004-06-01,109.4336,0.09,1.46,4660.372208,11037.978874
2004-07-01,109.4871,0.09,1.57,4489.641845,11044.881727
2004-08-01,110.2336,0.09,1.68,4266.813069,10651.383046
2004-09-01,110.0914,0.09,1.86,4373.12855,10509.987807
2004-10-01,108.7835,0.09,2.04,4939.746265,11439.798757
2004-11-01,104.699,0.09,2.26,4206.93096,11636.169881
2004-12-01,103.8104,0.1,2.45,4448.432157,11211.984567
2005-01-01,103.341,0.1,2.61,3984.167985,10154.378114
2005-02-01,104.9442,0.1,2.77,4132.788408,10993.373053
2005-03-01,105.2543,0.08,2.97,4890.670849,12779.195886
2005-04-01,107.1938,0.08,3.09,4486.131393,11793.35205
2005-05-01,106.5952,0.08,3.22,4151.24106,10755.990061
2005-06-01,108.7473,0.09,3.38,4855.805944,12004.217964
2005-07-01,111.9535,0.09,3.57,4628.856472,11394.165456
2005-08-01,110.6065,0.09,3.77,4809.676069,11457.191131
2005-09-01,111.239,0.09,3.87,4439.88986,10837.650276
2005-10-01,114.8695,0.09,4.13,4828.848944,12173.324398
2005-11-01,118.454,0.09,4.31,4568.460019,11945.905042
2005-12-01,118.4624,0.1,4.45,4904.042844,11714.952724
2006-01-01,115.4765,0.1036,4.56,4364.856612,10913.250856
2006-02-01,117.8605,0.11,4.72,4418.889478,11585.77085
2006-03-01,117.2778,0.1255,4.88,5320.611925,12977.200587
2006-04-01,117.0695,0.14,5.03,4453.680661,12261.319539
2006-05-01,111.7305,0.27,5.15,4707.117153,12033.996166
2006-06-01,114.625,0.35,5.35,5215.495373,12337.281789
2006-07-01,115.767,0.44,5.46,4797.472678,12557.582243
2006-08-01,115.9243,0.432,5.38,4914.185508,12495.400032
2006-09-01,117.2145,0.436,5.34,4957.213129,11825.467364
2006-10-01,118.609,0.447,5.33,5346.8199,13787.730476
2006-11-01,117.3205,0.502,5.32,5045.287544,12987.179619
2006-12-01,117.322,0.54,5.32,4917.34811,12418.596058
2007-01-01,120.4471,0.54,5.32,4888.515046,11405.55833
2007-02-01,120.5047,0.66,5.31,4718.04918,11825.371805
2007-03-01,117.26,0.66,5.3,5631.427701,12883.88267
2007-04-01,118.9324,0.65,5.31,5035.366851,12548.103032
2007-05-01,120.7732,0.67,5.31,5125.608915,11122.314069
2007-06-01,122.6886,0.73,5.33,5190.625342,11827.319868
2007-07-01,121.4148,0.77,5.32,4810.052998,12768.564701
2007-08-01,116.7335,0.84,5.49,5059.682869,11975.587117
2007-09-01,115.0435,0.85,5.46,5066.363326,11403.775011
2007-10-01,115.8661,0.85,5.08,5333.826919,13471.795456
2007-11-01,111.0729,0.87,4.97,5097.457636,12450.4463
2007-12-01,112.449,0.86,5.02,5202.605983,11780.624197
2008-01-01,107.8181,0.85,3.84,4950.635565,11709.018098
2008-02-01,107.03,0.85,3.06,5523.870693,12541.959683
2008-03-01,100.7562,0.84,2.79,5626.644197,13015.592185
2008-04-01,102.6777,0.84,2.85,5431.191919,13045.250703
2008-05-01,104.3595,0.84,2.66,6024.576574,11244.36607
2008-06-01,106.9152,0.86,2.76,5752.432922,12144.282136
2008-07-01,106.8518,0.85,2.79,5600.92979,12028.965215
2008-08-01,109.3624,0.85,2.79,5908.024927,11136.852604
2008-09-01,106.5748,0.87,3.59,5434.352187,11008.039313
2008-10-01,99.9659,0.89,4.32,5338.587364,11475.705942
2008-11-01,96.9656,0.88,2.36,5058.036817,10108.213172
2008-12-01,91.275,0.74,1.77,4492.470169,9803.951911
2009-01-01,90.1205,0.72,1.02,3975.457084,8164.903203
2009-02-01,92.9158,0.71,1.16,4200.226831,6409.370543
2009-03-01,97.855,0.65,1.07,4439.840461,7245.639873
2009-04-01,98.92,0.6,0.89,3824.826778,6932.339419
2009-05-01,96.6445,0.57,0.57,4270.519343,6144.98128
2009-06-01,96.6145,0.56,0.39,3992.691376,7792.142071
2009-07-01,94.367,0.55,0.35,4145.224089,8167.821287
2009-08-01,94.8971,0.54,0.3,4047.61877,8165.11718
2009-09-01,91.2748,0.54,0.25,4436.85839,8587.879536
2009-10-01,90.3671,0.53,0.24,4637.388375,9197.654303
2009-11-01,89.2674,0.51,0.21,4235.225118,9477.993465
2009-12-01,89.9509,0.46,0.22,4928.307586,9517.841208
2010-01-01,91.1011,0.45,0.2,4840.292937,8340.840554
2010-02-01,90.1395,0.44,0.19,4625.432423,8776.279973
2010-03-01,90.7161,0.43,0.23,5073.197176,10484.962475
2010-04-01,93.4527,0.4,0.3,4493.850674,9441.981641
2010-05-01,91.973,0.39,0.45,5193.089945,8640.577073
2010-06-01,90.8059,0.38,0.52,5009.662396,10217.846615
2010-07-01,87.5005,0.37,0.41,5130.069965,10091.162484
2010-08-01,85.3727,0.36,0.32,4922.10033,10728.614179
2010-09-01,84.3571,0.36,0.28,4959.290902,10057.10918
2010-10-01,81.7285,0.34,0.27,5551.717531,11281.670462
2010-11-01,82.518,0.34,0.27,5174.609316,11091.652127
2010-12-01,83.3376,0.34,0.3,5498.538538,11399.448415
2011-01-01,82.625,0.34,0.29,4998.190538,9884.63726
2011-02-01,82.5368,0.34,0.28,5274.354761,10567.412977
2011-03-01,81.647,0.33615,0.28,5919.569094,11806.733698
2011-04-01,83.1771,0.33286,0.23,5188.415162,8829.185784
2011-05-01,81.1257,0.33214,0.21,5625.488884,8317.037438
2011-06-01,80.4259,0.33214,0.22,5483.553258,9421.468533
2011-07-01,79.2425,0.33214,0.24,5315.554905,10858.638558
2011-08-01,76.9657,0.32857,0.29,5413.674846,11828.941834
2011-09-01,76.7957,0.32929,0.33,5458.752289,10858.271037
2011-10-01,76.643,0.32929,0.37,6141.966579,12387.552278
2011-11-01,77.5595,0.32929,0.41,5563.587239,12123.560783
2011-12-01,77.7967,0.32929,0.49,5416.629158,12044.449296
2012-01-01,76.964,0.33077,0.4,5600.741926,11755.682392
2012-02-01,78.47,0.33167,0.3,5468.251405,12433.037237
2012-03-01,82.4659,0.33167,0.29,6121.863238,13310.04541
2012-04-01,81.2524,0.33167,0.29,5812.396643,12086.693223
2012-05-01,79.6668,0.33167,0.29,5685.98942,12111.403738
2012-06-01,79.3152,0.33455,0.32,5995.759705,11997.988382
2012-07-01,78.9348,0.32727,0.3,5572.831982,12490.183476
2012-08-01,78.6909,0.32727,0.26,6266.207694,12957.727896
2012-09-01,78.1353,0.32727,0.24,6073.86105,10977.946723
2012-10-01,79.0132,0.32636,0.23,5675.169129,12684.05069
2012-11-01,81.0305,0.31818,0.23,5685.768365,11811.360036
2012-12-01,83.7905,0.30818,0.24,6016.946299,11815.573809
2013-01-01,89.0581,0.29182,0.23,5162.250053,11291.625875
2013-02-01,93.0016,0.26909,0.22,4975.332203,10948.259091
2013-03-01,94.77,0.25,0.21,5576.672648,12156.701675
2013-04-01,97.7582,0.22818,0.2,5062.208797,11984.744131
2013-05-01,100.9186,0.22818,0.2,5783.444589,11134.086231
2013-06-01,97.235,0.22818,0.19,5674.775133,11257.646038
2013-07-01,99.6727,0.228,0.14,5174.193412,11980.652148
2013-08-01,97.8123,0.228,0.12,5667.479052,12013.381555
2013-09-01,99.21,0.228,0.11,5527.603151,11123.24822
2013-10-01,97.77,0.221,0.12,5502.51769,11909.918836
2013-11-01,100.0737,0.22,0.12,5846.982848,11603.000684
2013-12-01,103.46,0.22,0.14,5283.954518,11172.077384
2014-01-01,103.7614,0.22,0.12,5504.778463,10819.724905
2014-02-01,102.1253,0.212,0.13,5305.158682,10604.163187
2014-03-01,102.3395,0.212,0.12,6009.199558,12112.971599
2014-04-01,102.4582,0.212,0.12,5294.783086,11384.013843
2014-05-01,101.7738,0.21,0.11,5451.450743,10577.747759
2014-06-01,102.0629,0.21,0.11,5650.820053,11298.190225
2014-07-01,101.74,0.21,0.13,5470.134652,11544.225212
2014-08-01,102.9438,0.21,0.13,6303.158952,11112.927109
2014-09-01,107.4257,0.21,0.12,5424.170934,10839.859037
2014-10-01,108.0264,0.192,0.12,5621.792714,12024.072185
2014-11-01,116.2994,0.182,0.13,5063.241285,10707.019485
2014-12-01,119.3233,0.179,0.15,5793.153528,11479.628273
2015-01-01,118.25,0.173,0.16,5095.305086,10892.738369
2015-02-01,118.76,0.171,0.15,5087.090793,9367.720782
2015-03-01,120.3945,0.17,0.14,5708.250811,12926.100178
2015-04-01,119.5095,0.17,0.13,5591.915569,12782.812872
2015-05-01,120.798,0.169,0.15,5420.357885,10657.896217
2015-06-01,123.7186,0.169,0.18,5221.11042,10522.251383
2015-07-01,123.3109,0.169,0.19,5267.815704,10967.104245
2015-08-01,123.0038,0.169,0.26,5433.92827,10548.525468
2015-09-01,120.1476,0.169,0.27,4664.358977,9891.474032
2015-10-01,120.0481,0.169,0.25,5207.018897,10819.554468
2015-11-01,122.6432,0.169,0.3,4936.844028,10694.098301
2015-12-01,121.635,0.169,0.54,4759.099756,11312.683452
2016-01-01,118.2258,0.169,0.57,4679.326688,9587.665858
2016-02-01,114.6155,0.098,0.54,4969.531952,10309.317916
2016-03-01,112.9317,0.098,0.55,5374.393013,12085.645915
2016-04-01,109.5519,0.06,0.55,4691.26372,10857.201432
2016-05-01,108.8481,0.06,0.57,5223.71594,9882.309309
2016-06-01,105.3509,0.059,0.55,5161.389229,11029.426258
2016-07-01,104.191,0.058,0.62,5167.53283,11247.597002
2016-08-01,101.2383,0.058,0.73,5465.475715,11438.674695
2016-09-01,101.7843,0.056,0.75,5627.524456,10392.332955
2016-10-01,103.9075,0.056,0.72,5785.406137,11692.255872
2016-11-01,108.443,0.056,0.71,5438.80195,11335.202965
2016-12-01,115.9981,0.056,0.87,5651.912137,12188.62801
2017-01-01,114.8721,0.056,0.9,5030.781446,10503.667285
2017-02-01,112.9116,0.056,0.87,5200.590602,9872.176562
2017-03-01,112.9165,0.056,0.98,5803.110541,13043.099673
2017-04-01,110.091,0.056,1.03,5970.373152,11182.131751
2017-05-01,112.2436,0.056,1.05,5168.369826,10966.969725
2017-06-01,110.9141,0.056,1.16,5594.960361,11166.656343
2017-07-01,112.417,0.075,1.22,5725.410047,11500.724641
2017-08-01,109.827,0.056,1.25,5409.476394,11962.9857
2017-09-01,110.776,0.056,1.25,5968.324745,10807.30585
2017-10-01,112.9148,0.063,1.26,5617.537774,12047.994224
2017-11-01,112.819,0.063,1.32,5773.43568,11529.345754
2017-12-01,112.9405,0.063,1.53,6433.521691,11960.532667
2018-01-01,110.871,0.068,1.67,5650.378604,11302.129766
