DATE,jpyus,jpyrate,usrate,exp,imp
2000-01-01,105.296,,5.95,4772.2,10203.6
2000-02-01,109.3885,,6.01,4991.8,11720.7
2000-03-01,106.3074,,6.14,5898.9,12810.4
2000-04-01,105.627,,6.28,4968.0,12452.2
2000-05-01,108.3205,,6.71,5108.6,11946.4
2000-06-01,106.1255,,6.73,5757.6,12173.8
2000-07-01,108.2115,,6.67,5094.0,12557.2
2000-08-01,108.0804,,6.61,5677.4,12535.1
2000-09-01,106.8375,,6.6,5525.9,11484.1
2000-10-01,108.4429,,6.67,5546.1,14064.8
2000-11-01,109.0095,,6.65,5759.9,12461.3
2000-12-01,112.209,,6.45,5824.0,12069.8
2001-01-01,116.6719,,5.62,5252.7,11142.5
2001-02-01,116.2337,,5.26,5222.4,11380.0
2001-03-01,121.505,,4.89,5897.3,12076.2
2001-04-01,123.771,,4.53,5032.6,11562.3
2001-05-01,121.7682,,4.02,4878.4,9606.0
2001-06-01,122.351,,3.74,4985.6,9968.6
2001-07-01,124.4981,,3.66,4307.8,10317.6
2001-08-01,121.367,,3.48,4604.0,10218.8
2001-09-01,118.6117,,2.87,4336.3,9456.8
2001-10-01,121.4536,,2.31,4352.0,11186.9
2001-11-01,122.4055,,2.03,4286.8,10288.4
2001-12-01,127.5945,,1.83,4295.6,9269.0
2002-01-01,132.6833,,1.74,3944.8,8674.0
2002-02-01,133.6426,,1.82,3862.1,9426.4
2002-03-01,131.061,,1.91,4743.6,10466.3
2002-04-01,130.7718,0.1,1.87,3900.7,10699.2
2002-05-01,126.375,0.08,1.82,4261.9,9167.2
2002-06-01,123.2905,0.09,1.81,4669.7,10090.4
2002-07-01,117.8991,0.09,1.79,4492.6,10230.0
2002-08-01,118.9927,0.07,1.73,4791.1,10081.4
2002-09-01,121.078,0.08,1.76,4138.3,10074.0
2002-10-01,123.9077,0.08,1.73,4151.0,10561.4
2002-11-01,121.6079,0.08,1.39,4411.5,10814.9
2002-12-01,121.8929,0.1,1.34,4081.9,11143.4
2003-01-01,118.8133,0.1,1.29,3919.365968,9109.497627
2003-02-01,119.3379,0.09,1.27,4136.311511,9440.491473
2003-03-01,118.6871,0.08,1.23,4470.377379,10434.623207
