DATE,consump,gov1exp,gov2exp,invest,netexp,gdp,nonfinloan,constructloan
1970-01-01,21.947,218.169,128.412,587.395,3.396,1053.528,918.764,68.9435
1970-02-01,,,,,,,,69.2433
1970-03-01,,,,,,,,69.4233
1970-04-01,22.19,228.061,132.46,588.671,5.385,1070.11,942.369,69.5445
1970-05-01,,,,,,,,69.5922
1970-06-01,,,,,,,,69.472
1970-07-01,22.406,230.253,138.371,598.252,3.843,1088.461,959.238,69.6762
1970-08-01,,,,,,,,69.8874
1970-09-01,,,,,,,,70.1578
1970-10-01,22.696,234.565,142.419,566.489,3.169,1091.462,979.104,70.4831
1970-11-01,,,,,,,,70.7558
1970-12-01,,,,,,,,71.3438
1971-01-01,22.911,235.393,147.245,632.533,4.422,1137.812,992.14,71.7341
1971-02-01,,,,,,,,72.1652
1971-03-01,,,,,,,,72.8177
1971-04-01,23.172,248.013,151.565,650.482,-0.192,1159.355,1022.64,73.5507
1971-05-01,,,,,,,,74.296
1971-06-01,,,,,,,,75.0391
1971-07-01,23.399,248.373,154.781,658.374,-0.089,1180.313,1046.927,76.2853
1971-08-01,,,,,,,,77.0427
1971-09-01,,,,,,,,77.9896
1971-10-01,23.544,251.589,158.777,640.645,-1.657,1193.585,1074.708,78.9773
1971-11-01,,,,,,,,79.8791
1971-12-01,,,,,,,,79.9843
1972-01-01,23.792,263.645,163.445,682.859,-3.534,1233.807,1095.525,81.2625
1972-02-01,,,,,,,,83.0947
1972-03-01,,,,,,,,84.4289
1972-04-01,23.93,274.238,165.532,721.647,-4.257,1270.122,1135.65,85.836
1972-05-01,,,,,,,,87.1949
1972-06-01,,,,,,,,88.2498
1972-07-01,24.141,264.798,169.87,731.894,-2.638,1293.837,1163.951,89.7955
1972-08-01,,,,,,,,91.426
1972-09-01,,,,,,,,92.8494
1972-10-01,24.339,287.326,173.756,736.484,-3.061,1332.023,1205.632,94.2773
1972-11-01,,,,,,,,95.8342
1972-12-01,,,,,,,,96.8695
1973-01-01,24.635,285.133,177.964,779.645,-1.401,1380.68,1240.613,98.7011
1973-02-01,,,,,,,,100.4561
1973-03-01,,,,,,,,102.4606
1973-04-01,25.11,293.339,181.495,812.878,2.454,1417.595,1288.128,104.3032
1973-05-01,,,,,,,,105.8163
1973-06-01,,,,,,,,107.5113
1973-07-01,25.569,285.597,185.395,783.403,6.438,1436.813,1328.508,109.2387
1973-08-01,,,,,,,,110.9024
1973-09-01,,,,,,,,112.4848
1973-10-01,26.094,294.507,191.136,811.308,8.951,1479.069,1364.255,113.9684
1973-11-01,,,,,,,,115.5313
1973-12-01,,,,,,,,117.002
1974-01-01,26.87,305.462,196.371,764.976,6.395,1494.654,1389.477,117.9292
1974-02-01,,,,,,,,119.4011
1974-03-01,,,,,,,,120.9877
1974-04-01,27.631,310.281,205.315,761.923,-2.714,1534.22,1440.686,122.7659
1974-05-01,,,,,,,,124.1513
1974-06-01,,,,,,,,125.292
1974-07-01,28.376,331.82,212.114,722.434,-6.972,1563.396,1477.918,126.5844
1974-08-01,,,,,,,,127.3706
1974-09-01,,,,,,,,127.9814
1974-10-01,29.095,341.972,218.732,726.819,0.033,1603.004,1510.987,128.6274
1974-11-01,,,,,,,,129.2202
1974-12-01,,,,,,,,129.7876
1975-01-01,29.641,362.023,230.856,609.744,16.481,1619.553,1519.198,130.0257
1975-02-01,,,,,,,,130.6318
1975-03-01,,,,,,,,131.1786
1975-04-01,30.003,384.079,235.165,591.591,21.582,1656.448,1545.681,131.6391
1975-05-01,,,,,,,,131.7233
1975-06-01,,,,,,,,131.8532
1975-07-01,30.564,392.395,241.165,637.454,12.043,1713.812,1571.534,131.83
1975-08-01,,,,,,,,131.9313
1975-09-01,,,,,,,,132.1325
1975-10-01,31.077,402.093,248.154,655.247,13.801,1765.867,1605.743,132.863
1975-11-01,,,,,,,,133.3819
1975-12-01,,,,,,,,134.0939
1976-01-01,31.422,406.43,253.441,718.469,4.65,1824.509,1626.26,135.0484
1976-02-01,,,,,,,,136.2984
1976-03-01,,,,,,,,137.9788
1976-04-01,31.686,405.421,251.979,746.906,-0.495,1856.944,1673.959,139.8826
1976-05-01,,,,,,,,140.9549
1976-06-01,,,,,,,,141.6213
1976-07-01,32.167,417.318,253.407,749.51,-4.073,1890.5,1714.503,142.5971
1976-08-01,,,,,,,,143.755
1976-09-01,,,,,,,,144.7779
1976-10-01,32.675,429.999,255.685,755.119,-6.603,1938.413,1765.357,146.071
1976-11-01,,,,,,,,147.2806
1976-12-01,,,,,,,,148.5136
1977-01-01,33.265,435.904,262.846,790.107,-21.079,1992.534,1808.633,149.6394
1977-02-01,,,,,,,,151.6731
1977-03-01,,,,,,,,153.6788
1977-04-01,33.834,443.603,270.276,846.752,-21.135,2060.165,1879.097,156.0952
1977-05-01,,,,,,,,158.592
1977-06-01,,,,,,,,160.6562
1977-07-01,34.345,455.483,273.942,889.601,-20.578,2122.387,1940.832,162.9974
1977-08-01,,,,,,,,165.634
1977-09-01,,,,,,,,167.5557
1977-10-01,34.836,469.086,278.956,867.284,-29.584,2168.716,2014.056,170.2452
1977-11-01,,,,,,,,172.8184
1977-12-01,,,,,,,,175.0673
1978-01-01,35.415,482.997,283.858,884.186,-38.683,2208.688,2066.465,177.7143
1978-02-01,,,,,,,,180.32
1978-03-01,,,,,,,,183.0011
1978-04-01,36.145,491.656,296.989,941.615,-22.624,2336.563,2156.921,185.8235
1978-05-01,,,,,,,,188.9707
1978-06-01,,,,,,,,192.106
1978-07-01,36.781,509.812,304.192,969.053,-23.76,2398.866,2231.729,195.0134
1978-08-01,,,,,,,,198.3252
1978-09-01,,,,,,,,201.099
