DATE,consump,gov1exp,gov2exp,invest,netexp,gdp,nonfinloan,constructloan
1978-10-01,37.477,524.651,310.901,991.471,-16.401,2482.159,2309.006,204.5151
1978-11-01,,,,,,,,207.5855
1978-12-01,,,,,,,,210.462
1979-01-01,38.181,529.045,313.841,993.13,-18.158,2531.555,2370.871,211.9456
1979-02-01,,,,,,,,213.6288
1979-03-01,,,,,,,,215.6358
1979-04-01,39.222,542.343,323.256,992.232,-22.191,2595.909,2468.149,218.0995
1979-05-01,,,,,,,,220.5903
1979-06-01,,,,,,,,223.9688
1979-07-01,40.194,562.605,334.553,975.505,-23.029,2670.388,2557.233,228.0921
1979-08-01,,,,,,,,230.9436
1979-09-01,,,,,,,,233.9281
1979-10-01,41.165,578.825,345.466,958.17,-26.801,2730.705,2634.053,236.8872
1979-11-01,,,,,,,,239.268
1979-12-01,,,,,,,,241.6747
1980-01-01,42.398,609.489,356.511,951.572,-35.804,2796.523,2702.887,244.1149
1980-02-01,,,,,,,,247.048
1980-03-01,,,,,,,,248.9923
1980-04-01,43.435,632.9,360.107,870.674,-15.209,2799.938,2743.985,250.6829
1980-05-01,,,,,,,,251.3254
1980-06-01,,,,,,,,252.0475
1980-07-01,44.449,661.751,366.918,813.266,5.472,2860.044,2806.035,253.6243
1980-08-01,,,,,,,,255.0428
1980-09-01,,,,,,,,256.2875
1980-10-01,45.547,675.773,375.185,889.175,-6.683,2993.525,2888.5,258.4035
1980-11-01,,,,,,,,260.6068
1980-12-01,,,,,,,,262.2834
1981-01-01,46.675,709.164,389.106,971.65,-14.256,3131.799,2935.341,263.7707
1981-02-01,,,,,,,,265.1531
1981-03-01,,,,,,,,266.8392
1981-04-01,47.454,718.893,390.954,931.326,-13.509,3167.251,3030.157,268.6235
1981-05-01,,,,,,,,271.2572
1981-06-01,,,,,,,,273.4038
1981-07-01,48.231,734.713,394.468,983.54,-7.56,3261.203,3110.547,274.7618
1981-08-01,,,,,,,,277.0577
1981-09-01,,,,,,,,278.7288
1981-10-01,48.964,766.192,402.246,948.409,-14.753,3283.536,3179.651,280.1515
1981-11-01,,,,,,,,281.6173
1981-12-01,,,,,,,,283.5867
1982-01-01,49.584,776.806,408.608,854.889,-16.275,3273.809,3226.09,285.4002
1982-02-01,,,,,,,,287.5623
1982-03-01,,,,,,,,290.207
1982-04-01,50.056,796.072,417.617,853.798,-4.387,3331.281,3299.186,291.8256
1982-05-01,,,,,,,,293.82
1982-06-01,,,,,,,,295.6466
1982-07-01,50.843,821.641,424.801,845.737,-29.648,3367.072,3346.576,295.9582
1982-08-01,,,,,,,,297.0876
1982-09-01,,,,,,,,297.9524
1982-10-01,51.407,851.7,433.757,780.325,-29.585,3407.81,3400.835,298.668
1982-11-01,,,,,,,,299.2424
1982-12-01,,,,,,,,299.653
1983-01-01,51.85,867.525,442.427,807.499,-24.549,3480.321,3441.223,302.0905
1983-02-01,,,,,,,,303.1623
1983-03-01,,,,,,,,304.3282
1983-04-01,52.328,872.557,447.572,879.12,-45.435,3583.844,3531.661,306.2567
1983-05-01,,,,,,,,308.3139
1983-06-01,,,,,,,,310.8249
1983-07-01,53.018,896.802,456.234,934.228,-65.2,3692.257,3629.948,314.1926
1983-08-01,,,,,,,,317.2201
1983-09-01,,,,,,,,320.6919
1983-10-01,53.371,898.25,461.062,1025.13,-71.383,3796.121,3750.236,324.0551
1983-11-01,,,,,,,,327.3763
1983-12-01,,,,,,,,330.3526
1984-01-01,53.948,914.512,473.969,1124.157,-95.005,3912.774,3854.611,333.7075
1984-02-01,,,,,,,,337.6043
1984-03-01,,,,,,,,342.0163
1984-04-01,54.474,935.401,484.318,1160.68,-104.298,4015.0,4011.096,346.1789
1984-05-01,,,,,,,,349.7492
1984-06-01,,,,,,,,353.7386
1984-07-01,54.897,950.398,496.421,1185.779,-103.845,4087.378,4132.872,357.1593
1984-08-01,,,,,,,,360.6726
1984-09-01,,,,,,,,364.7314
1984-10-01,55.239,985.761,507.021,1170.394,-107.756,4147.606,4292.249,367.6312
1984-11-01,,,,,,,,372.3966
1984-12-01,,,,,,,,376.2431
1985-01-01,55.9,1001.226,520.037,1138.315,-91.3,4237.01,4419.126,379.0098
1985-02-01,,,,,,,,383.1147
1985-03-01,,,,,,,,387.1412
1985-04-01,56.371,1020.923,534.436,1157.711,-114.445,4302.297,4564.642,390.5686
1985-05-01,,,,,,,,394.4292
1985-06-01,,,,,,,,397.6212
1985-07-01,56.82,1038.545,548.054,1149.823,-116.894,4394.563,4699.208,401.105
1985-08-01,,,,,,,,405.2282
1985-09-01,,,,,,,,409.7761
1985-10-01,57.211,1054.829,558.148,1192.204,-133.434,4453.105,4894.652,414.3636
1985-11-01,,,,,,,,418.64
1985-12-01,,,,,,,,422.8814
1986-01-01,57.621,1060.484,571.447,1191.852,-126.013,4516.344,4980.713,427.4225
1986-02-01,,,,,,,,432.0818
1986-03-01,,,,,,,,437.0615
1986-04-01,57.553,1081.991,580.604,1171.042,-128.871,4555.245,5128.267,441.9357
1986-05-01,,,,,,,,446.733
1986-06-01,,,,,,,,451.2371
1986-07-01,57.846,1117.835,591.12,1139.541,-138.958,4619.627,5274.804,457.1154
1986-08-01,,,,,,,,463.3301
1986-09-01,,,,,,,,469.3373
1986-10-01,58.192,1096.479,600.668,1142.952,-133.626,4669.396,5452.888,473.9135
1986-11-01,,,,,,,,479.2478
1986-12-01,,,,,,,,490.7508
1987-01-01,58.814,1104.26,611.621,1173.798,-141.236,4736.231,5518.737,502.8867
1987-02-01,,,,,,,,508.4478
1987-03-01,,,,,,,,516.5573
1987-04-01,59.374,1125.101,620.077,1174.41,-146.978,4821.459,5670.479,524.8605
1987-05-01,,,,,,,,532.1782
1987-06-01,,,,,,,,541.703
1987-07-01,59.931,1128.033,628.793,1174.583,-145.463,4900.509,5798.518,549.4384
1987-08-01,,,,,,,,556.2806
1987-09-01,,,,,,,,563.1944
1987-10-01,60.457,1147.503,640.037,1254.617,-145.406,5022.67,5903.883,570.7356
1987-11-01,,,,,,,,577.6655
1987-12-01,,,,,,,,585.6639
1988-01-01,60.926,1159.826,649.988,1194.399,-123.985,5090.615,6018.669,591.5777
1988-02-01,,,,,,,,595.8663
1988-03-01,,,,,,,,601.4221
1988-04-01,61.599,1161.919,664.148,1222.857,-106.626,5207.707,6188.741,608.9148
1988-05-01,,,,,,,,616.208
1988-06-01,,,,,,,,622.7552
1988-07-01,62.358,1167.546,673.93,1229.659,-99.263,5299.486,6323.015,629.8804
1988-08-01,,,,,,,,637.3202
1988-09-01,,,,,,,,644.253
1988-10-01,62.983,1194.919,691.275,1248.44,-107.695,5412.713,6483.071,651.404
1988-11-01,,,,,,,,656.8783
1988-12-01,,,,,,,,663.016
1989-01-01,63.689,1217.275,708.771,1290.679,-100.965,5527.352,6586.953,676.45
1989-02-01,,,,,,,,682.9834
1989-03-01,,,,,,,,688.8845
1989-04-01,64.538,1236.327,727.753,1278.291,-88.16,5628.429,6745.132,698.1901
1989-05-01,,,,,,,,704.2696
1989-06-01,,,,,,,,711.8761
1989-07-01,64.906,1257.681,743.299,1266.941,-75.075,5711.556,6852.414,720.4837
1989-08-01,,,,,,,,730.5069
1989-09-01,,,,,,,,739.192
1989-10-01,65.415,1271.307,762.536,1257.676,-82.765,5763.444,6988.916,745.1687
1989-11-01,,,,,,,,752.6937
1989-12-01,,,,,,,,759.8615
1990-01-01,66.349,1309.502,783.109,1269.982,-88.532,5890.835,7106.245,765.8142
1990-02-01,,,,,,,,774.6935
1990-03-01,,,,,,,,781.6291
1990-04-01,66.946,1330.116,794.54,1270.441,-68.833,5974.665,7217.567,788.7088
1990-05-01,,,,,,,,797.8321
1990-06-01,,,,,,,,805.6254
1990-07-01,67.787,1340.165,812.939,1245.648,-74.953,6029.504,7307.892,814.302
1990-08-01,,,,,,,,819.2669
1990-09-01,,,,,,,,823.2769
1990-10-01,68.676,1392.333,838.312,1176.268,-79.096,6023.332,7378.233,829.0939
1990-11-01,,,,,,,,834.3146
1990-12-01,,,,,,,,841.66
1991-01-01,69.016,1329.403,847.262,1137.137,-47.14,6054.867,7373.737,846.587
1991-02-01,,,,,,,,851.7679
1991-03-01,,,,,,,,857.3216
1991-04-01,69.382,1389.574,865.58,1137.211,-23.188,6143.612,7449.022,860.6063
1991-05-01,,,,,,,,862.4234
1991-06-01,,,,,,,,865.8952
1991-07-01,69.851,1435.387,883.461,1159.826,-21.073,6218.425,7460.682,864.5163
1991-08-01,,,,,,,,863.745
1991-09-01,,,,,,,,864.3769
1991-10-01,70.351,1443.969,911.232,1200.972,-23.054,6279.296,7494.519,865.7562
1991-11-01,,,,,,,,867.1134
1991-12-01,,,,,,,,868.1059
1992-01-01,70.783,1493.246,924.79,1178.889,-20.54,6380.798,7520.588,870.9968
1992-02-01,,,,,,,,873.3806
1992-03-01,,,,,,,,874.6543
1992-04-01,71.252,1516.293,941.315,1245.738,-32.788,6492.299,7567.18,881.1469
1992-05-01,,,,,,,,881.7482
1992-06-01,,,,,,,,879.4075
1992-07-01,71.706,1535.049,954.532,1255.778,-38.488,6586.548,7618.349,878.6296
1992-08-01,,,,,,,,880.2331
1992-09-01,,,,,,,,882.9474
1992-10-01,72.211,1554.528,957.359,1294.229,-47.139,6697.553,7689.153,885.7759
1992-11-01,,,,,,,,887.0608
1992-12-01,,,,,,,,887.7973
1993-01-01,72.641,1552.184,966.03,1324.609,-55.707,6748.182,7727.994,886.1141
1993-02-01,,,,,,,,886.9016
1993-03-01,,,,,,,,889.8113
1993-04-01,73.131,1560.759,975.768,1332.119,-63.187,6829.594,7838.415,892.7086
1993-05-01,,,,,,,,898.1516
1993-06-01,,,,,,,,902.3564
1993-07-01,73.451,1578.984,991.572,1323.144,-68.354,6904.222,7953.353,904.4394
1993-08-01,,,,,,,,907.2981
1993-09-01,,,,,,,,910.6951
1993-10-01,73.872,1598.643,998.73,1392.54,-73.449,7032.844,8079.098,914.8564
1993-11-01,,,,,,,,919.2161
1993-12-01,,,,,,,,928.6299
1994-01-01,74.134,1568.697,1009.154,1446.244,-80.596,7136.259,8184.074,929.5233
1994-02-01,,,,,,,,929.5358
1994-03-01,,,,,,,,931.8441
1994-04-01,74.547,1590.548,1022.572,1517.13,-90.572,7269.847,8317.437,935.522
1994-05-01,,,,,,,,939.7836
1994-06-01,,,,,,,,944.6788
1994-07-01,75.079,1622.554,1038.981,1492.158,-96.868,7352.255,8444.121,951.4079
1994-08-01,,,,,,,,957.4842
1994-09-01,,,,,,,,965.1201
1994-10-01,75.432,1642.791,1061.811,1553.518,-101.91,7476.661,8613.073,971.2659
1994-11-01,,,,,,,,977.8024
1994-12-01,,,,,,,,987.8279
1995-01-01,75.794,1667.433,1079.12,1570.273,-105.326,7545.296,8720.57,996.8236
1995-02-01,,,,,,,,1006.1535
1995-03-01,,,,,,,,1013.5562
1995-04-01,76.222,1680.946,1092.956,1537.736,-109.492,7604.923,8892.523,1019.8525
1995-05-01,,,,,,,,1027.7928
1995-06-01,,,,,,,,1035.1299
1995-07-01,76.528,1663.319,1096.367,1528.614,-74.444,7706.531,9036.203,1044.4467
1995-08-01,,,,,,,,1049.2313
1995-09-01,,,,,,,,1054.8413
1995-10-01,76.864,1684.227,1090.183,1566.652,-69.779,7799.493,9188.85,1057.2345
1995-11-01,,,,,,,,1060.8377
1995-12-01,,,,,,,,1062.0657
1996-01-01,77.295,1729.918,1103.496,1590.623,-88.795,7893.146,9308.792,1068.2936
1996-02-01,,,,,,,,1071.5139
1996-03-01,,,,,,,,1077.4233
1996-04-01,77.805,1738.713,1129.158,1667.682,-93.705,8061.535,9485.553,1079.3261
1996-05-01,,,,,,,,1081.662
1996-06-01,,,,,,,,1084.7942
1996-07-01,78.138,1736.446,1133.16,1744.489,-114.18,8159.043,9627.592,1080.6392
1996-08-01,,,,,,,,1089.1293
1996-09-01,,,,,,,,1096.3506
1996-10-01,78.667,1738.173,1148.642,1743.944,-88.823,8287.078,9762.068,1104.9327
1996-11-01,,,,,,,,1112.1596
1996-12-01,,,,,,,,1122.9637
1997-01-01,79.014,1753.47,1168.82,1781.576,-108.839,8402.06,9889.614,1129.9316
1997-02-01,,,,,,,,1135.1021
1997-03-01,,,,,,,,1147.7855
1997-04-01,79.209,1745.761,1171.33,1879.966,-85.201,8551.94,10081.637,1160.6565
1997-05-01,,,,,,,,1172.0576
1997-06-01,,,,,,,,1183.6136
1997-07-01,79.413,1776.509,1181.553,1913.623,-96.831,8691.756,10293.745,1190.398
1997-08-01,,,,,,,,1196.2985
1997-09-01,,,,,,,,1208.5126
1997-10-01,79.659,1802.53,1194.149,1940.73,-117.01,8788.32,10485.078,1214.9638
1997-11-01,,,,,,,,1219.5036
1997-12-01,,,,,,,,1220.5948
1998-01-01,79.655,1784.076,1199.402,2027.137,-135.215,8889.732,10693.474,1224.4018
1998-02-01,,,,,,,,1237.6215
1998-03-01,,,,,,,,1252.375
1998-04-01,79.796,1791.355,1222.004,2013.441,-162.327,8994.738,10994.767,1259.0153
1998-05-01,,,,,,,,1259.779
1998-06-01,,,,,,,,1261.0079
1998-07-01,80.037,1804.209,1243.725,2067.218,-174.638,9146.521,11208.079,1265.5125
1998-08-01,,,,,,,,1271.8269
1998-09-01,,,,,,,,1275.4114
1998-10-01,80.24,1836.442,1266.507,2125.53,-178.66,9325.65,11476.401,1283.8823
1998-11-01,,,,,,,,1302.7516
1998-12-01,,,,,,,,1311.2349
1999-01-01,80.447,1835.871,1292.342,2186.065,-208.515,9447.103,11735.112,1317.3881
1999-02-01,,,,,,,,1320.1804
1999-03-01,,,,,,,,1326.2316
1999-04-01,80.876,1849.678,1309.73,2188.002,-245.428,9557.005,11997.37,1332.0453
1999-05-01,,,,,,,,1341.0402
1999-06-01,,,,,,,,1347.1132
1999-07-01,81.302,1873.76,1338.417,2242.786,-276.106,9712.28,12347.005,1354.3248
1999-08-01,,,,,,,,1369.8792
1999-09-01,,,,,,,,1389.096
1999-10-01,81.784,1929.497,1366.12,2308.637,-296.475,9926.101,12626.264,1411.5876
1999-11-01,,,,,,,,1424.9758
1999-12-01,,,,,,,,1460.1212
2000-01-01,82.469,1900.054,1385.067,2287.827,-352.76,10031.031,12926.336,1480.8245
2000-02-01,,,,,,,,1491.662
2000-03-01,,,,,,,,1517.7071
2000-04-01,82.847,1942.186,1403.269,2424.549,-359.587,10278.34,13256.182,1541.1944
2000-05-01,,,,,,,,1565.0398
2000-06-01,,,,,,,,1585.2671
2000-07-01,83.363,1954.004,1429.279,2394.141,-388.487,10357.445,13530.27,1600.6068
2000-08-01,,,,,,,,1613.5894
2000-09-01,,,,,,,,1624.8702
2000-10-01,83.825,1979.6,1456.287,2395.566,-402.351,10472.285,13767.571,1625.2452
2000-11-01,,,,,,,,1635.0218
2000-12-01,,,,,,,,1638.5428
2001-01-01,84.386,2015.55,1505.703,2285.261,-391.688,10508.121,13873.594,1641.3695
2001-02-01,,,,,,,,1654.8195
2001-03-01,,,,,,,,1668.2627
2001-04-01,84.79,2048.203,1565.999,2277.059,-359.331,10638.384,14193.834,1682.5134
2001-05-01,,,,,,,,1695.3187
2001-06-01,,,,,,,,1699.9217
2001-07-01,84.854,2082.047,1545.618,2236.591,-366.666,10639.486,14498.943,1702.639
2001-08-01,,,,,,,,1703.8361
2001-09-01,,,,,,,,1714.4881
2001-10-01,84.91,2090.265,1602.045,2126.879,-357.048,10701.317,14690.682,1717.3219
2001-11-01,,,,,,,,1739.2955
2001-12-01,,,,,,,,1757.7132
2002-01-01,85.064,2152.049,1620.493,2202.776,-375.263,10834.445,14861.946,1755.3061
2002-02-01,,,,,,,,1766.6145
2002-03-01,,,,,,,,1771.5566
2002-04-01,85.719,2194.399,1636.654,2224.915,-415.978,10934.752,15083.191,1782.1946
2002-05-01,,,,,,,,1790.8479
2002-06-01,,,,,,,,1817.0382
2002-07-01,86.151,2210.3,1666.369,2224.612,-431.634,11037.057,15295.847,1837.1682
2002-08-01,,,,,,,,1866.936
2002-09-01,,,,,,,,1901.9349
2002-10-01,86.545,2266.35,1695.778,2220.654,-482.967,11103.834,15610.232,1946.9721
2002-11-01,,,,,,,,1980.5606
2002-12-01,,,,,,,,2009.6697
2003-01-01,87.156,2300.329,1722.207,2239.474,-501.593,11230.078,15816.885,2033.6351
2003-02-01,,,,,,,,2067.7213
2003-03-01,,,,,,,,2083.8406
2003-04-01,87.231,2406.76,1727.147,2251.283,-501.364,11370.653,16220.882,2106.9732
2003-05-01,,,,,,,,2131.6246
2003-06-01,,,,,,,,2150.6514
2003-07-01,87.764,2404.084,1757.005,2330.89,-499.917,11625.137,16511.022,2178.1365
2003-08-01,,,,,,,,2221.3612
2003-09-01,,,,,,,,2235.2982
2003-10-01,88.119,2433.396,1760.844,2413.141,-511.744,11816.827,16767.584,2213.306
2003-11-01,,,,,,,,2202.3749
2003-12-01,,,,,,,,2207.2679
2004-01-01,88.791,2485.077,1794.525,2414.528,-546.643,11988.403,17102.422,2224.101
2004-02-01,,,,,,,,2251.6695
2004-03-01,,,,,,,,2289.8191
2004-04-01,89.415,2496.48,1825.311,2500.867,-608.021,12181.398,17487.686,2343.1856
2004-05-01,,,,,,,,2384.0248
2004-06-01,,,,,,,,2409.4644
2004-07-01,89.935,2539.861,1853.299,2539.376,-637.979,12367.744,17859.508,2414.182
2004-08-01,,,,,,,,2437.2997
2004-09-01,,,,,,,,2466.5596
2004-10-01,90.645,2567.045,1858.581,2590.616,-684.036,12562.163,18355.215,2495.7762
2004-11-01,,,,,,,,2526.1022
2004-12-01,,,,,,,,2552.5708
2005-01-01,91.114,2661.439,1878.176,2664.359,-676.782,12813.729,18684.303,2575.5454
2005-02-01,,,,,,,,2605.187
2005-03-01,,,,,,,,2652.0565
2005-04-01,91.72,2681.854,1907.198,2630.506,-689.086,12974.083,19175.431,2680.9134
2005-05-01,,,,,,,,2695.9799
2005-06-01,,,,,,,,2733.2201
2005-07-01,92.726,2788.545,1933.539,2657.863,-731.395,13205.445,19656.179,2782.1006
2005-08-01,,,,,,,,2823.8805
2005-09-01,,,,,,,,2845.2546
2005-10-01,93.452,2768.548,1982.301,2737.639,-787.48,13381.629,20132.786,2869.9164
2005-11-01,,,,,,,,2894.1166
2005-12-01,,,,,,,,2925.5414
2006-01-01,93.885,2836.824,1954.612,2773.826,-777.22,13648.904,20666.224,2944.1259
2006-02-01,,,,,,,,2971.4994
2006-03-01,,,,,,,,3000.987
2006-04-01,94.609,2871.329,1993.076,2755.714,-781.568,13799.794,21230.421,3029.5035
2006-05-01,,,,,,,,3058.5176
2006-06-01,,,,,,,,3092.7911
2006-07-01,95.286,2897.896,2030.397,2727.6,-805.59,13908.498,21700.305,3121.0694
2006-08-01,,,,,,,,3129.9623
2006-09-01,,,,,,,,3158.1757
2006-10-01,95.122,2828.93,2043.034,2663.03,-719.401,14066.37,22229.851,3307.5668
2006-11-01,,,,,,,,3335.2628
2006-12-01,,,,,,,,3371.1227
2007-01-01,96.008,2983.894,2113.514,2638.528,-728.479,14233.226,22634.08,3393.1408
2007-02-01,,,,,,,,3420.8379
2007-03-01,,,,,,,,3367.1501
2007-04-01,96.771,3045.186,2126.179,2674.7,-732.975,14422.313,23238.139,3389.1304
2007-05-01,,,,,,,,3409.9203
2007-06-01,,,,,,,,3427.6336
2007-07-01,97.319,3072.882,2145.846,2658.118,-712.113,14569.675,23784.72,3448.1371
2007-08-01,,,,,,,,3469.4665
2007-09-01,,,,,,,,3503.3674
2007-10-01,98.296,3088.111,2179.144,2605.21,-700.597,14685.33,24274.75,3558.0091
2007-11-01,,,,,,,,3585.5836
2007-12-01,,,,,,,,3598.8738
2008-01-01,99.139,3153.677,2196.917,2517.473,-756.759,14668.445,24595.369,3612.5344
2008-02-01,,,,,,,,3628.5268
2008-03-01,,,,,,,,3652.0594
2008-04-01,100.177,3507.289,2234.496,2472.623,-759.427,14812.974,24727.959,3658.3973
2008-05-01,,,,,,,,3649.8067
2008-06-01,,,,,,,,3637.1591
2008-07-01,101.197,3366.973,2278.228,2403.773,-773.628,14842.983,24994.566,3630.2545
2008-08-01,,,,,,,,3630.5327
2008-09-01,,,,,,,,3669.2395
2008-10-01,99.746,3525.54,2276.869,2190.041,-602.442,14549.949,24715.45,3826.2128
2008-11-01,,,,,,,,3825.3948
2008-12-01,,,,,,,,3819.0934
2009-01-01,99.182,3576.731,2309.928,1937.678,-393.864,14383.885,24453.252,3800.2668
2009-02-01,,,,,,,,3825.0932
2009-03-01,,,,,,,,3828.8489
2009-04-01,99.626,3813.296,2357.2,1820.549,-341.722,14340.417,24348.118,3838.5026
2009-05-01,,,,,,,,3877.6541
2009-06-01,,,,,,,,3860.3029
2009-07-01,100.253,3752.848,2384.528,1804.679,-405.562,14384.145,24182.497,3839.6285
2009-08-01,,,,,,,,3814.5133
2009-09-01,,,,,,,,3767.8631
2009-10-01,100.936,3795.78,2381.606,1949.553,-440.601,14566.511,23958.116,3743.0976
2009-11-01,,,,,,,,3804.0741
2009-12-01,,,,,,,,3776.8096
2010-01-01,101.279,3911.839,2370.385,2012.899,-488.704,14681.063,23797.839,3756.8535
2010-02-01,,,,,,,,3720.7997
2010-03-01,,,,,,,,3706.3723
2010-04-01,101.393,3989.746,2382.926,2116.907,-523.229,14888.6,23659.689,3712.3466
2010-05-01,,,,,,,,3699.2213
2010-06-01,,,,,,,,3682.3604
2010-07-01,101.693,3977.582,2396.5,2185.703,-535.014,15057.66,23679.491,3662.245
2010-08-01,,,,,,,,3656.1487
2010-09-01,,,,,,,,3643.8778
2010-10-01,102.233,3989.057,2392.252,2166.144,-503.682,15230.208,23572.045,3628.6308
2010-11-01,,,,,,,,3622.1163
2010-12-01,,,,,,,,3613.4966
2011-01-01,102.999,3947.977,2381.576,2125.917,-562.477,15238.371,23548.684,3602.2324
2011-02-01,,,,,,,,3570.2324
2011-03-01,,,,,,,,3540.6108
2011-04-01,104.041,4058.996,2380.572,2207.971,-586.949,15460.926,23522.368,3520.4829
2011-05-01,,,,,,,,3507.9075
2011-06-01,,,,,,,,3501.096
2011-07-01,104.593,3955.455,2367.984,2214.023,-572.402,15587.125,23528.436,3498.1266
