year,real_ir
2002,6.63
2003,1.67
2004,2.50
2005,5.00
2006,6.25
2007,10.75
2008,12.05
2009,9.50
2010,9.00
2011,9.00
2012,9.00
2013,9.00
2014,13.00
2015,18.00
2016,22.75
2017,26.75
2018,46.53
2019,55.00
2020,38.00
2021,38.00
2022,75.00
2023,100.00
2024,32.00
2025,29.00
