matchid,teamid,passes,bad_passes,pass_ratio,corners,fouls,cards,goals,shots,is_home,team_name,pass_80,pass_70,expected_goals,on_target,length,op_teamid,op_passes,op_bad_passes,op_pass_ratio,op_corners,op_fouls,op_cards,op_goals,op_shots,op_team_name,op_pass_80,op_pass_70,op_expected_goals,op_on_target,competitionid,seasonid,shots_op_ratio,goals_op_ratio,pass_op_ratio,points,timestamp
731828,366,5.016,0.92,0.8438761776581427,0.032,0.08,2.0,0.0,0.088,0,Netherlands,0.144,0.584,0.02712524398858185,0.008,125,632,3.8,0.936,0.8010118043844857,0.032,0.12,1.0,0.0,0.096,Argentina,0.096,0.344,0.7445302368517076,0.024,4,2013,0.9166666666666666,0.0,1.0535127860026918,1,1404949503945
731828,632,3.8,0.936,0.8010118043844857,0.032,0.12,1.0,0.0,0.096,1,Argentina,0.096,0.344,0.7445302368517076,0.024,125,366,5.016,0.92,0.8438761776581427,0.032,0.08,2.0,0.0,0.088,Netherlands,0.144,0.584,0.02712524398858185,0.008,4,2013,1.090909090909091,0.0,0.949205375849558,1,1404949493351
731827,614,4.4945054945054945,0.9340659340659341,0.8262626262626263,0.07692307692307693,0.15384615384615385,1.0,1.0,0.1978021978021978,1,Brazil,0.31868131868131866,0.7362637362637363,1.8460125483616359,0.08791208791208792,91,357,5.0989010989010985,0.989010989010989,0.836036036036036,0.054945054945054944,0.12087912087912088,0.0,7.0,0.15384615384615385,Germany,0.38461538461538464,0.9120879120879121,3.358085780480108,0.10989010989010989,4,2013,1.2857142857142856,0.14285714285714285,0.9883098223615465,0,1404860539250
731827,357,5.0989010989010985,0.989010989010989,0.836036036036036,0.054945054945054944,0.12087912087912088,0.0,7.0,0.15384615384615385,0,Germany,0.38461538461538464,0.9120879120879121,3.358085780480108,0.10989010989010989,91,614,4.4945054945054945,0.9340659340659341,0.8262626262626263,0.07692307692307693,0.15384615384615385,1.0,1.0,0.1978021978021978,Brazil,0.31868131868131866,0.7362637362637363,1.8460125483616359,0.08791208791208792,4,2013,0.7777777777777779,7.0,1.0118284543712417,3,1404859864586
741520,421,4.849462365591398,1.2043010752688172,0.799645390070922,0.07526881720430108,0.17204301075268819,2.0,1.0,0.1935483870967742,1,Sporting Kansas City,0.16129032258064516,0.6666666666666666,2.531149224850923,0.08602150537634409,93,1207,2.10752688172043,1.10752688172043,0.6533333333333333,0.03225806451612903,0.0967741935483871,2.0,1.0,0.06451612903225806,Chicago Fire,0.17204301075268819,0.3118279569892473,0.5615153493229001,0.021505376344086023,98,2014,3.0,1.0,1.2239470256187581,1,1404684084978
741520,1207,2.10752688172043,1.10752688172043,0.6533333333333333,0.03225806451612903,0.0967741935483871,2.0,1.0,0.06451612903225806,0,Chicago Fire,0.17204301075268819,0.3118279569892473,0.5615153493229001,0.021505376344086023,93,421,4.849462365591398,1.2043010752688172,0.799645390070922,0.07526881720430108,0.17204301075268819,2.0,1.0,0.1935483870967742,Sporting Kansas City,0.16129032258064516,0.6666666666666666,2.531149224850923,0.08602150537634409,98,2014,0.3333333333333333,1.0,0.8170288248337029,1,1404684083362
741519,1616,3.9361702127659575,1.2234042553191489,0.7613168724279835,0.05319148936170213,0.0425531914893617,1.0,0.0,0.0851063829787234,0,Montreal Impact,0.13829787234042554,0.26595744680851063,0.3420831612753443,0.02127659574468085,94,2079,3.276595744680851,1.3191489361702127,0.7113163972286374,0.0425531914893617,0.1276595744680851,0.0,1.0,0.11702127659574468,Chivas USA,0.1595744680851064,0.43617021276595747,0.4551437636172786,0.031914893617021274,98,2014,0.7272727272727273,0.0,1.0702928758484314,0,1404624852221
741519,2079,3.276595744680851,1.3191489361702127,0.7113163972286374,0.0425531914893617,0.1276595744680851,0.0,1.0,0.11702127659574468,1,Chivas USA,0.1595744680851064,0.43617021276595747,0.4551437636172786,0.031914893617021274,94,1616,3.9361702127659575,1.2234042553191489,0.7613168724279835,0.05319148936170213,0.0425531914893617,1.0,0.0,0.0851063829787234,Montreal Impact,0.13829787234042554,0.26595744680851063,0.3420831612753443,0.02127659574468085,98,2014,1.375,1.0,0.9343237001435616,3,1404624849877
741518,1708,4.354838709677419,1.1397849462365592,0.791015625,0.0,0.22580645161290322,0.0,1.0,0.13978494623655913,1,Vancouver Whitecaps,0.16129032258064516,0.4838709677419355,1.0768568316902445,0.07526881720430108,93,3500,4.612903225806452,1.2365591397849462,0.7871559633027523,0.03225806451612903,0.12903225806451613,1.0,0.0,0.13978494623655913,Seattle Sounders FC,0.25806451612903225,0.6666666666666666,0.13097123487472828,0.010752688172043012,98,2014,1.0,1.0,1.0049032998251748,3,1404622810821
741518,3500,4.612903225806452,1.2365591397849462,0.7871559633027523,0.03225806451612903,0.12903225806451613,1.0,0.0,0.13978494623655913,0,Seattle Sounders FC,0.25806451612903225,0.6666666666666666,0.13097123487472828,0.010752688172043012,93,1708,4.354838709677419,1.1397849462365592,0.791015625,0.0,0.22580645161290322,0.0,1.0,0.13978494623655913,Vancouver Whitecaps,0.16129032258064516,0.4838709677419355,1.0768568316902445,0.07526881720430108,98,2014,1.0,0.0,0.9951206252123683,0,1404622810742
741517,2077,4.6421052631578945,1.105263157894737,0.8062157221206582,0.05263157894736842,0.07368421052631578,1.0,1.0,0.2,1,Toronto FC,0.29473684210526313,0.8842105263157894,1.84331730064412,0.06315789473684211,95,1326,3.789473684210526,1.1473684210526316,0.7659574468085106,0.021052631578947368,0.08421052631578947,0.0,2.0,0.07368421052631578,D.C. United,0.07368421052631578,0.30526315789473685,1.0886016336194624,0.021052631578947368,98,2014,2.714285714285715,0.5,1.0525594149908593,0,1404612072751
741517,1326,3.789473684210526,1.1473684210526316,0.7659574468085106,0.021052631578947368,0.08421052631578947,0.0,2.0,0.07368421052631578,0,D.C. United,0.07368421052631578,0.30526315789473685,1.0886016336194624,0.021052631578947368,95,2077,4.6421052631578945,1.105263157894737,0.8062157221206582,0.05263157894736842,0.07368421052631578,1.0,1.0,0.2,Toronto FC,0.29473684210526313,0.8842105263157894,1.84331730064412,0.06315789473684211,98,2014,0.36842105263157887,2.0,0.950065132435953,3,1404612068705
731825,366,5.111111111111111,1.007936507936508,0.8341968911917098,0.0873015873015873,0.10317460317460317,2.0,0.0,0.19047619047619047,1,Netherlands,0.2619047619047619,0.7222222222222222,1.5435436415147326,0.047619047619047616,126,838,2.111111111111111,0.9126984126984127,0.6963350785340314,0.007936507936507936,0.11904761904761904,4.0,0.0,0.0873015873015873,Costa Rica,0.023809523809523808,0.06349206349206349,0.25417829541512393,0.007936507936507936,4,2013,2.1818181818181817,0.0,1.1979820016362148,1,1404604043770
731825,838,2.111111111111111,0.9126984126984127,0.6963350785340314,0.007936507936507936,0.11904761904761904,4.0,0.0,0.0873015873015873,0,Costa Rica,0.023809523809523808,0.06349206349206349,0.25417829541512393,0.007936507936507936,126,366,5.111111111111111,1.007936507936508,0.8341968911917098,0.0873015873015873,0.10317460317460317,2.0,0.0,0.19047619047619047,Netherlands,0.2619047619047619,0.7222222222222222,1.5435436415147326,0.047619047619047616,4,2013,0.4583333333333333,0.0,0.8347370817209196,1,1404604038607
731826,360,3.5157894736842104,1.1263157894736842,0.755656108597285,0.042105263157894736,0.11578947368421053,2.0,0.0,0.10526315789473684,0,Belgium,0.18947368421052632,0.5578947368421052,0.13097123487472828,0.010526315789473684,95,632,3.136842105263158,0.8736842105263158,0.7801047120418848,0.031578947368421054,0.14736842105263157,1.0,1.0,0.10526315789473684,Argentina,0.08421052631578947,0.30526315789473685,0.6760573939391149,0.031578947368421054,4,2013,1.0,0.0,0.9686598439065869,0,1404586457908
731826,632,3.136842105263158,0.8736842105263158,0.7801047120418848,0.031578947368421054,0.14736842105263157,1.0,1.0,0.10526315789473684,1,Argentina,0.08421052631578947,0.30526315789473685,0.6760573939391149,0.031578947368421054,95,360,3.5157894736842104,1.1263157894736842,0.755656108597285,0.042105263157894736,0.11578947368421053,2.0,0.0,0.10526315789473684,Belgium,0.18947368421052632,0.5578947368421052,0.13097123487472828,0.010526315789473684,4,2013,1.0,1.0,1.0323541398877638,3,1404586454564
