,Date,Open,High,Low,Close,Volume,Adj Close
0,2007-11-14 00:00:00,129.32,129.58,126.9,127.64,35900,127.64
1,2007-11-13 00:00:00,124.76,127.32,123.88,127.3,73300,127.3
2,2007-11-12 00:00:00,132.02,132.02,124.85,124.88,98600,124.88
3,2007-11-09 00:00:00,133.1,133.1,130.25,131.02,54000,131.02
4,2007-11-08 00:00:00,133.49,135.14,131.0,133.36,105600,133.36
5,2007-11-07 00:00:00,136.0,136.53,132.43,132.5,92200,132.5
6,2007-11-06 00:00:00,132.91,136.15,132.91,136.08,60100,136.08
7,2007-11-05 00:00:00,133.0,133.13,131.2,132.5,47100,132.5
8,2007-11-02 00:00:00,132.49,133.6,130.52,133.6,73300,133.6
9,2007-11-01 00:00:00,132.48,134.2,130.7,131.33,93400,131.33
10,2007-10-31 00:00:00,132.19,134.52,131.4,134.32,100800,134.32
11,2007-10-30 00:00:00,133.49,133.49,130.59,130.89,76400,130.89
12,2007-10-29 00:00:00,134.45,134.9,134.0,134.66,53000,134.66
13,2007-10-26 00:00:00,132.98,133.64,132.45,133.64,49800,133.64
14,2007-10-25 00:00:00,131.01,131.95,130.08,131.81,57800,131.81
15,2007-10-24 00:00:00,129.1,130.56,128.0,130.27,76500,130.27
16,2007-10-23 00:00:00,128.8,129.77,127.3,129.77,70900,129.77
17,2007-10-22 00:00:00,126.92,127.97,125.86,127.97,102400,127.97
18,2007-10-19 00:00:00,133.71,133.71,129.28,129.28,109500,129.28
19,2007-10-18 00:00:00,133.59,134.7,133.13,134.7,155300,134.7
20,2007-10-17 00:00:00,134.59,134.79,132.16,133.6,178300,133.6
21,2007-10-16 00:00:00,133.83,134.23,133.08,133.91,43400,133.91
22,2007-10-15 00:00:00,134.88,135.22,133.4,134.32,59800,134.32
23,2007-10-12 00:00:00,132.62,133.23,131.97,132.87,36000,132.87
24,2007-10-11 00:00:00,133.5,134.74,130.68,132.16,109000,132.16
25,2007-10-10 00:00:00,130.22,132.47,129.51,131.97,84300,131.97
26,2007-10-09 00:00:00,128.8,130.8,128.8,130.77,60600,130.77
27,2007-10-08 00:00:00,128.88,129.29,128.26,128.5,37800,128.5
28,2007-10-05 00:00:00,129.46,130.12,128.73,129.96,48300,129.96
29,2007-10-04 00:00:00,128.16,129.22,126.67,129.02,55700,129.02
30,2007-10-03 00:00:00,128.99,128.99,127.71,128.2,35900,128.2
31,2007-10-02 00:00:00,129.89,129.89,127.76,129.5,197700,129.5
32,2007-10-01 00:00:00,128.48,130.71,128.48,130.4,57500,130.4
33,2007-09-28 00:00:00,130.13,130.3,128.35,128.75,45900,128.75
34,2007-09-27 00:00:00,128.99,129.41,128.24,129.3,42000,129.3
35,2007-09-26 00:00:00,128.99,128.99,126.14,128.01,77200,128.01
36,2007-09-25 00:00:00,128.08,128.08,127.01,128.08,79600,127.9
37,2007-09-24 00:00:00,130.29,130.29,128.94,129.48,94800,129.3
38,2007-09-21 00:00:00,129.73,130.82,129.73,130.03,53700,129.85
39,2007-09-20 00:00:00,129.47,129.56,128.6,129.38,47400,129.2
40,2007-09-19 00:00:00,129.44,130.0,128.18,128.7,91600,128.52
41,2007-09-18 00:00:00,124.98,128.52,124.06,128.32,42500,128.14
42,2007-09-17 00:00:00,124.59,127.41,123.85,124.28,132200,124.11
43,2007-09-14 00:00:00,123.75,125.11,123.75,124.61,32300,124.44
44,2007-09-13 00:00:00,123.7,124.85,123.7,124.27,47900,124.1
45,2007-09-12 00:00:00,122.2,123.69,122.2,123.13,45000,122.96
46,2007-09-11 00:00:00,120.89,122.44,119.86,122.44,97100,122.27
