,Date,Open,High,Low,Close,Volume,Adj Close
0,2001-11-26 00:00:00,115.75,116.34,115.07,115.93,13726000,105.52
1,2001-11-27 00:00:00,115.62,116.9,114.09,115.43,19261400,105.06
2,2001-11-28 00:00:00,114.74,115.17,113.25,113.34,20195500,103.16
3,2001-11-29 00:00:00,113.66,114.92,113.0,114.87,16354700,104.55
4,2001-11-30 00:00:00,114.4,114.91,114.02,114.05,13680300,103.81
5,2001-12-03 00:00:00,113.65,114.08,113.01,113.37,15220400,103.19
6,2001-12-04 00:00:00,113.92,115.3,113.35,115.29,17239900,104.93
7,2001-12-05 00:00:00,115.61,118.0,115.56,117.4,25204000,106.85
8,2001-12-06 00:00:00,117.34,117.94,116.93,117.34,17972900,106.8
9,2001-12-07 00:00:00,116.9,117.09,115.7,116.56,18857800,106.09
10,2001-12-10 00:00:00,115.85,116.39,114.35,114.38,13862700,104.11
11,2001-12-11 00:00:00,114.9,115.72,113.9,114.15,20833300,103.9
12,2001-12-12 00:00:00,114.55,114.78,113.11,114.28,16171500,104.02
13,2001-12-13 00:00:00,113.45,113.7,112.04,112.06,19026700,101.99
14,2001-12-14 00:00:00,112.33,113.49,112.0,113.13,16721900,102.97
15,2001-12-17 00:00:00,112.99,114.36,112.9,114.3,13925900,104.03
16,2001-12-18 00:00:00,114.63,115.15,114.34,114.98,13663700,104.65
17,2001-12-19 00:00:00,114.09,115.92,114.0,115.79,20143400,105.39
18,2001-12-20 00:00:00,115.5,115.8,114.55,114.65,14867900,104.35
19,2001-12-21 00:00:00,115.03,115.07,114.2,114.95,14037700,104.62
20,2001-12-24 00:00:00,114.83,115.04,114.61,114.73,5728800,104.42
21,2001-12-26 00:00:00,114.65,116.21,114.65,115.36,10304800,105.0
22,2001-12-27 00:00:00,115.3,116.08,115.25,116.06,9407300,105.64
23,2001-12-28 00:00:00,116.29,116.75,115.92,116.0,10593800,105.58
24,2001-12-31 00:00:00,116.15,116.39,114.23,114.3,14619500,104.03
25,2002-01-02 00:00:00,115.11,115.75,113.81,115.53,18651900,105.15
26,2002-01-03 00:00:00,115.65,116.95,115.54,116.84,15743000,106.35
27,2002-01-04 00:00:00,117.17,117.98,116.55,117.62,20140700,107.06
28,2002-01-07 00:00:00,117.7,117.99,116.56,116.79,13106500,106.3
29,2002-01-08 00:00:00,116.79,117.06,115.97,116.52,12683700,106.05
30,2002-01-09 00:00:00,116.68,117.78,115.34,115.57,16610300,105.19
