country,year,unemploy
United Kingdom,1990,5.8
United Kingdom,1989,6.3
United Kingdom,1988,8.3
United Kingdom,1987,10.5
United Kingdom,1986,11.8
United Kingdom,1985,11.7
United Kingdom,1984,11.5
United Kingdom,1990,5.8
United Kingdom,1989,6.3
United Kingdom,1988,8.3
United Kingdom,1987,10.5
United Kingdom,1986,11.8
United Kingdom,1985,11.7
United Kingdom,1984,11.5
United Kingdom,1983,12.2
United Kingdom,1982,13.0
United Kingdom,1981,11.4
United Kingdom,1980,7.4
United Kingdom,1979,5.7
United Kingdom,1978,6.1
United Kingdom,1977,6.2
United Kingdom,1976,5.7
United Kingdom,1975,4.2
United Kingdom,1974,2.6
United Kingdom,1973,2.7
United Kingdom,1972,3.8
United Kingdom,1971,3.5
United Kingdom,1970,2.7
