DATE,us,DDDI06JPA156NWDB,JPNNGDP,curr
1970-01-01,0.9590000000000001,3.88,,
1970-02-01,1.08,,,
1970-03-01,0.898,,,
1970-04-01,0.845,,,
1970-05-01,0.968,,,
1970-06-01,0.8809999999999999,,,
1970-07-01,1.36,,,
1970-08-01,0.8370000000000001,,,
1970-09-01,0.6,,,
1970-10-01,0.46299999999999997,,,
1970-11-01,0.415,,,
1970-12-01,0.332,,,
1971-01-01,0.364,3.03,,358.02
1971-02-01,0.332,,,357.545
1971-03-01,0.319,,,357.5187
1971-04-01,0.153,,,357.5032
1971-05-01,0.284,,,357.413
1971-06-01,0.49200000000000005,,,357.4118
1971-07-01,0.823,,,357.4043
1971-08-01,0.809,,,355.78
1971-09-01,0.495,,,338.021
1971-10-01,0.35700000000000004,,,331.1105
1971-11-01,0.384,,,328.752
1971-12-01,0.126,,,320.0727
1972-01-01,0.021,1.71,,312.72
1972-02-01,0.033,,,305.187
1972-03-01,0.098,,,302.5365
1972-04-01,0.11699999999999999,,,303.5605
1972-05-01,0.111,,,304.3795
1972-06-01,0.1,,,302.4145
1972-07-01,0.23800000000000002,,,301.0305
1972-08-01,0.38799999999999996,,,301.1609
1972-09-01,0.541,,,301.119
1972-10-01,0.555,,,301.011
1972-11-01,0.608,,,300.9885
1972-12-01,1.05,,,301.2405
1973-01-01,1.16,1.35,,301.7882
1973-02-01,1.5930000000000002,,,278.4206
1973-03-01,1.824,,,261.9014
1973-04-01,1.7109999999999999,,,265.4914
1973-05-01,1.8430000000000002,,,264.6505
1973-06-01,1.851,,,264.4981
1973-07-01,1.953,,,264.5538
1973-08-01,2.165,,,265.22
1973-09-01,1.8519999999999999,,,265.4747
1973-10-01,1.476,,,266.3348
1973-11-01,1.393,,,278.2625
1973-12-01,1.298,,,280.1775
1974-01-01,1.051,2.23,,298.1336
1974-02-01,1.1909999999999998,,,291.0872
1974-03-01,1.314,,,282.1648
1974-04-01,1.736,,,277.7741
1974-05-01,2.59,,,278.9664
1974-06-01,3.0060000000000002,,,282.97
1974-07-01,3.301,,,290.98
1974-08-01,3.3360000000000003,,,302.2836
1974-09-01,3.282,,,299.084
1974-10-01,1.8130000000000002,,,299.3645
1974-11-01,1.252,,,300.075
1974-12-01,0.727,,,300.4114
1975-01-01,0.39799999999999996,4.05,,299.6845
1975-02-01,0.147,,,291.6583
1975-03-01,0.106,,,287.9486
1975-04-01,0.11,,,292.1968
1975-05-01,0.066,,,291.4305
1975-06-01,0.22699999999999998,,,293.4662
1975-07-01,0.301,,,296.3741
1975-08-01,0.21100000000000002,,,297.9762
1975-09-01,0.397,,,299.909
1975-10-01,0.19,,,302.3364
1975-11-01,0.06,,,302.5453
1975-12-01,0.13,,,305.67
1976-01-01,0.078,4.64,,304.6357
1976-02-01,0.081,,,301.5944
1976-03-01,0.054000000000000006,,,300.5183
1976-04-01,0.044000000000000004,,,299.1086
1976-05-01,0.115,,,299.004
1976-06-01,0.127,,,299.1909
1976-07-01,0.133,,,294.641
1976-08-01,0.1,,,290.6259
1976-09-01,0.062,,,287.361
1976-10-01,0.094,,,291.189
1976-11-01,0.07200000000000001,,,295.1653
1976-12-01,0.053,,,294.7017
1977-01-01,0.068,3.96,,291.0524
1977-02-01,0.07200000000000001,,,285.0221
1977-03-01,0.10300000000000001,,,280.2265
1977-04-01,0.073,,,275.2071
1977-05-01,0.20600000000000002,,,277.4262
1977-06-01,0.262,,,272.8609
1977-07-01,0.32299999999999995,,,264.8632
1977-08-01,1.061,,,266.6774
1977-09-01,0.626,,,266.77
1977-10-01,1.306,,,254.7445
1977-11-01,0.862,,,244.7026
1977-12-01,0.569,,,241.0229
1978-01-01,0.484,3.9,,241.081
1978-02-01,0.406,,,240.3722
1978-03-01,0.32799999999999996,,,231.8574
1978-04-01,0.557,,,221.857
1978-05-01,1.212,,,226.1786
1978-06-01,1.094,,,214.1064
1978-07-01,1.317,,,199.6955
1978-08-01,1.14,,,188.7096
1978-09-01,1.06,,,189.9195
1978-10-01,1.2770000000000001,,,183.631
1978-11-01,0.703,,,192.1425
1978-12-01,0.868,,,195.955
1979-01-01,1.003,4.04,,197.755
1979-02-01,0.973,,,200.5072
1979-03-01,0.991,,,206.3236
1979-04-01,0.9179999999999999,,,216.2852
1979-05-01,1.765,,,218.4141
1979-06-01,1.4180000000000001,,,218.5967
1979-07-01,1.171,,,216.51
1979-08-01,1.085,,,217.9257
1979-09-01,1.34,,,222.4137
1979-10-01,2.022,,,230.4845
1979-11-01,1.906,,,244.9842
1979-12-01,1.473,,,240.3745
1980-01-01,1.2409999999999999,4.05,,237.8886
1980-02-01,1.655,,,244.35
1980-03-01,2.823,,,248.4786
1980-04-01,2.455,,,250.275
1980-05-01,1.018,,,228.6286
1980-06-01,0.379,,,217.9176
1980-07-01,0.395,,,221.1364
1980-08-01,0.6579999999999999,,,223.9138
1980-09-01,1.311,,,214.4167
1980-10-01,1.31,,,209.3227
1980-11-01,2.06,,,213.1059
1980-12-01,1.69,,,209.4886
1981-01-01,1.395,4.55,,202.3667
1981-02-01,1.3030000000000002,,,205.7167
1981-03-01,1.0,,,208.7918
1981-04-01,1.338,,,214.9759
1981-05-01,2.2230000000000003,,,220.6285
1981-06-01,2.037,,,224.1805
1981-07-01,1.679,,,232.3261
1981-08-01,1.42,,,233.3262
1981-09-01,1.456,,,229.481
1981-10-01,1.181,,,231.519
1981-11-01,0.6629999999999999,,,223.1267
1981-12-01,0.636,,,218.9545
1982-01-01,1.517,5.14,,224.805
1982-02-01,1.7890000000000001,,,235.3056
1982-03-01,1.555,,,241.2283
1982-04-01,1.568,,,244.1068
1982-05-01,1.117,,,236.9635
1982-06-01,1.205,,,251.1977
1982-07-01,0.691,,,255.031
1982-08-01,0.515,,,259.0455
1982-09-01,0.9329999999999999,,,263.2857
1982-10-01,0.47700000000000004,,,271.615
1982-11-01,0.621,,,264.0879
1982-12-01,0.634,,,241.9413
1983-01-01,0.529,5.15,,232.731
1983-02-01,0.5820000000000001,,,236.1211
1983-03-01,0.792,,,238.2543
1983-04-01,1.0090000000000001,,,237.7467
1983-05-01,0.9520000000000001,,,234.7557
1983-06-01,1.636,,,240.0314
