country,year,SL.UEM.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NE.RSB.GNFS.ZS
United Kingdom,2015,,0.27314455177,-1.9667603398
United Kingdom,2014,6.30000019073,1.83752566497,-1.8930968714
United Kingdom,2013,7.5,1.98503391471,-1.97314157361
United Kingdom,2012,8.0,1.6257070172,-2.03475471306
United Kingdom,2011,7.80000019073,2.09619045476,-1.61842072764
United Kingdom,2010,7.90000009537,3.11135318265,-2.76719201208
United Kingdom,2009,7.80000019073,2.04895552555,-2.33629731438
United Kingdom,2008,5.40000009537,2.86011562232,-3.05541535025
United Kingdom,2007,5.40000009537,2.86052772025,-2.67693342128
United Kingdom,2006,5.5,2.98635941682,-2.56807097866
United Kingdom,2005,4.80000019073,2.91661442736,-2.73492992428
United Kingdom,2004,4.69999980927,2.90139024092,-2.80916288412
United Kingdom,2003,4.90000009537,2.73029651013,-2.53389832645
United Kingdom,2002,5.19999980927,2.50884417035,-2.9220376659
United Kingdom,2001,4.80000019073,1.05220367854,-2.43304008645
United Kingdom,2000,5.59999990463,2.31318813764,-1.96444420223
United Kingdom,1999,6.0,1.10622910625,-1.64038285246
United Kingdom,1998,6.19999980927,1.61874590562,-0.814564762747
United Kingdom,1997,7.19999980927,2.31840800784,0.468597196566
United Kingdom,1996,8.30000019073,4.01779271248,0.228772021994
United Kingdom,1995,8.69999980927,2.65124617916,0.336885378639
United Kingdom,1994,9.80000019073,1.22016450833,0.0328497603315
United Kingdom,1993,10.5,2.58773667772,-0.301669158187
United Kingdom,1992,9.89999961853,3.27435605905,-0.650429400301
United Kingdom,1991,8.5,6.58497613487,-0.321172885614
United Kingdom,1990,,8.07953040517,-1.75866872512
United Kingdom,1989,,7.99745864014,-3.51395940421
United Kingdom,1988,,5.94516053397,-3.14314168675
United Kingdom,1987,,5.27338843296,-0.860043950742
United Kingdom,1986,,4.31714895895,-0.532493206373
United Kingdom,1985,,5.5463232044,1.1397002762
United Kingdom,1984,,5.03900207148,0.00081759121016
United Kingdom,1983,,5.14305512519,0.993599648298
United Kingdom,1982,,7.33405725179,1.91060014111
United Kingdom,1981,,11.6357560732,2.80969753052
United Kingdom,1980,,19.8725664075,2.18511248596
United Kingdom,1979,,14.1466895094,0.411589730478
United Kingdom,1978,,11.5370947776,1.33913440624
United Kingdom,1977,,13.5561164244,0.74269706132
United Kingdom,1976,,14.9816997827,-1.04125160294
United Kingdom,1975,,25.8677538936,-1.61592711899
United Kingdom,1974,,15.1023451721,-4.66916060919
United Kingdom,1973,,8.39846683356,-2.23276153396
United Kingdom,1972,,7.28543064978,-0.069990154877
United Kingdom,1971,,8.00967655521,1.35465543871
United Kingdom,1970,,10.9830113447,0.846545517989
Turkey,2015,,7.4666773895,-2.85788677616
Turkey,2014,9.19999980927,8.27094452397,-4.24344827073
Turkey,2013,8.69999980927,6.17067264741,-6.54314631362
Turkey,2012,9.19999980927,6.90224491861,-5.16261307221
Turkey,2011,9.80000019073,8.57760032388,-8.6708214917
Turkey,2010,11.8999996185,5.67573815078,-5.55063716692
Turkey,2009,14.0,5.29434153757,-1.10538409208
Turkey,2008,11.0,11.9944160601,-4.43275936664
Turkey,2007,10.3000001907,6.22093211958,-5.16063112104
Turkey,2006,10.1999998093,9.33086793241,-4.91114311076
Turkey,2005,10.6000003815,7.08429166016,-3.4961273409
Turkey,2004,10.8000001907,12.3998747369,-2.63406012128
Turkey,2003,10.5,23.2703142686,-1.04345180515
