DATE,nonfinloanus,constructloanus,nonfinloanjp,realgdpjp,realgdpus,xjpus,m2us,m2jp
1970-01-01,918.764,68.9435,80629.4,,4707.112,,5.896e+11,5.896e+11
1970-02-01,,69.2433,,,,,5.863e+11,5.863e+11
1970-03-01,,69.4233,,,,,5.873e+11,5.873e+11
1970-04-01,942.369,69.5445,83553.4,,4715.441,,5.884e+11,5.884e+11
1970-05-01,,69.5922,,,,,5.915e+11,5.915e+11
1970-06-01,,69.472,,,,,5.952e+11,5.952e+11
1970-07-01,959.238,69.6762,87520.3,,4757.213,,5.991e+11,5.991e+11
1970-08-01,,69.8874,,,,,6.049e+11,6.049e+11
1970-09-01,,70.1578,,,,,6.112e+11,6.112e+11
1970-10-01,979.104,70.4831,92647.4,,4708.281,,6.164e+11,6.164e+11
1970-11-01,,70.7558,,,,,6.211e+11,6.211e+11
1970-12-01,,71.3438,,,,,6.265e+11,6.265e+11
1971-01-01,992.14,71.7341,96243.0,,4834.349,358.02,6.33e+11,6.33e+11
1971-02-01,,72.1652,,,,357.545,6.41e+11,6.41e+11
1971-03-01,,72.8177,,,,357.5187,6.499e+11,6.499e+11
1971-04-01,1022.64,73.5507,100639.6,,4861.938,357.5032,6.584e+11,6.584e+11
1971-05-01,,74.296,,,,357.413,6.667e+11,6.667e+11
1971-06-01,,75.0391,,,,357.4118,6.73e+11,6.73e+11
1971-07-01,1046.927,76.2853,106153.3,,4899.95,357.4043,6.796e+11,6.796e+11
1971-08-01,,77.0427,,,,355.78,6.855e+11,6.855e+11
1971-09-01,,77.9896,,,,338.021,6.925e+11,6.925e+11
1971-10-01,1074.708,78.9773,113203.0,,4914.261,331.1105,6.984e+11,6.984e+11
1971-11-01,,79.8791,,,,328.752,7.046e+11,7.046e+11
1971-12-01,,79.9843,,,,320.0727,7.103e+11,7.103e+11
1972-01-01,1095.525,81.2625,117218.5,,5002.436,312.72,7.177e+11,7.177e+11
1972-02-01,,83.0947,,,,305.187,7.257e+11,7.257e+11
1972-03-01,,84.4289,,,,302.5365,7.335e+11,7.335e+11
1972-04-01,1135.65,85.836,121381.3,,5118.278,303.5605,7.384e+11,7.384e+11
1972-05-01,,87.1949,,,,304.3795,7.434e+11,7.434e+11
1972-06-01,,88.2498,,,,302.4145,7.497e+11,7.497e+11
1972-07-01,1163.951,89.7955,128587.6,,5165.448,301.0305,7.595e+11,7.595e+11
1972-08-01,,91.426,,,,301.1609,7.687e+11,7.687e+11
1972-09-01,,92.8494,,,,301.119,7.783e+11,7.783e+11
1972-10-01,1205.632,94.2773,138178.8,,5251.226,301.011,7.869e+11,7.869e+11
1972-11-01,,95.8342,,,,300.9885,7.939e+11,7.939e+11
1972-12-01,,96.8695,,,,301.2405,8.023e+11,8.023e+11
