DATE,m2cd,gdp,nonfincred,realest
1970-01-01,589.6,1053.528,918.764,68.9435
1970-02-01,586.3,,,69.2433
1970-03-01,587.3,,,69.4233
1970-04-01,588.4,1070.11,942.369,69.5445
1970-05-01,591.5,,,69.5922
1970-06-01,595.2,,,69.472
1970-07-01,599.1,1088.461,959.238,69.6762
1970-08-01,604.9,,,69.8874
1970-09-01,611.2,,,70.1578
1970-10-01,616.4,1091.462,979.104,70.4831
1970-11-01,621.1,,,70.7558
1970-12-01,626.5,,,71.3438
1971-01-01,632.9,1137.812,992.14,71.7341
1971-02-01,641.0,,,72.1652
1971-03-01,649.9,,,72.8177
1971-04-01,658.4,1159.355,1022.64,73.5507
1971-05-01,666.7,,,74.296
1971-06-01,673.0,,,75.0391
1971-07-01,679.6,1180.313,1046.927,76.2853
1971-08-01,685.5,,,77.0427
1971-09-01,692.5,,,77.9896
1971-10-01,698.4,1193.585,1074.708,78.9773
1971-11-01,704.6,,,79.8791
1971-12-01,710.3,,,79.9843
1972-01-01,717.7,1233.807,1095.525,81.2625
1972-02-01,725.7,,,83.0947
1972-03-01,733.5,,,84.4289
1972-04-01,738.4,1270.122,1135.65,85.836
1972-05-01,743.3,,,87.1949
1972-06-01,749.7,,,88.2498
1972-07-01,759.5,1293.837,1163.951,89.7955
1972-08-01,768.7,,,91.426
1972-09-01,778.3,,,92.8494
1972-10-01,786.9,1332.023,1205.632,94.2773
1972-11-01,793.9,,,95.8342
1972-12-01,802.3,,,96.8695
1973-01-01,810.3,1380.68,1240.613,98.7011
1973-02-01,814.1,,,100.4561
1973-03-01,815.3,,,102.4606
1973-04-01,819.7,1417.595,1288.128,104.3032
1973-05-01,826.8,,,105.8163
1973-06-01,833.3,,,107.5113
1973-07-01,836.5,1436.813,1328.508,109.2387
1973-08-01,838.8,,,110.9024
1973-09-01,839.3,,,112.4848
1973-10-01,842.6,1479.069,1364.255,113.9684
1973-11-01,848.9,,,115.5313
1973-12-01,855.5,,,117.002
1974-01-01,859.7,1494.654,1389.477,117.9292
1974-02-01,864.2,,,119.4011
1974-03-01,870.1,,,120.9877
1974-04-01,872.9,1534.22,1440.686,122.7659
1974-05-01,874.6,,,124.1513
1974-06-01,877.8,,,125.292
1974-07-01,881.4,1563.396,1477.918,126.5844
1974-08-01,884.1,,,127.3706
1974-09-01,887.9,,,127.9814
1974-10-01,893.3,1603.004,1510.987,128.6274
1974-11-01,898.6,,,129.2202
1974-12-01,902.1,,,129.7876
1975-01-01,906.3,1619.553,1519.198,130.0257
1975-02-01,914.1,,,130.6318
1975-03-01,925.0,,,131.1786
1975-04-01,935.1,1656.448,1545.681,131.6391
1975-05-01,947.9,,,131.7233
1975-06-01,963.0,,,131.8532
