year,country,unemploy,inf,tbal
1970,United Kingdom,2.7,12.9655792164,0.846545517989
1971,United Kingdom,3.5,8.00955414232,1.35465543871
1972,United Kingdom,3.8,7.28512457399,-0.069990154877
1973,United Kingdom,2.7,8.40024455145,-2.23276153396
1974,United Kingdom,2.6,15.1009704004,-4.66916060919
1975,United Kingdom,4.2,25.8675418646,-1.61592711899
1976,United Kingdom,5.7,14.9816546859,-1.04125160294
1977,United Kingdom,6.2,13.5569734397,0.74269706132
1978,United Kingdom,6.1,11.5363728107,1.33913440624
1979,United Kingdom,5.7,14.1462453542,0.411589730478
1980,United Kingdom,7.4,19.8726746581,2.18511248596
1981,United Kingdom,11.4,11.6362618268,2.80969753052
1982,United Kingdom,13.0,7.33391261558,1.91060014111
1983,United Kingdom,12.2,5.1425992343,0.993599648298
1984,United Kingdom,11.5,5.04139413679,0.00081759121016
1985,United Kingdom,11.7,6.12541233833,1.1397002762
1986,United Kingdom,11.8,4.32510772916,-0.532493206373
1987,United Kingdom,10.5,5.28725541762,-0.860043950742
1988,United Kingdom,8.3,5.93114061758,-3.14314168675
1989,United Kingdom,6.3,7.99868537129,-3.51395940421
1990,United Kingdom,5.8,8.09727054232,-1.75866872512
1991,United Kingdom,8.5,6.56260800316,-0.321172885614
1992,United Kingdom,9.89999961853,3.27379538974,-0.650429400301
1993,United Kingdom,10.5,2.5771456604,-0.301669158187
1994,United Kingdom,9.80000019073,1.21919629601,0.0328497603315
1995,United Kingdom,8.69999980927,0.305300590262,0.336885378639
1996,United Kingdom,8.30000019073,4.01779271248,0.228772021994
1997,United Kingdom,7.19999980927,2.31840800784,0.468597196566
1998,United Kingdom,6.19999980927,1.61874590562,-0.814564762747
1999,United Kingdom,6.0,1.10622910625,-1.64038285246
2000,United Kingdom,5.59999990463,2.31318813764,-1.96444420223
2001,United Kingdom,4.80000019073,1.05220367854,-2.43304008645
2002,United Kingdom,5.19999980927,2.50884417035,-2.9220376659
2003,United Kingdom,4.90000009537,2.73029651013,-2.53389832645
2004,United Kingdom,4.69999980927,2.90139024092,-2.80916288412
2005,United Kingdom,4.80000019073,2.91661442736,-2.73492992428
2006,United Kingdom,5.5,2.98635941682,-2.56807097866
2007,United Kingdom,5.40000009537,2.86052772025,-2.67693342128
2008,United Kingdom,5.40000009537,2.86011562232,-3.05541535025
2009,United Kingdom,7.80000019073,2.04895552555,-2.33629731438
2010,United Kingdom,7.90000009537,3.11135318265,-2.76719201208
2011,United Kingdom,7.80000019073,2.09619045476,-1.61842072764
2012,United Kingdom,8.0,1.6257070172,-2.03475471306
2013,United Kingdom,7.5,1.98503391471,-1.97314157361
2014,United Kingdom,6.30000019073,1.70653825691,-1.90108228242
2015,United Kingdom,,,
