PingArc,Date,DateSat,x,y,z,vx,vy,vz,Lat,Lon,Alt,ChType,BTO,BFO,bias,Dist,deltaSatAFC,deltaFBias,deltaFDown
31.42,2014-03-07 18:25:27.421,2014-03-07 18:25:27.400,18136.78868969146,38071.78026703873,1149.2507807236689,0.0018859747021169328,-0.001153947878450579,0.0267313501097626,1.5626234825057301,64.52761496708848,35808.65869693893,R-Channel RX,12520.0,142.0,-0.49503489906383896,36808.797433247826,10.8,152.5,-1715.6418252730894
29.01,2014-03-07 19:41:02.906,2014-03-07 19:41:02.900,18145.32264428353,38067.080600078254,1206.109395150072,0.001909939846570286,-0.0009101445214114713,-0.0018866492754708109,1.639914457440811,64.51440109727355,35809.67631067237,R-Channel RX,11500.0,111.0,-0.49503489906383896,36648.87497052219,-1.2,152.5,-5.640607657194375
29.67,2014-03-07 20:41:04.904,2014-03-07 20:41:04.900,18152.41526095225,38064.0978506647,1158.090406513674,0.002036975824636134,-0.0007658241686843148,-0.02462251975434492,1.5746444844733267,64.5039586150434,35808.68933459257,R-Channel RX,11740.0,141.0,-0.49503489906383896,36689.19615592309,-1.3,152.5,1344.9388933207972
32.27,2014-03-07 21:41:26.905,2014-03-07 21:41:26.900,18160.03394549535,38061.3512423155,1029.839566698532,0.002157969146958205,-0.0007836136408778671,-0.0457839713884249,1.400310289657705,64.49300939275824,35806.16096038901,R-Channel RX,12780.0,168.0,-0.49503489906383896,36857.91493781265,-17.9,152.5,2591.4473689250117
36.30,2014-03-07 22:41:21.906,2014-03-07 22:41:21.900,18167.8175685876,38058.20281229121,831.9831194232676,0.002137488831615908,-0.000999614048778685,-0.06365939611531024,1.131342319663242,64.48162317951771,35802.301035187,R-Channel RX,14540.0,204.0,-0.49503489906383896,37141.86054074111,-28.5,152.5,3635.25795574075
43.44,2014-03-08 00:10:59.928,2014-03-08 00:10:59.900,18178.15719487011,38051.354149254665,435.2215350029892,0.0015841293240503869,-0.001574759874507059,-0.08199753079043696,0.5919005330087392,64.46493684795185,35794.61036583927,R-Channel RX,18040.0,252.0,-0.49503489906383896,37707.0919008671,-37.7,152.5,4701.2452629678555
44,2014-03-08 00:19:29.416,2014-03-08 00:19:29.400,18178.94107896203,38050.53693479388,393.1532162360965,0.001491741405092117,-0.001632994975631741,-0.08311908071593083,0.5346962669815677,64.46349720579846,35793.797327466586,R-Channel RX,18400.0,182.0,-0.49503489906383896,37765.36632997722,-38.0,152.5,4766.950541472177
