Close	Lt	Ht
25.25	25.25	25.32
25.32	25.19	25.32
25.30	25.28	25.41
25.33	25.28	25.38
25.33	25.27	25.37
25.36	25.36	25.45
25.35	25.34	25.44
25.42	25.38	25.52
25.47	25.29	25.47
25.45	25.39	25.46
25.55	25.49	25.56
25.50	25.50	25.57
25.54	25.54	25.61
25.59	25.51	25.59
25.62	25.58	25.74
25.63	25.63	25.78
25.62	25.58	25.69
25.68	25.63	25.74
25.70	25.65	25.75
25.75	25.65	25.75
