Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2010-01-01,0.0,18.05,18.2,0.0,18.2,18.2,0.0,0.0,0.0
2010-01-02,0.0,18.05,18.2,0.0,18.2,18.2,0.0,0.0,0.0
2010-01-03,0.0,18.05,18.2,0.0,18.2,18.2,0.0,0.0,0.0
2014-10-27,0.0,0.0,0.0,0.0,18.8,18.8,0.0,0.0,0.0
2014-10-28,18.87,18.9,18.65,18.7,18.55,-0.25,10.0,0.0,7.0
2014-10-29,18.72,18.75,18.72,18.72,18.65,0.1,1.0,0.0,8.0
2014-10-30,0.0,18.75,18.85,0.0,18.65,0.0,0.0,0.0,8.0
2014-10-31,18.8,18.8,18.55,18.7,18.75,0.1,12.0,0.0,20.0
2014-11-03,18.87,19.08,18.77,18.98,18.95,0.2,58.0,0.0,76.0
2014-11-04,19.05,19.3,19.0,19.15,19.05,0.1,15.0,0.0,89.0
2014-11-05,18.95,19.03,18.8,18.95,18.85,-0.2,40.0,0.0,124.0
2014-11-06,18.85,18.97,18.6,18.6,18.6,-0.25,68.0,0.0,180.0
2014-11-07,18.75,18.75,18.55,18.61,18.65,0.05,33.0,0.0,209.0
2014-11-10,18.55,18.65,18.33,18.33,18.35,-0.3,49.0,0.0,248.0
2014-11-11,18.25,18.41,18.2,18.2,18.15,-0.2,26.0,0.0,267.0
2014-11-12,18.3,18.45,18.2,18.3,18.35,0.2,21.0,0.0,275.0
2014-11-13,18.35,18.9,18.3,18.61,18.65,0.3,144.0,0.0,377.0
2014-11-14,19.25,19.25,18.45,18.5,18.5,-0.15,201.0,0.0,434.0
2014-11-17,18.6,18.65,18.4,18.43,18.5,0.0,109.0,0.0,520.0
2014-11-18,18.4,18.56,18.3,18.5,18.6,0.1,139.0,0.0,517.0
2014-11-19,18.55,18.75,18.45,18.75,18.75,0.15,428.0,0.0,913.0
2014-11-20,18.7,18.9,18.6,18.65,18.65,-0.1,584.0,0.0,1212.0
2014-11-21,18.62,18.66,18.38,18.57,18.6,-0.05,925.0,0.0,2051.0
2014-11-24,18.55,18.65,18.45,18.6,18.6,0.0,403.0,0.0,2001.0
2014-11-25,18.57,18.78,18.5,18.68,18.7,0.1,419.0,0.0,1932.0
2014-11-26,18.68,18.76,18.6,18.6,18.6,-0.1,525.0,0.0,2276.0
2014-11-28,18.58,18.76,18.57,18.65,18.7,0.1,87.0,0.0,2116.0
2014-12-01,18.75,19.06,18.73,19.06,19.05,0.35,962.0,0.0,2308.0
2014-12-02,19.05,19.05,18.4,18.43,18.4,-0.65,667.0,0.0,2624.0
2014-12-03,18.4,18.5,18.3,18.45,18.5,0.1,491.0,0.0,2738.0
2014-12-04,18.4,18.68,18.35,18.43,18.35,-0.15,1047.0,0.0,3046.0
2014-12-05,18.4,18.4,18.18,18.3,18.35,0.0,375.0,0.0,3092.0
2014-12-08,18.4,18.8,18.33,18.78,18.8,0.45,583.0,0.0,3220.0
2014-12-09,18.75,19.15,18.64,18.79,18.75,-0.05,1124.0,0.0,3582.0
2014-12-10,18.8,19.55,18.75,19.52,19.55,0.8,560.0,0.0,3618.0
2014-12-11,19.35,20.3,18.95,20.3,20.3,0.75,1552.0,0.0,4019.0
