Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2014-02-18,,,,,0.61,35.8,0.0,80.0
2014-02-19,,,,,0.08,35.88,0.0,80.0
2014-02-20,,,,,0.05,35.83,0.0,80.0
2014-02-21,,,,,0.2,35.63,0.0,80.0
2014-02-24,,,,,0.18,35.45,0.0,80.0
2014-02-25,,,,,,35.45,0.0,80.0
2014-02-26,,,,,0.05,35.5,0.0,80.0
2014-02-27,,,,,0.05,35.55,0.0,80.0
2014-02-28,,,,,0.45,36.0,0.0,80.0
2014-03-03,,,,,,36.0,0.0,80.0
2014-03-04,,,,,0.13,36.13,0.0,80.0
2014-03-05,,,,,0.1,36.03,0.0,80.0
2014-03-06,,,,,0.35,36.38,0.0,80.0
2014-03-07,,,,,0.33,36.05,0.0,80.0
2014-03-11,,,,,0.13,36.13,0.0,80.0
2014-03-12,,,,,0.55,36.68,0.0,80.0
2014-03-13,,,,,0.43,36.25,0.0,80.0
2014-03-14,,,,,,36.25,0.0,80.0
2014-03-17,,,,,0.18,36.43,0.0,80.0
2014-03-18,,,,,0.27,36.7,0.0,80.0
2014-03-19,,,,,0.3,37.0,0.0,80.0
2014-05-16,,,,,,99.7375,0.0,0.0
2014-05-19,,,99.705,,0.015,99.7225,0.0,0.0
2014-05-20,,99.725,,,0.0025,99.72,0.0,0.0
2014-05-21,,,99.7175,,,99.72,0.0,0.0
2014-05-22,,,,,0.0075,99.7125,0.0,0.0
2014-05-23,,,,,,99.7125,0.0,0.0
2014-05-27,,,99.7075,,,99.7125,0.0,0.0
2014-05-28,,,,,0.01,99.7225,0.0,0.0
2014-05-29,,,99.7175,,0.01,99.7125,0.0,0.0
2014-05-30,,,,,,99.7125,0.0,0.0
2014-06-02,,,,,,99.7125,0.0,0.0
2014-06-03,,,,,,99.7125,0.0,0.0
2014-06-04,,,,,,99.7125,0.0,0.0
2014-06-05,,99.7225,,,0.015,99.7275,0.0,0.0
2014-06-06,99.7275,99.7325,99.715,,0.0175,99.71,4.0,0.0
2014-06-09,,,99.6975,,0.015,99.695,0.0,4.0
2014-06-10,,,99.6875,,0.0075,99.6875,0.0,4.0
2014-06-11,,99.695,,,0.01,99.6975,0.0,4.0
2014-06-12,,,99.6875,,0.005,99.6925,0.0,4.0
2014-06-13,,,,,0.025,99.6675,0.0,4.0
2014-06-16,,,99.6575,,0.0175,99.65,0.0,4.0
2014-06-17,,,99.6475,,0.01,99.64,0.0,4.0
2014-06-18,,99.645,,,,99.64,0.0,4.0
2014-06-19,,99.665,,,0.0275,99.6675,0.0,4.0
2014-06-20,,,99.665,,,99.6675,0.0,4.0
2014-06-23,,,,,,99.6675,0.0,4.0
2014-06-24,,,99.665,,,99.6675,0.0,4.0
2014-06-25,,99.68,,,0.015,99.6825,0.0,4.0
2014-06-26,,99.6875,,,0.0075,99.69,0.0,4.0
2014-06-27,,,,,,99.69,0.0,4.0
2014-06-30,,99.6925,,,0.0075,99.6975,0.0,4.0
2014-07-01,,,,,0.005,99.6925,0.0,4.0
2014-07-02,,,,,0.01,99.6825,0.0,4.0
2014-07-03,,,,,0.03,99.6525,0.0,4.0
2014-07-07,,,,,0.015,99.6375,0.0,4.0
2014-07-08,,,,,0.005,99.6425,0.0,4.0
2014-07-09,,,,,0.005,99.6475,0.0,4.0
2014-07-10,,,,,0.035,99.6825,0.0,4.0
2014-07-11,,,,,0.005,99.6775,0.0,4.0
2014-07-14,,,,,0.005,99.6725,0.0,4.0
2014-07-15,,,,,0.025,99.6475,0.0,4.0
2014-07-16,,,,,0.01,99.6375,0.0,4.0
2014-07-17,,,,,0.015,99.6525,0.0,4.0
