Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-02-18,,,,,0.22,34.33,0.0,76.0
2014-02-19,,,,,0.08,34.25,0.0,76.0
2014-02-20,,,,,,34.25,0.0,76.0
2014-02-21,,,,,0.05,34.3,0.0,76.0
2014-02-24,,,,,0.42,33.88,0.0,76.0
2014-02-25,,,,,,33.88,0.0,76.0
2014-02-26,,,,,0.08,33.8,0.0,76.0
2014-02-27,,,,,,33.8,0.0,76.0
2014-02-28,,,,,0.3,34.1,0.0,76.0
2014-03-03,,,,,0.15,34.25,0.0,76.0
2014-03-04,,,,,0.07,34.18,0.0,76.0
2014-03-05,,,,,0.07,34.25,0.0,76.0
2014-03-06,,,,,0.13,34.38,0.0,76.0
2014-03-07,,,,,0.1,34.48,0.0,76.0
2014-03-11,,,,,,34.88,0.0,76.0
2014-03-12,,,,,0.03,34.85,0.0,76.0
2014-03-13,,,,,0.1,34.75,0.0,76.0
2014-03-14,,,,,,34.75,0.0,76.0
2014-03-17,,,,,0.5,35.25,0.0,76.0
2014-03-18,,,,,0.12,35.13,0.0,76.0
2014-03-19,,,,,0.07,35.2,0.0,76.0
2014-07-31,,,,,,,0.0,76.0
2014-09-12,,,,,,99.4125,0.0,0.0
2014-09-15,,,,,0.015,99.4275,0.0,0.0
2014-09-16,,,,,0.02,99.4475,0.0,0.0
2014-09-17,,,,,0.02,99.4275,0.0,0.0
2014-09-18,,,,,0.01,99.4175,0.0,0.0
2014-09-19,,,,,0.005,99.4225,0.0,0.0
2014-09-22,,,,,0.025,99.4475,0.0,0.0
2014-09-23,,,,,0.01,99.4575,0.0,0.0
2014-09-24,,,,,0.02,99.4375,0.0,0.0
2014-09-25,,,,,0.03,99.4675,0.0,0.0
2014-09-26,,,,,0.04,99.4275,0.0,0.0
2014-09-29,,,,,0.005,99.4225,0.0,0.0
2014-09-30,,,,,,99.4225,0.0,0.0
2014-10-01,,,,,0.05,99.4725,0.0,0.0
2014-10-02,,,,,0.005,99.4675,0.0,0.0
2014-10-03,,,,,0.02,99.4475,0.0,0.0
2014-10-06,,,,,0.03,99.4775,0.0,0.0
2014-10-07,,,,,0.03,99.5075,0.0,0.0
2014-10-08,,,,,0.08,99.5875,0.0,0.0
2014-10-09,,,99.4525,,0.105,99.4825,0.0,0.0
2014-10-10,,99.49,,,0.0125,99.495,0.0,0.0
2014-10-13,,,,,0.06,99.555,0.0,0.0
2014-10-14,,,,,0.01,99.565,0.0,0.0
2014-10-15,,,,,0.05,99.615,0.0,0.0
2014-10-16,,,,,0.03,99.585,0.0,0.0
2014-10-17,,,,,0.01,99.575,0.0,0.0
2014-10-20,,,,,0.035,99.61,0.0,0.0
2014-10-21,,,,,,99.61,0.0,0.0
2014-10-22,,,,,0.01,99.6,0.0,0.0
