Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-10-23,,,,,0.015,99.585,0.0,0.0
2014-10-24,,,,,,99.585,0.0,0.0
2014-10-27,,,,,0.015,99.6,0.0,0.0
2014-10-28,,,,,,99.6,0.0,0.0
2014-10-29,,,,,0.065,99.535,0.0,0.0
2014-10-30,,,,,0.02,99.555,0.0,0.0
2014-10-31,,,99.54,,0.02,99.535,0.0,0.0
2014-11-03,,,,,0.01,99.525,0.0,0.0
2014-11-04,,,,,,99.525,0.0,0.0
2014-11-05,,,,,0.01,99.515,0.0,0.0
2014-11-06,,,,,0.02,99.495,0.0,0.0
2014-11-07,,,,,0.04,99.535,0.0,0.0
2014-11-10,,,,,0.02,99.515,0.0,0.0
2014-11-11,,,,,0.01,99.505,0.0,0.0
2014-11-12,,,,,0.015,99.52,0.0,0.0
2014-11-13,,,,,0.02,99.54,0.0,0.0
2014-11-14,,,99.5375,,0.01,99.55,0.0,0.0
2014-11-17,,99.555,,,0.015,99.565,0.0,0.0
2014-11-18,,99.5675,,,0.01,99.575,0.0,0.0
2014-11-19,,,,,0.01,99.565,0.0,0.0
2014-11-20,,99.575,,,0.0175,99.5825,0.0,0.0
2014-11-21,,,,,0.0025,99.585,0.0,0.0
2014-11-24,,,,,,99.585,0.0,0.0
2014-11-25,,,,,0.015,99.6,0.0,0.0
2014-11-26,,,99.595,,0.0075,99.5925,0.0,0.0
2014-11-28,,,,,0.005,99.5975,0.0,0.0
2014-12-01,,,,,,99.5975,0.0,0.0
2014-12-02,,,99.575,,0.0275,99.57,0.0,0.0
2014-12-03,,,99.5575,,0.0225,99.5475,0.0,0.0
2014-12-04,,99.5675,,,0.0225,99.57,0.0,0.0
2014-12-05,,,99.4775,,0.1,99.47,0.0,0.0
2014-12-08,,,,,0.0025,99.4725,0.0,0.0
2014-12-09,,99.475,,,0.0025,99.475,0.0,0.0
2014-12-10,,99.505,,,0.035,99.51,0.0,0.0
2014-12-11,,,99.495,,0.02,99.49,0.0,0.0
2014-12-12,,99.55,,,0.045,99.535,0.0,0.0
2014-12-15,,,99.5125,,0.025,99.51,0.0,0.0
2014-12-16,,99.5375,,,0.04,99.55,0.0,0.0
2014-12-17,,,99.54,,0.015,99.535,0.0,0.0
2014-12-18,,,99.5075,,0.0225,99.5125,0.0,0.0
2014-12-19,,,99.485,,0.0225,99.49,0.0,0.0
2014-12-22,,,99.475,,0.015,99.475,0.0,0.0
2014-12-23,,,,,0.005,99.47,0.0,0.0
2014-12-24,,,99.4675,,,99.47,0.0,0.0
2014-12-26,,,99.465,,0.0025,99.4675,0.0,0.0
2014-12-29,,99.48,,,0.0075,99.475,0.0,0.0
2014-12-30,,99.495,,,0.02,99.495,0.0,0.0
2014-12-31,,99.5025,,,0.0075,99.5025,0.0,0.0
2015-01-02,,,99.4925,,0.015,99.4875,0.0,0.0
2015-01-05,,99.49,,,0.0025,99.49,0.0,0.0
2015-01-06,,99.5075,,,0.0175,99.5075,0.0,0.0
2015-01-07,,99.5275,,,0.0175,99.525,0.0,0.0
2015-01-08,,99.535,,,0.005,99.53,0.0,0.0
2015-01-09,,99.565,,,0.04,99.57,0.0,0.0
2015-01-12,,99.58,,,0.0175,99.5875,0.0,0.0
2015-01-13,,99.5975,,,0.01,99.5975,0.0,0.0
2015-01-14,,99.63,,,0.035,99.6325,0.0,0.0
2015-01-15,,99.66,,,0.0225,99.655,0.0,0.0
2015-01-16,,,,,0.03,99.625,0.0,0.0
2015-01-20,,,99.6175,,0.0025,99.6225,0.0,0.0
2015-01-21,,,,,0.005,99.6175,0.0,0.0
2015-01-22,,,,,0.015,99.6025,0.0,0.0
2015-01-23,99.6225,99.6225,99.6225,,0.02,99.6225,3.0,0.0
2015-01-26,,,99.615,,0.01,99.6125,0.0,3.0
2015-01-27,,,,,0.005,99.6175,0.0,3.0
2015-01-29,,,,,0.0025,99.63,0.0,3.0
2015-01-30,,,,,0.0075,99.6375,0.0,3.0
2015-02-02,,,,,0.005,99.6425,0.0,3.0
2015-02-03,,,99.6275,,0.03,99.6125,0.0,3.0
2015-02-04,,,,,0.0025,99.61,0.0,3.0
2015-02-05,,,99.6075,,0.005,99.605,0.0,3.0
2015-02-06,,,99.5275,,0.095,99.51,0.0,3.0
2015-02-09,,99.52,,,0.0125,99.5225,0.0,3.0
2015-02-10,,,,,0.005,99.5175,0.0,3.0
2015-02-11,,,,,0.0025,99.52,0.0,3.0
2015-02-12,,99.5325,,,0.015,99.535,0.0,3.0
2015-02-13,,,,,0.005,99.54,0.0,3.0
2015-02-17,,,99.5225,,0.02,99.52,0.0,3.0
2015-02-18,,99.55,,,0.0325,99.5525,0.0,3.0
2015-02-19,,,,,0.005,99.5475,0.0,3.0
2015-02-20,,99.555,99.5425,,0.005,99.5425,0.0,3.0
2015-02-23,,99.5575,,,0.0225,99.565,0.0,3.0
2015-02-24,,99.5925,,,0.035,99.6,0.0,3.0
2015-02-25,,,,,0.005,99.595,0.0,3.0
2015-02-26,,,99.575,,0.0225,99.5725,0.0,3.0
2015-02-27,,99.58,,,0.015,99.5875,0.0,3.0
2015-03-02,,,99.58,,0.015,99.5725,0.0,3.0
2015-03-03,,,,,0.0025,99.57,0.0,3.0
2015-03-04,,99.575,,,0.0125,99.5825,0.0,3.0
2015-03-05,,,,,0.01,99.5925,0.0,3.0
2015-03-06,,,99.535,,0.0625,99.53,0.0,3.0
2015-03-09,,,,,0.0125,99.5425,0.0,3.0
2015-03-10,,,,,0.0025,99.54,0.0,3.0
2015-03-11,,,,,0.005,99.545,0.0,3.0
2015-03-12,,99.555,,,0.0175,99.5625,0.0,3.0
2015-03-13,,99.5675,,,0.005,99.5675,0.0,3.0
2015-03-16,,,,,0.0075,99.575,0.0,3.0
2015-03-17,,,99.56,,0.0175,99.5575,0.0,3.0
2015-03-18,,99.635,,,0.07,99.6275,0.0,3.0
2015-03-19,,,99.6,,0.035,99.5925,0.0,3.0
2015-03-20,,99.605,,,0.015,99.6075,0.0,3.0
2015-03-23,,,,,,99.6075,0.0,3.0
2015-03-24,,99.6225,,,0.0175,99.625,0.0,3.0
2015-03-25,,99.635,,,0.015,99.64,0.0,3.0
2015-03-26,,,,,,99.64,0.0,3.0
2015-03-27,,99.6525,,,0.0175,99.6575,0.0,3.0
2015-03-30,,,,,0.0025,99.655,0.0,3.0
2015-03-31,,99.66,,,0.005,99.66,0.0,3.0
2015-04-01,,99.6625,,,0.005,99.665,0.0,3.0
2015-04-02,,,,,,99.665,0.0,3.0
2015-04-06,,,,,0.005,99.69,0.0,3.0
2015-04-07,,,,,0.0025,99.6875,0.0,3.0
2015-04-08,,,,,0.005,99.6825,0.0,3.0
2015-04-09,,,99.6775,,0.0125,99.67,0.0,3.0
2015-04-10,,,,,,99.67,0.0,3.0
2015-04-13,,99.675,,,0.01,99.68,0.0,3.0
2015-04-14,,99.685,,,0.0125,99.6925,0.0,3.0
2015-04-15,,,,,,99.6925,0.0,3.0
2015-04-16,,99.7,,,0.0125,99.705,0.0,3.0
2015-04-17,,,99.6925,,0.0175,99.6875,0.0,3.0
2015-04-20,,,,,0.0025,99.685,0.0,3.0
2015-04-21,,99.69,,,0.005,99.69,0.0,3.0
2015-04-22,,,99.685,,0.005,99.685,0.0,3.0
2015-04-23,,99.6925,,,0.005,99.69,0.0,3.0
2015-04-24,99.705,99.71,99.705,,0.015,99.705,266.0,3.0
2015-04-27,,,,,0.0025,99.7075,0.0,266.0
2015-04-28,,,99.7,,0.005,99.7025,0.0,266.0
2015-04-29,,,,,0.0025,99.7,0.0,266.0
2015-04-30,99.69,99.695,99.69,,,99.7,1.0,266.0
2015-05-01,99.685,99.685,99.685,,0.0125,99.6875,10.0,267.0
2015-05-04,,99.69,99.685,,0.005,99.6825,0.0,277.0
2015-05-05,,99.6925,,,0.0075,99.69,0.0,277.0
2015-05-06,99.7,99.7,99.7,,0.01,99.7,100.0,277.0
2015-05-07,,99.71,,,0.0075,99.7075,0.0,377.0
2015-05-08,,99.73,,,0.0225,99.73,0.0,377.0
2015-05-11,,,99.7125,,0.02,99.71,0.0,377.0
2015-05-12,,,,,,99.71,0.0,377.0
2015-05-13,,99.725,,,0.0175,99.7275,0.0,377.0
2015-05-14,99.74,99.74,99.74,,0.0125,99.74,13.0,377.0
2015-05-15,99.74,99.74,99.74,,,99.74,1005.0,377.0
2015-05-18,99.7375,99.7375,99.735,,0.0025,99.7375,1.0,1377.0
2015-05-19,99.7225,99.7225,99.7225,,0.0125,99.725,6.0,1378.0
2015-05-20,,,,,0.01,99.715,0.0,1384.0
2015-05-21,,99.725,,,0.01,99.725,0.0,1384.0
2015-05-22,99.7075,99.7075,99.705,,0.0175,99.7075,46.0,1384.0
2015-05-26,99.7125,99.7125,99.7,,,99.7075,5.0,1430.0
2015-05-27,,,,,0.0025,99.705,0.0,1430.0
2015-05-28,,99.7125,99.63,,0.01,99.715,0.0,1430.0
2015-05-29,,99.725,,,0.01,99.725,0.0,1430.0
2015-06-01,99.715,99.715,99.715,,0.0125,99.7125,1.0,1430.0
2015-06-02,,99.7175,,,0.0025,99.715,0.0,1431.0
2015-06-03,,,,,0.005,99.71,0.0,1431.0
2015-06-04,,,,,,99.71,0.0,1431.0
2015-06-05,99.6875,99.6875,99.685,,0.0225,99.6875,440.0,1431.0
2015-06-08,99.695,99.695,99.695,,0.0075,99.695,7.0,1871.0
2015-06-09,99.6875,99.6925,99.685,,0.005,99.69,364.0,1878.0
2015-06-10,,,99.6875,,0.005,99.685,0.0,2242.0
2015-06-11,,,99.6775,,0.005,99.68,0.0,2242.0
2015-06-12,,,,,0.005,99.675,0.0,2242.0
2015-06-15,,99.69,,,0.01,99.685,0.0,2242.0
2015-06-16,99.6875,99.6925,99.6875,,0.005,99.69,12.0,2242.0
2015-06-17,99.69,99.735,99.685,,0.0375,99.7275,376.0,2254.0
2015-06-18,,99.735,,,0.0075,99.735,0.0,2524.0
2015-06-19,,99.745,,,0.01,99.745,0.0,2524.0
2015-06-22,99.7425,99.7425,99.7425,,0.0075,99.7375,20.0,2524.0
2015-06-23,,,,,0.005,99.7325,0.0,2544.0
2015-06-24,99.74,99.74,99.74,,0.005,99.7375,10.0,2544.0
2015-06-25,99.735,99.735,99.735,,0.0025,99.735,1.0,2554.0
2015-06-26,,,,,0.0025,99.7375,0.0,2555.0
2015-06-29,99.7475,99.7475,99.7475,,0.01,99.7475,1.0,2555.0
2015-06-30,99.7525,99.7525,99.7525,,0.005,99.7525,9.0,2556.0
2015-07-01,,,99.7425,,0.0125,99.74,0.0,2565.0
2015-07-02,99.76,99.76,99.76,,0.0125,99.7525,100.0,2565.0
2015-07-06,,99.755,,,0.005,99.7575,0.0,2665.0
2015-07-07,,,,,0.0025,99.76,0.0,2665.0
2015-07-08,99.7675,99.7725,99.7675,99.7725,0.015,99.775,1.0,2665.0
2015-07-09,99.765,99.765,99.765,99.765,0.01,99.765,10.0,2665.0
2015-07-10,,,99.755,99.755,0.0125,99.7525,0.0,2665.0
2015-07-13,99.7425,99.745,99.7375,99.745,0.005,99.7475,250.0,2665.0
2015-07-14,99.7525,99.755,99.7525,99.755,0.005,99.7525,102.0,2915.0
2015-07-15,,,99.745,99.745,0.005,99.7475,0.0,2915.0
2015-07-16,99.74,99.7475,99.74,99.7425,0.0075,99.74,40.0,2915.0
2015-07-17,99.7375,99.74,99.7375,99.74,0.0025,99.7375,22.0,2945.0
2015-07-20,99.7275,99.73,99.725,99.725,0.0125,99.725,126.0,2967.0
2015-07-21,,,,,,99.725,0.0,3068.0
2015-07-22,,99.73,,99.73,0.0075,99.7325,0.0,3068.0
2015-07-23,,,,,,99.7325,0.0,3068.0
2015-07-24,,,,,0.0025,99.735,0.0,3068.0
2015-07-27,,,,,0.0025,99.7325,0.0,3068.0
2015-07-28,99.73,99.74,99.73,99.7375,0.0025,99.735,1269.0,3068.0
2015-07-29,99.735,99.7375,99.735,99.735,,99.735,12.0,4310.0
2015-07-30,,,99.715,99.715,0.0225,99.7125,0.0,4322.0
2015-07-31,99.71,99.75,99.71,99.735,0.01,99.7225,1122.0,4322.0
2015-08-03,99.7425,99.7425,99.7425,99.7425,0.02,99.7425,16.0,5222.0
2015-08-04,99.745,99.745,99.7175,99.7175,0.0225,99.72,904.0,5222.0
2015-08-05,99.715,99.73,99.7075,99.7125,0.01,99.71,45.0,5841.0
2015-08-06,99.72,99.72,99.72,99.7175,0.0075,99.7175,100.0,5886.0
2015-08-07,99.695,99.695,99.6925,99.6925,0.0225,99.695,251.0,5986.0
2015-08-10,99.6975,99.6975,99.6975,99.6975,,99.695,8.0,5736.0
2015-08-11,99.7125,99.7125,99.7125,99.7125,0.0175,99.7125,10.0,5736.0
2015-08-12,99.73,99.73,99.725,99.725,0.0125,99.725,121.0,5736.0
2015-08-13,,,99.71,99.71,0.0175,99.7075,0.0,5857.0
2015-08-14,99.7025,99.7025,99.7,99.7025,0.005,99.7025,5.0,5857.0
2015-08-17,,,,,0.005,99.7075,0.0,5862.0
2015-08-18,,,,,,99.7075,0.0,5862.0
2015-08-19,,99.725,,99.725,0.025,99.7325,0.0,5862.0
2015-08-20,99.7375,99.7375,99.7375,99.7375,0.0025,99.735,1.0,5862.0
2015-08-21,99.745,99.745,99.745,99.745,0.0025,99.7375,2.0,5862.0
2015-08-24,99.765,99.775,99.765,99.775,0.0225,99.76,38.0,5864.0
2015-08-25,99.755,99.7575,99.7525,99.7575,0.005,99.755,6.0,5864.0
2015-08-26,99.7625,99.765,99.7625,99.765,0.005,99.76,72.0,5870.0
2015-08-27,99.7575,99.76,99.7575,99.76,0.0025,99.7575,307.0,5880.0
2015-08-28,99.7575,99.7575,99.75,99.7525,0.005,99.7525,608.0,5985.0
2015-08-31,99.73,99.7425,99.73,99.7425,0.0075,99.745,504.0,6593.0
2015-09-01,,99.755,,99.755,0.01,99.755,0.0,6089.0
2015-09-02,,,,,0.0025,99.7575,0.0,6089.0
2015-09-03,99.77,99.77,99.77,99.77,0.0075,99.765,200.0,6089.0
2015-09-04,99.765,99.77,99.765,99.77,0.005,99.77,270.0,6089.0
2015-09-08,,99.775,,99.775,0.0075,99.7775,0.0,6259.0
2015-09-09,99.78,99.78,99.78,99.78,,99.7775,50.0,6259.0
2015-09-10,,99.785,,99.785,,99.7775,0.0,6259.0
2015-09-11,,99.79,,99.79,0.015,99.7925,0.0,6259.0
2015-09-14,,,,,,99.791,1.0,6259.0
2015-09-18,,,,,,99.791,0.0,0.0
