Date,ewa,ewc
2006-10-02,13.649060999999998,20.092365
2006-10-03,13.495844,19.521416
2006-10-04,13.649060999999998,19.638963
2006-10-05,13.815046,19.907645
2006-10-06,13.687366,19.815287
2006-10-09,13.719285,19.798494
2006-10-10,13.770357999999998,19.790097
2006-10-11,13.802279,19.445849
2006-10-12,14.038487,19.655756
2006-10-13,14.044871,19.974817
2006-10-16,14.198088,20.28548
2006-10-17,13.974646,20.050382
2006-10-18,14.108712,20.033591
2006-10-19,14.178935,20.394632
2006-10-20,14.364073,20.41982
2006-10-23,14.313001000000002,20.503784
2006-10-24,14.332153,20.688502
2006-10-25,14.383225,20.957184
2006-10-26,14.683274,21.074733
2006-10-27,14.491754,20.772465
2006-10-30,14.842875,20.831239
2006-10-31,14.696043,21.108317
2006-11-01,14.938635,20.495387
2006-11-02,14.766266,20.822843
2006-11-03,14.842875,20.948789
2006-11-06,15.002476,21.12511
2006-11-07,15.130157,21.074733
2006-11-08,14.881179,21.209074
2006-11-09,14.855644,21.335018
2006-11-10,14.798187,21.158696
2006-11-13,14.657738,21.007563
2006-11-14,14.823723,21.007563
2006-11-15,14.721578,21.183884
2006-11-16,14.619434,21.007563
2006-11-17,14.734347,20.982373000000006
2006-11-20,14.491754,21.066336
2006-11-21,14.708811,21.360208
2006-11-22,14.94502,21.402188
2006-11-24,15.028013,21.645682
2006-11-27,14.849259,21.460962
2006-11-28,15.130157,21.477755
2006-11-29,15.206765,21.612096
2006-11-30,15.334446,21.637286
2006-12-01,15.098235999999998,21.637286
2006-12-04,15.315294,21.880778
2006-12-05,15.238685999999998,21.973138
2006-12-06,15.321678,21.847193
2006-12-07,15.219532999999998,21.805211
2006-12-08,15.028013,21.813607
2006-12-11,15.206765,21.780023
2006-12-12,15.225917,21.704456
2006-12-13,15.34083,21.67087
2006-12-14,15.577039,21.863986
2006-12-15,15.462126,21.536529
2006-12-18,15.417438,21.335018
2006-12-19,15.423822,21.444171
2006-12-20,15.564281,21.592765
2006-12-21,15.477329,21.329542
2006-12-22,15.530838,21.261614
