,GLD,USO
0,63.65,69.54
1,62.96,68.7
2,65.09,69.62
3,65.16,71.5
4,66.55,72.34
5,66.46,70.22
6,67.48,68.32
7,67.99,68.0
8,67.56,67.88
9,69.68,68.4
10,70.38,69.77
11,71.03,70.3
12,71.12,69.11
13,67.41,66.63
14,68.61,66.7
15,68.15,65.7
16,67.46,66.74
17,65.58,65.57
18,65.3,66.28
19,66.38,67.77
20,64.06,66.1
21,64.7,67.8
22,65.1,67.75
23,65.11,68.32
24,64.23,67.73
25,62.56,66.82
26,63.5,68.9
27,63.29,68.74
28,62.55,68.76
29,62.28,67.28
30,60.91,67.12
31,60.45,68.07
32,60.03,67.08
33,55.92,65.18
34,55.62,65.79
35,57.32,66.16
36,57.68,66.25
37,56.36,65.54
38,57.3,65.29
39,58.33,66.35
40,57.73,67.0
41,57.99,66.89
42,58.28,67.7
43,57.68,68.08
44,57.54,68.31
45,59.52,69.51
46,61.23,69.77
47,62.18,69.93
48,62.5,71.0
49,63.02,70.77
50,62.63,69.85
51,62.02,69.56
52,63.81,70.08
53,64.92,71.14
54,65.55,73.25
55,65.85,73.22
56,63.95,71.65
57,62.9,70.75
58,64.03,69.85
59,62.54,69.1
60,61.71,69.52
61,61.14,70.17
62,61.55,69.0
63,62.0,69.17
64,62.9,69.68
65,63.11,68.5
66,63.16,69.52
67,64.32,70.15
68,64.75,71.12
69,64.12,70.56
70,64.28,69.81
71,64.5,72.0
72,63.97,71.3
73,64.63,71.17
74,63.25,69.6
75,62.71,69.73
76,62.25,68.59
77,62.01,68.21
78,62.49,67.1
79,61.03,66.05
80,61.04,66.18
81,62.44,67.42
82,62.05,67.05
83,61.83,66.0
84,61.75,66.75
85,61.77,66.55
86,61.0,64.88
87,60.94,64.19
88,61.42,64.85
89,62.29,64.8
90,62.14,63.75
91,63.36,63.31
92,62.86,62.2
93,61.25,61.89
94,60.64,60.9
95,58.5,60.03
96,58.32,58.76
97,58.62,59.0
98,57.19,58.15
99,57.4,58.04
100,58.23,58.32
101,56.92,56.25
102,57.26,55.05
103,57.95,55.89
104,58.5,54.64
105,58.5,55.67
106,58.74,55.42
107,59.81,57.16
108,59.79,56.65
109,59.47,57.0
110,59.15,55.31
111,57.11,53.24
112,56.37,54.04
113,56.92,54.59
114,56.99,54.35
115,57.2,54.6
116,57.0,53.67
117,56.88,52.65
118,57.49,53.43
119,58.57,53.65
120,59.17,54.72
121,58.65,53.99
122,58.59,52.85
123,59.41,53.9
124,58.78,52.75
125,57.76,52.37
126,58.17,52.84
127,58.76,54.7
128,59.29,53.65
129,59.4,54.0
130,59.9,51.98
131,60.24,52.1
132,61.36,52.12
133,61.92,51.5
134,62.3,52.68
135,61.89,53.45
136,62.04,52.6
137,61.11,53.4
138,62.95,54.5
139,62.49,53.3
140,62.19,52.35
141,61.63,52.14
142,61.84,52.5
143,61.31,50.59
144,61.78,50.94
145,61.77,50.97
146,62.27,51.98
147,62.5,51.31
148,63.5,51.8
149,63.7,52.3
150,63.57,52.71
151,63.16,54.14
152,64.39,54.58
153,64.12,55.05
154,64.12,54.2
155,63.81,54.3
156,62.69,53.89
157,62.73,53.86
158,62.05,53.58
159,62.57,53.0
160,62.52,52.55
161,62.48,52.88
162,62.12,53.73
163,61.0,54.3
164,61.04,53.16
165,61.8,54.0
166,61.62,54.05
167,61.38,53.34
