Date,Open,High,Low,Close,Volume,Adj Close
2007-12-28 00:00:00,191.64,193.28,191.22,191.72,2973500,191.72
2007-12-27 00:00:00,192.97,193.2,190.23,190.32,4163100,190.32
2007-12-26 00:00:00,190.05,193.61,189.15,193.6,2395800,193.6
2007-12-24 00:00:00,189.61,189.94,186.61,189.7,1284300,189.7
2007-12-21 00:00:00,182.99,188.3,182.51,188.3,4633500,188.3
2007-12-20 00:00:00,179.9,181.9,178.18,181.9,4579600,181.9
2007-12-19 00:00:00,177.19,181.21,177.19,178.67,4961400,178.67
2007-12-18 00:00:00,179.05,179.74,174.93,178.22,4348700,178.22
2007-12-17 00:00:00,180.81,181.31,175.82,176.85,6029300,176.85
2007-12-14 00:00:00,184.0,184.69,181.33,181.45,4746200,181.45
2007-12-13 00:00:00,185.33,186.05,182.44,185.86,3545500,185.85
2007-12-12 00:00:00,185.15,186.55,182.97,186.0,5353200,185.99
2007-12-11 00:00:00,185.32,187.0,180.57,180.95,6039800,180.92
2007-12-10 00:00:00,182.75,185.68,182.75,185.35,3822600,185.32
2007-12-07 00:00:00,184.08,184.08,181.53,182.75,4048300,182.72
2007-12-06 00:00:00,176.6,183.69,176.5,183.57,7081000,183.54
2007-12-05 00:00:00,178.64,180.73,175.62,176.65,6268200,176.62
2007-12-04 00:00:00,177.36,177.41,175.08,175.95,4641600,175.92
2007-12-03 00:00:00,176.0,179.17,175.35,178.7,4770100,178.67
2007-11-30 00:00:00,176.5,178.45,175.39,176.15,6154200,176.08
2007-11-29 00:00:00,175.39,177.83,174.36,176.85,7212400,176.77
2007-11-28 00:00:00,175.33,175.67,172.2,173.2,7563400,173.08
2007-11-27 00:00:00,181.45,182.84,179.1,181.65,9416700,171.1
2007-11-26 00:00:00,187.4,190.61,183.96,184.3,8997100,173.6
2007-11-23 00:00:00,182.58,187.49,181.81,187.39,2785900,176.51
2007-11-21 00:00:00,183.31,186.33,181.12,181.9,7984300,171.34
2007-11-20 00:00:00,180.75,186.41,180.75,185.06,8061900,174.31
2007-11-19 00:00:00,182.15,182.74,178.02,179.1,7345000,168.7
2007-11-16 00:00:00,180.14,182.34,177.67,182.24,8452300,171.66
2007-11-15 00:00:00,182.0,183.81,176.41,177.95,10783000,167.62
2007-11-14 00:00:00,186.49,187.32,182.87,183.53,6104100,172.87
2007-11-13 00:00:00,179.5,184.84,177.69,183.85,10379700,173.17
2007-11-12 00:00:00,186.99,186.99,178.53,178.6,13147500,168.23
2007-11-09 00:00:00,189.99,193.14,188.43,189.19,6086900,178.2
2007-11-08 00:00:00,192.3,195.79,188.26,192.3,9205400,181.13
2007-11-07 00:00:00,197.18,198.02,191.53,191.53,9972100,180.4
2007-11-06 00:00:00,193.5,198.19,193.26,198.19,5872800,186.67
2007-11-05 00:00:00,190.41,192.99,189.9,191.61,5437600,180.48
2007-11-02 00:00:00,191.1,194.12,188.39,193.9,8743500,182.62
2007-11-01 00:00:00,188.66,194.26,186.25,189.04,10249900,178.05
2007-10-31 00:00:00,188.05,191.38,185.36,190.1,10548400,179.02
2007-10-30 00:00:00,192.0,192.0,185.63,185.71,9093000,174.74
2007-10-29 00:00:00,194.2,194.69,191.85,193.63,5132700,182.2
2007-10-26 00:00:00,195.98,196.6,190.41,192.22,6689400,180.87
2007-10-25 00:00:00,194.06,195.01,191.08,193.5,8698000,182.07
2007-10-24 00:00:00,190.6,193.83,189.01,192.85,11088700,181.46
2007-10-23 00:00:00,187.46,191.97,186.1,191.97,10640200,180.63
2007-10-22 00:00:00,184.0,187.8,182.37,185.13,12699300,174.2
2007-10-19 00:00:00,195.2,195.4,186.12,186.78,17583500,175.75
2007-10-18 00:00:00,197.56,199.79,196.88,199.09,8019600,187.33
2007-10-17 00:00:00,200.64,201.35,195.83,197.4,7873700,185.74
2007-10-16 00:00:00,200.49,201.35,199.17,200.15,6307400,188.33
2007-10-15 00:00:00,202.51,204.62,200.53,201.11,7159900,189.23
2007-10-12 00:00:00,199.25,201.05,197.5,199.81,6322500,188.01
2007-10-11 00:00:00,199.62,204.14,195.68,198.33,14048000,186.62
2007-10-10 00:00:00,190.3,198.0,190.3,197.82,10991400,186.14
2007-10-09 00:00:00,189.5,192.21,188.62,192.0,6094000,180.66
2007-10-08 00:00:00,190.73,190.77,188.3,188.72,6457200,177.58
2007-10-05 00:00:00,193.25,193.37,190.98,192.6,6565500,181.23
2007-10-04 00:00:00,192.0,194.45,189.13,193.7,7111900,182.26
2007-10-03 00:00:00,192.8,194.1,191.28,192.6,5861800,181.23
2007-10-02 00:00:00,193.9,194.2,191.02,193.38,7141400,181.96
2007-10-01 00:00:00,191.85,195.68,191.14,194.89,6858700,183.38
2007-09-28 00:00:00,194.58,196.49,191.43,191.93,7224500,180.6
2007-09-27 00:00:00,192.4,194.42,191.89,193.98,5848200,182.52
