Date,Close
20040527,232.35
20040528,232.8
20040601,234.3
20040602,229.85
20040603,229.65
20040604,228.2
20040607,231.6
20040608,228.8
20040609,221.5
20040610,222.35
20040614,220.3
20040615,224.15
20040616,222.95
20040617,224.95
20040618,224.3
20040621,224.55
20040622,221.4
20040623,224.55
20040624,227.4
20040625,226.0
20040628,225.8
20040629,222.2
20040630,225.55
20040701,227.25
20040702,227.05
20040706,227.05
20040707,230.75
20040708,230.2
20040709,233.15
20040712,232.8
20040713,232.95
20040714,232.85
20040715,234.0
20040716,236.4
20040719,235.55
20040720,233.6
20040721,232.55
20040722,233.75
20040723,229.85
20040726,230.05
20040727,227.15
20040728,232.15
20040729,234.4
20040730,235.85
20040802,235.6
20040803,235.35
20040804,234.5
20040805,233.05
20040806,232.85
20040809,229.2
20040810,230.75
20040811,232.3
20040812,231.8
20040813,236.85
20040816,236.6
20040817,235.8
20040818,232.1
20040819,234.2
20040820,231.9
20040823,229.2
20040824,228.95
20040825,229.0
20040826,230.1
20040827,230.95
20040830,231.25
20040831,233.15
20040901,232.55
20040902,229.8
20040903,229.1
20040907,232.35
20040908,230.8
20040909,231.55
20040910,233.15
20040913,233.55
20040914,232.85
20040915,232.0
20040916,234.85
20040917,235.7
20040920,237.2
20040921,239.95
20040922,242.85
20040923,241.8
20040924,241.85
20040927,243.85
20040928,243.0
20040929,245.0
20040930,245.7
20041001,246.5
20041004,245.4
20041005,246.25
20041006,248.35
20041007,248.95
20041008,253.05
20041011,253.05
20041012,249.55
20041013,235.7
20041014,233.35
20041015,237.3
20041018,234.6
20041019,235.9
20041020,236.35
20041021,237.55
20041022,236.75
20041025,233.85
20041026,234.35
20041027,235.0
20041028,231.55
20041029,239.95
20041101,236.95
20041102,238.25
20041103,239.2
20041104,241.1
20041105,242.5
20041108,242.35
20041109,243.75
20041110,242.5
20041111,243.45
20041112,245.65
20041115,244.95
20041116,243.1
20041117,247.25
20041118,248.7
20041119,249.4
20041122,247.1
20041123,247.95
20041124,250.05
20041129,250.7
20041130,250.5
20041201,252.95
20041202,249.9
20041203,249.7
20041206,249.55
20041207,246.8
20041208,243.75
20041209,244.1
20041210,246.35
20041213,249.8
20041214,250.6
20041215,252.65
20041216,253.2
20041217,254.15
20041220,256.25
20041221,258.45
20041222,255.15
20041223,256.45
20041227,258.15
20041228,259.5
20041229,258.7
20041230,259.45
20050103,261.55
20050104,248.5
20050105,251.7
20050106,251.7
20050107,251.2
20050110,251.15
20050111,253.9
20050112,254.6
20050113,252.3
20050114,254.1
20050118,254.35
20050119,255.15
20050120,255.7
20050121,257.65
20050124,257.2
20050125,257.1
20050126,257.75
20050127,256.9
20050128,258.05
20050131,257.7
20050201,255.8
20050202,253.55
20050203,253.05
20050204,251.75
20050207,253.05
20050208,253.0
20050209,252.9
20050210,256.7
20050211,256.45
20050214,258.15
20050215,260.05
20050216,259.0
20050217,263.55
20050218,263.4
20050222,263.15
20050223,264.2
20050224,262.5
20050225,263.1
20050228,264.2
20050301,260.65
20050302,261.9
20050303,261.7
20050304,263.4
20050307,263.65
20050308,263.95
20050309,264.4
20050310,263.6
20050311,262.3
20050314,261.7
20050315,263.75
20050316,265.3
20050317,264.75
20050318,265.0
20050321,263.2
20050322,264.05
20050323,258.75
20050324,259.65
20050328,259.75
20050329,261.35
20050330,263.5
20050331,264.55
20050401,262.75
20050404,263.8
20050405,262.75
20050406,265.15
20050407,264.95
20050408,265.05
20050411,266.8
20050412,263.9
20050413,260.25
20050414,257.15
20050415,258.8
20050418,258.8
20050419,261.45
20050420,265.25
20050421,262.65
20050422,263.1
20050425,263.25
20050426,260.95
20050427,260.1
20050428,259.75
20050429,263.6
20050502,263.9
20050503,262.15
20050504,260.2
20050505,260.2
20050506,261.5
20050509,261.95
20050510,263.5
20050511,262.55
20050512,259.85
20050513,256.75
20050516,256.55
20050517,258.25
20050518,261.0
20050519,259.7
20050520,260.9
20050523,262.25
