,price
2008-06-02 00:00:00,141.83
2008-06-03 00:00:00,138.91000000000003
2008-06-04 00:00:00,136.96
2008-06-05 00:00:00,142.11000000000004
2008-06-06 00:00:00,151.89
2008-06-09 00:00:00,148.44000000000003
2008-06-10 00:00:00,146.08
2008-06-11 00:00:00,151.44000000000003
2008-06-12 00:00:00,151.92000000000004
2008-06-13 00:00:00,150.07000000000005
2008-06-16 00:00:00,150.61000000000004
2008-06-17 00:00:00,149.71
2008-06-18 00:00:00,151.79000000000005
2008-06-19 00:00:00,147.51000000000005
2008-06-20 00:00:00,149.67000000000004
2008-06-23 00:00:00,151.24000000000004
2008-06-24 00:00:00,151.79000000000005
2008-06-25 00:00:00,149.63000000000005
2008-06-26 00:00:00,154.63000000000005
2008-06-27 00:00:00,155.33
2008-06-30 00:00:00,155.46
2008-07-01 00:00:00,156.48000000000005
2008-07-02 00:00:00,158.98000000000005
2008-07-03 00:00:00,160.51000000000005
2008-07-07 00:00:00,157.03000000000006
2008-07-08 00:00:00,152.06000000000003
2008-07-09 00:00:00,152.02
2008-07-10 00:00:00,157.45000000000005
2008-07-11 00:00:00,160.36000000000004
2008-07-14 00:00:00,160.69000000000003
2008-07-15 00:00:00,154.62000000000003
2008-07-16 00:00:00,150.72000000000006
2008-07-17 00:00:00,145.53000000000006
2008-07-18 00:00:00,144.76000000000005
2008-07-21 00:00:00,147.05000000000004
2008-07-22 00:00:00,143.91000000000003
2008-07-23 00:00:00,139.89
2008-07-24 00:00:00,140.61000000000004
2008-07-25 00:00:00,138.63000000000002
2008-07-28 00:00:00,140.10000000000005
2008-07-29 00:00:00,137.58
2008-07-30 00:00:00,141.86000000000004
2008-07-31 00:00:00,139.30000000000004
2008-08-01 00:00:00,140.31000000000003
2008-08-04 00:00:00,136.4
2008-08-05 00:00:00,133.67000000000004
2008-08-06 00:00:00,132.82000000000002
2008-08-07 00:00:00,133.83
2008-08-08 00:00:00,130.12000000000003
2008-08-11 00:00:00,129.39
2008-08-12 00:00:00,127.89
2008-08-13 00:00:00,130.59
2008-08-14 00:00:00,129.73000000000002
2008-08-15 00:00:00,128.87000000000003
2008-08-18 00:00:00,127.73000000000002
2008-08-19 00:00:00,129.31000000000003
2008-08-20 00:00:00,130.52
2008-08-21 00:00:00,136.28
2008-08-22 00:00:00,129.71
2008-08-25 00:00:00,130.32000000000002
2008-08-26 00:00:00,131.15
2008-08-27 00:00:00,132.80000000000004
2008-08-28 00:00:00,130.48000000000002
2008-08-29 00:00:00,130.32000000000002
2008-09-02 00:00:00,124.98000000000002
2008-09-03 00:00:00,124.46000000000004
2008-09-04 00:00:00,123.01000000000002
2008-09-05 00:00:00,121.19000000000004
2008-09-08 00:00:00,121.04000000000002
2008-09-09 00:00:00,117.75000000000004
2008-09-10 00:00:00,116.93000000000004
2008-09-11 00:00:00,115.26000000000002
2008-09-12 00:00:00,115.63000000000002
2008-09-15 00:00:00,110.05000000000004
2008-09-16 00:00:00,105.18000000000004
2008-09-17 00:00:00,110.96000000000004
2008-09-18 00:00:00,111.61
2008-09-19 00:00:00,116.55000000000004
2008-09-22 00:00:00,122.88000000000002
2008-09-23 00:00:00,119.48000000000002
2008-09-24 00:00:00,119.03000000000004
2008-09-25 00:00:00,121.22000000000004
2008-09-26 00:00:00,120.19000000000004
2008-09-29 00:00:00,110.10000000000002
2008-09-30 00:00:00,114.27000000000004
2008-10-01 00:00:00,111.93000000000004
2008-10-02 00:00:00,107.30000000000004
2008-10-03 00:00:00,107.02000000000004
2008-10-06 00:00:00,100.72000000000004
2008-10-07 00:00:00,102.72000000000004
2008-10-08 00:00:00,102.44000000000004
2008-10-09 00:00:00,100.63000000000002
2008-10-10 00:00:00,92.00000000000004
2008-10-13 00:00:00,95.69000000000004
2008-10-14 00:00:00,92.96000000000004
2008-10-15 00:00:00,88.89000000000001
2008-10-16 00:00:00,84.27000000000005
2008-10-17 00:00:00,86.14000000000001
2008-10-20 00:00:00,88.40000000000003
2008-10-21 00:00:00,86.19000000000004
2008-10-22 00:00:00,80.76000000000002
2008-10-23 00:00:00,81.85000000000002
2008-10-24 00:00:00,78.16000000000003
2008-10-27 00:00:00,77.23000000000002
2008-10-28 00:00:00,76.74000000000002
2008-10-30 00:00:00,79.97000000000003
2008-10-31 00:00:00,81.82000000000002
2008-11-03 00:00:00,77.92000000000002
2008-11-04 00:00:00,84.54000000000002
2008-11-05 00:00:00,79.31000000000003
2008-11-06 00:00:00,74.78000000000003
2008-11-07 00:00:00,75.05000000000003
2008-11-10 00:00:00,76.42000000000002
2008-11-11 00:00:00,73.34000000000003
2008-11-12 00:00:00,70.17000000000002
2008-11-13 00:00:00,72.25000000000003
2008-11-17 00:00:00,72.64000000000001
2008-11-18 00:00:00,71.34000000000003
2008-11-19 00:00:00,71.50000000000003
2008-11-20 00:00:00,67.50000000000003
2008-11-21 00:00:00,67.96000000000001
2008-11-24 00:00:00,72.44000000000003
2008-11-25 00:00:00,69.49000000000001
2008-11-26 00:00:00,73.02000000000002
2008-11-28 00:00:00,73.09000000000003
2008-12-01 00:00:00,68.82000000000002
2008-12-02 00:00:00,66.99000000000001
2008-12-03 00:00:00,67.52000000000001
2008-12-04 00:00:00,65.03000000000003
2008-12-05 00:00:00,62.32000000000002
2008-12-08 00:00:00,65.65
2008-12-09 00:00:00,63.55000000000002
2008-12-10 00:00:00,63.27000000000002
2008-12-11 00:00:00,67.73000000000002
2008-12-12 00:00:00,66.67000000000002
2008-12-15 00:00:00,65.78000000000003
2008-12-16 00:00:00,65.06000000000003
2008-12-17 00:00:00,64.31000000000003
2008-12-18 00:00:00,62.43000000000002
2008-12-19 00:00:00,62.95000000000002
2008-12-22 00:00:00,60.19000000000002
2008-12-23 00:00:00,59.57000000000002
2008-12-24 00:00:00,56.47000000000002
2008-12-26 00:00:00,59.00000000000002
2008-12-29 00:00:00,61.04000000000002
2008-12-30 00:00:00,61.33000000000002
2008-12-31 00:00:00,66.4
2009-01-02 00:00:00,67.96000000000001
2009-01-05 00:00:00,69.83000000000001
2009-01-06 00:00:00,70.14000000000001
2009-01-07 00:00:00,66.41000000000003
2009-01-08 00:00:00,66.12000000000003
2009-01-09 00:00:00,66.36000000000001
2009-01-12 00:00:00,64.84000000000003
2009-01-13 00:00:00,66.08000000000001
2009-01-14 00:00:00,66.03000000000003
2009-01-15 00:00:00,66.01000000000002
2009-01-16 00:00:00,65.22000000000003
2009-01-20 00:00:00,61.80000000000002
2009-01-21 00:00:00,61.31000000000002
2009-01-22 00:00:00,61.57000000000002
2009-01-23 00:00:00,64.17000000000002
2009-01-26 00:00:00,62.97000000000002
2009-01-27 00:00:00,61.38000000000002
2009-01-28 00:00:00,62.78000000000002
2009-01-29 00:00:00,63.09000000000002
2009-01-30 00:00:00,62.47000000000002
2009-02-02 00:00:00,60.44000000000002
2009-02-03 00:00:00,60.50000000000002
2009-02-04 00:00:00,61.28000000000002
2009-02-05 00:00:00,62.740000000000016
2009-02-06 00:00:00,63.190000000000026
2009-02-09 00:00:00,63.04000000000003
2009-02-10 00:00:00,61.420000000000016
2009-02-11 00:00:00,61.36000000000002
2009-02-12 00:00:00,61.54000000000002
2009-02-13 00:00:00,60.19000000000002
2009-02-17 00:00:00,56.47000000000002
2009-02-18 00:00:00,54.40000000000002
2009-02-19 00:00:00,57.21000000000002
2009-02-20 00:00:00,56.57000000000002
2009-02-23 00:00:00,56.30000000000002
2009-02-24 00:00:00,57.490000000000016
2009-02-25 00:00:00,58.46000000000002
2009-02-26 00:00:00,60.96000000000002
2009-02-27 00:00:00,60.19000000000002
2009-03-02 00:00:00,56.20000000000002
2009-03-03 00:00:00,57.30000000000002
2009-03-04 00:00:00,59.56000000000002
2009-03-05 00:00:00,58.59000000000002
2009-03-06 00:00:00,59.79000000000002
2009-03-09 00:00:00,59.350000000000016
2009-03-10 00:00:00,59.45000000000002
2009-03-11 00:00:00,57.26000000000002
2009-03-12 00:00:00,60.64000000000002
2009-03-13 00:00:00,59.97000000000002
2009-03-16 00:00:00,60.850000000000016
2009-03-17 00:00:00,63.15000000000001
2009-03-18 00:00:00,64.92000000000002
2009-03-19 00:00:00,66.85000000000002
2009-03-20 00:00:00,67.41000000000003
2009-03-23 00:00:00,69.75000000000003
2009-03-24 00:00:00,69.35000000000002
2009-03-25 00:00:00,67.80000000000001
2009-03-26 00:00:00,69.19000000000003
2009-03-27 00:00:00,67.84000000000003
2009-03-30 00:00:00,64.72000000000003
2009-03-31 00:00:00,65.39000000000001
2009-04-01 00:00:00,64.21000000000001
2009-04-02 00:00:00,68.64000000000001
2009-04-03 00:00:00,69.05000000000001
2009-04-06 00:00:00,68.34000000000003
2009-04-07 00:00:00,67.38000000000002
2009-04-08 00:00:00,67.64000000000001
2009-04-09 00:00:00,69.58000000000001
2009-04-13 00:00:00,67.97000000000003
2009-04-14 00:00:00,67.70000000000002
2009-04-15 00:00:00,66.92000000000002
2009-04-16 00:00:00,67.35000000000002
2009-04-17 00:00:00,67.34000000000003
2009-04-20 00:00:00,64.20000000000002
2009-04-21 00:00:00,64.09000000000003
2009-04-22 00:00:00,64.15
2009-04-23 00:00:00,63.95000000000002
2009-04-24 00:00:00,65.46000000000001
2009-04-27 00:00:00,64.30000000000001
2009-04-28 00:00:00,63.75000000000002
2009-04-29 00:00:00,64.88000000000002
2009-04-30 00:00:00,65.00000000000003
2009-05-01 00:00:00,67.23000000000002
2009-05-04 00:00:00,69.16000000000003
2009-05-05 00:00:00,68.45000000000002
2009-05-06 00:00:00,70.09000000000003
2009-05-07 00:00:00,70.19000000000003
2009-05-08 00:00:00,71.36000000000001
2009-05-11 00:00:00,71.12000000000003
2009-05-12 00:00:00,71.37000000000003
2009-05-13 00:00:00,70.69000000000003
2009-05-14 00:00:00,71.02000000000002
2009-05-15 00:00:00,68.55000000000001
2009-05-18 00:00:00,70.79000000000002
2009-05-19 00:00:00,71.28000000000003
2009-05-20 00:00:00,72.47000000000003
2009-05-21 00:00:00,71.94000000000003
2009-05-22 00:00:00,72.54000000000002
2009-05-26 00:00:00,72.90000000000003
2009-05-27 00:00:00,73.90000000000003
2009-05-28 00:00:00,75.79000000000002
2009-05-29 00:00:00,76.87000000000003
2009-06-01 00:00:00,79.19000000000003
2009-06-02 00:00:00,79.82000000000002
2009-06-03 00:00:00,78.13000000000002
2009-06-04 00:00:00,80.51000000000002
2009-06-05 00:00:00,80.39000000000001
2009-06-08 00:00:00,80.27000000000002
2009-06-09 00:00:00,81.62000000000003
2009-06-10 00:00:00,82.52000000000002
2009-06-11 00:00:00,83.79000000000002
2009-06-12 00:00:00,83.14000000000001
2009-06-15 00:00:00,81.82000000000002
2009-06-16 00:00:00,81.47000000000003
2009-06-17 00:00:00,82.17000000000002
2009-06-18 00:00:00,82.14000000000001
2009-06-19 00:00:00,80.56000000000003
2009-06-22 00:00:00,78.04000000000002
2009-06-23 00:00:00,79.54000000000002
2009-06-24 00:00:00,79.11000000000001
2009-06-25 00:00:00,80.65000000000003
2009-06-26 00:00:00,79.59000000000003
2009-06-29 00:00:00,81.79000000000002
2009-06-30 00:00:00,80.38000000000002
2009-07-01 00:00:00,80.03000000000003
2009-07-02 00:00:00,77.83000000000001
2009-07-06 00:00:00,75.13000000000002
2009-07-07 00:00:00,74.11000000000001
2009-07-08 00:00:00,71.70000000000002
2009-07-09 00:00:00,72.14000000000001
2009-07-10 00:00:00,71.4
2009-07-13 00:00:00,71.08000000000001
2009-07-14 00:00:00,71.04000000000002
2009-07-15 00:00:00,73.44000000000003
2009-07-16 00:00:00,74.19000000000003
2009-07-17 00:00:00,75.70000000000002
2009-07-20 00:00:00,76.77000000000002
2009-07-21 00:00:00,76.94000000000003
2009-07-22 00:00:00,77.42000000000002
2009-07-23 00:00:00,79.26000000000002
2009-07-24 00:00:00,80.19000000000003
2009-07-27 00:00:00,80.14000000000001
2009-07-28 00:00:00,79.13000000000002
2009-07-29 00:00:00,75.77000000000002
2009-07-30 00:00:00,79.25000000000003
2009-07-31 00:00:00,80.87000000000003
