date,op,hi,lo,cl
20040716,22820,23010,22810,22810
20040719,22840,22930,22600,22620
20040720,22690,22900,22520,22860
20040721,23030,23140,22950,22950
20040722,22760,22830,22630,22730
20040723,22860,22860,22670,22710
20040726,22720,22830,22450,22450
20040727,22590,22860,22530,22810
20040728,22870,23010,22770,22780
20040729,23000,23330,22950,23250
20040730,23240,23500,23120,23240
20040802,23150,23400,23130,23290
20040803,23300,23540,23270,23320
20040804,23180,23250,23050,23240
20040805,23300,23370,22960,23030
20040806,22790,23090,22540,22540
20040809,22560,22620,22270,22280
20040810,22630,22630,22340,22560
20040811,22660,22660,22230,22400
20040812,22390,22600,22260,22260
20040813,22200,22440,22200,22220
20040816,22100,22580,22060,22580
20040817,22510,22720,22470,22570
20040818,22550,22600,22370,22600
20040819,22770,22770,22540,22540
20040820,22600,22610,22470,22610
20040823,22750,22960,22700,22880
20040824,22970,22970,22800,22930
20040825,23000,23120,22830,23120
20040826,23160,23200,23000,23120
20040827,23230,23450,23160,23450
20040830,23390,23450,23320,23340
20040831,23270,23270,23050,23140
20040901,23200,23300,23160,23220
20040902,23220,23540,23160,23450
20040903,23460,23730,23320,23670
20040906,23670,23840,23670,23840
20040907,23770,23830,23670,23800
20040908,23720,23820,23700,23700
20040909,23550,23640,23470,23630
20040910,23660,23700,23620,23620
20040913,23790,23850,23740,23810
20040914,23890,23890,23660,23700
20040915,23440,23840,23440,23720
20040916,23710,23800,23660,23750
20040917,23740,24040,23680,23940
20040920,23960,23960,23760,23830
20040921,23930,24080,23930,24080
20040922,24040,24140,23860,23860
20040923,23800,23850,23610,23610
20040924,23610,23790,23600,23710
20040927,23710,23710,23520,23590
20040928,23430,23780,23430,23760
20040929,23700,23830,23700,23770
20040930,23790,23840,23380,23510
20041001,23610,24060,23610,23970
20041004,24240,24340,24200,24320
20041005,24280,24460,24240,24360
20041006,24320,24460,24270,24460
20041007,24480,24500,24250,24310
20041008,24210,24440,24120,24150
20041011,24130,24230,24060,24230
20041012,24120,24120,23830,23930
20041013,24050,24150,23770,23770
20041014,23830,23920,23600,23690
20041015,23600,23910,23590,23910
20041018,23710,23830,23620,23790
20041019,23830,24010,23830,23840
20041020,23530,23730,23530,23710
20041021,23740,23830,23590,23640
20041022,23770,23860,23460,23520
20041025,23180,23310,23070,23220
20041026,23230,23400,23140,23280
20041027,23420,23730,23340,23710
20041028,23770,23880,23670,23850
20041029,23840,23910,23710,23750
20041101,23690,24020,23690,23940
20041102,23980,24240,23980,24240
20041103,24410,24440,24250,24340
20041104,24340,24520,24130,24520
20041105,24490,24590,24360,24480
20041108,24380,24450,24310,24410
20041109,24370,24430,24330,24420
20041110,24440,24530,24360,24480
20041111,24340,24680,24310,24680
20041112,24760,24780,24650,24750
20041115,25010,25010,24660,24750
20041116,24730,24760,24450,24500
20041117,24560,24830,24470,24790
20041118,24720,24810,24650,24790
20041119,24790,24810,24390,24410
20041122,24320,24490,24180,24390
20041123,24430,24540,24250,24320
20041124,24410,24420,24230,24270
20041125,24370,24490,24340,24460
20041126,24400,24430,24300,24330
20041129,24440,24640,24330,24400
20041130,24400,24410,24170,24220
20041201,24160,24600,24140,24530
20041202,24770,24770,24540,24540
20041203,24710,24790,24390,24400
20041206,24450,24520,24340,24510
20041207,24430,24640,24410,24480
20041208,24480,24550,24480,24550
20041209,24570,24570,24340,24510
20041210,24520,24530,24400,24530
20041213,24550,24680,24490,24680
20041214,24880,24880,24600,24730
20041215,24750,24790,24630,24750
20041216,24690,24790,24670,24730
20041217,24760,24820,24330,24330
20041220,24470,24670,24470,24500
20041221,24540,24610,24440,24610
20041222,24640,24710,24560,24650
20041223,24600,24690,24550,24670
20041227,24670,24740,24550,24630
20041228,24580,24680,24540,24680
20041229,24740,24740,24540,24650
20041230,24620,24740,24550,24580
20050103,24620,24880,24620,24750
20050104,24790,24890,24710,24710
20050105,24650,24800,24610,24770
20050106,24670,24910,24670,24850
20050107,24820,25060,24820,25010
20050110,25080,25090,24920,25020
20050111,24900,24980,24630,24700
20050112,24740,24780,24340,24480
20050113,24590,24630,24430,24620
20050114,24570,24700,24460,24700
20050117,24720,24770,24660,24770
20050118,24820,24820,24610,24820
20050119,24800,24910,24780,24780
20050120,24630,24680,24540,24540
20050121,24400,24630,24400,24480
20050124,24450,24650,24400,24580
20050125,24510,24880,24510,24780
20050126,24800,24900,24770,24840
20050127,24850,25060,24760,24910
20050128,25090,25090,24780,24840
20050131,25000,25110,24960,25070
20050201,25010,25250,24990,25250
20050202,25270,25320,25190,25290
20050203,25310,25340,25180,25340
20050204,25340,25660,25340,25590
20050207,25740,25740,25660,25730
20050208,25750,25800,25660,25800
20050209,25750,25880,25610,25750
20050210,25640,25840,25640,25840
20050211,25840,26150,25790,26150
20050214,26030,26080,25940,26070
20050215,26010,26160,25980,26070
20050216,26100,26100,25830,25900
20050217,26030,26060,25890,25940
20050218,25870,26040,25870,25970
20050221,26080,26120,25950,26070
20050222,25980,26020,25660,25660
20050223,25580,25680,25520,25590
20050224,25700,25700,25550,25660
20050225,25810,25980,25780,25970
20050228,25950,26060,25660,25700
20050301,25800,26100,25770,26100
20050302,25990,26100,25900,25990
20050303,26040,26210,26000,26120
20050304,26210,26310,26120,26300
20050307,26310,26340,26150,26270
20050308,26160,26200,26060,26060
20050309,26060,26100,25860,25860
20050310,25580,25680,25550,25680
20050311,25710,25730,25640,25640
20050314,25600,25610,25530,25610
20050315,25790,25920,25780,25780
20050316,25750,25830,25490,25490
20050317,25510,25560,25410,25450
20050318,25420,25610,25410,25410
20050321,25410,25600,25410,25500
20050322,25500,25590,25320,25590
20050323,25520,25520,25280,25340
20050324,25420,25680,25380,25670
20050329,25520,25660,25410,25660
20050330,25430,25690,25430,25680
20050331,25840,25840,25430,25670
20050401,25570,25770,25380,25380
20050404,25530,25560,25330,25550
20050405,25630,25740,25580,25740
20050406,25770,25860,25710,25750
20050407,25760,26010,25760,25950
20050408,26020,26050,25860,25940
20050411,25820,25930,25810,25920
20050412,25840,25850,25740,25790
20050413,25960,25960,25800,25820
20050414,25770,25930,25750,25830
20050415,25490,25670,25300,25300
20050418,25020,25090,24820,24890
20050419,25120,25240,25090,25160
20050420,25280,25300,24780,24920
20050421,24920,25160,24900,25160
20050422,25140,25250,25100,25250
20050425,25300,25390,25200,25390
20050426,25380,25380,25170,25330
20050427,25220,25240,24940,25100
20050428,25140,25180,24940,25050
20050429,24950,25270,24950,25060
20050502,25200,25380,25190,25320
20050503,25350,25420,25280,25400
20050504,25430,25680,25360,25680
20050505,25660,25830,25570,25690
20050506,25720,26010,25670,25880
20050509,25890,25890,25710,25840
20050510,25810,25860,25420,25600
20050511,25460,25620,25410,25560
20050512,25660,25710,25580,25640
20050513,25530,25720,25450,25580
20050516,25530,25670,25440,25670
20050517,25570,25620,25490,25540
20050518,25660,26080,25640,26030
20050519,25990,26120,25990,25990
20050520,26110,26270,26040,26240
20050523,26230,26340,26170,26300
20050524,26280,26280,26170,26280
20050525,26210,26280,26140,26140
