dt,Daily Rainfall Total (mm)
2015-01-01,0.6
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,21.8
2015-01-07,22.4
2015-01-08,0.8
2015-01-09,0.4
2015-01-10,33.6
2015-01-11,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,3.4
2015-02-03,0.2
2015-02-04,0.2
2015-02-05,0.0
2015-02-06,10.8
2015-02-07,0.2
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,4.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,14.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,46.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,6.4
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,9.2
2015-03-30,0.0
2015-03-31,8.8
2015-04-01,13.8
2015-04-02,11.4
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,9.8
2015-04-06,1.6
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.4
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.6
2015-04-18,0.0
2015-04-19,8.2
2015-04-20,0.0
2015-04-21,3.2
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,1.6
2015-04-25,0.0
2015-04-26,18.8
2015-04-27,0.4
2015-04-28,0.2
2015-04-29,0.0
2015-04-30,3.2
2015-05-01,0.0
2015-05-02,16.4
2015-05-03,22.2
2015-05-04,5.0
2015-05-05,2.6
2015-05-06,3.4
2015-05-07,0.2
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,0.0
2015-05-12,3.0
2015-05-13,0.0
2015-05-14,16.6
2015-05-15,9.8
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,2.4
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,5.4
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,2.0
2015-05-28,0.0
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,1.8
2015-06-03,0.0
2015-06-04,2.2
2015-06-05,0.0
2015-06-06,12.8
2015-06-07,28.4
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,2.8
2015-06-12,17.4
2015-06-13,0.0
2015-06-14,13.4
2015-06-15,3.8
2015-06-16,0.0
2015-06-17,0.4
2015-06-18,0.0
2015-06-19,0.0
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-27,0.0
2015-06-28,12.8
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,6.4
2015-07-02,0.0
2015-07-03,0.4
2015-07-04,22.2
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,2.0
2015-07-08,20.0
2015-07-09,0.0
2015-07-10,11.4
2015-07-11,0.6
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,45.8
2015-07-15,0.0
2015-07-16,1.6
2015-07-17,0.0
2015-07-18,0.0
2015-07-19,0.2
2015-07-20,0.0
2015-07-21,0.4
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-25,0.0
2015-07-26,3.6
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,2.2
2015-08-01,1.6
2015-08-02,0.0
2015-08-03,26.2
2015-08-04,6.2
2015-08-05,0.0
2015-08-06,1.6
2015-08-07,20.2
2015-08-08,28.2
2015-08-09,14.2
2015-08-10,1.0
2015-08-11,0.0
2015-08-12,63.2
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,22.2
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,1.2
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.4
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,17.4
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,18.4
2015-09-16,16.4
2015-09-17,0.0
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.2
2015-09-22,4.6
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,2.8
2015-09-29,0.0
2015-09-30,1.4
2015-10-01,0.0
2015-10-02,28.6
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.2
2015-10-06,19.8
2015-10-07,0.6
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,7.8
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.6
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,24.0
2015-10-29,0.0
2015-10-30,5.2
2015-10-31,0.4
2015-11-01,0.2
2015-11-02,0.2
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-07,1.4
2015-11-08,0.0
2015-11-09,1.4
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,1.6
2015-11-17,9.8
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,0.2
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,0.0
2015-11-24,24.0
2015-11-25,3.2
2015-11-26,0.8
2015-11-27,0.4
2015-11-28,0.0
2015-11-29,3.6
2015-11-30,25.8
2015-12-01,28.8
2015-12-02,0.2
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,6.0
2015-12-06,4.0
2015-12-07,0.0
2015-12-08,21.6
2015-12-09,2.0
2015-12-10,40.4
2015-12-11,11.0
2015-12-12,37.8
2015-12-13,12.6
2015-12-14,0.4
2015-12-15,0.0
2015-12-16,0.2
2015-12-17,0.0
2015-12-18,8.2
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,4.8
2015-12-23,25.6
2015-12-24,40.2
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,39.0
2015-12-30,2.2
2015-12-31,17.0
2016-01-01,2.0
2016-01-02,39.6
2016-01-03,16.6
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,1.8
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.2
2016-01-15,5.6
2016-01-16,12.2
2016-01-17,33.4
2016-01-18,2.6
2016-01-19,2.0
2016-01-20,0.8
2016-01-21,0.6
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,2.6
2016-01-26,6.0
2016-01-27,1.0
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,10.6
2016-02-03,0.0
2016-02-04,0.2
2016-02-05,0.0
2016-02-06,1.8
2016-02-07,26.4
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,0.4
2016-02-12,0.6
2016-02-13,0.0
2016-02-14,1.2
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,70.4
2016-02-20,2.6
2016-02-21,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,71.8
2016-02-25,0.0
2016-02-26,0.0
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.4
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,0.6
2016-03-09,0.0
2016-03-10,1.6
2016-03-11,0.0
2016-03-12,0.0
2016-03-13,2.4
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,0.2
2016-03-22,1.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,0.0
2016-04-03,7.6
2016-04-04,6.2
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.0
2016-04-09,1.2
2016-04-10,0.0
2016-04-11,0.0
2016-04-12,9.4
