dt,Daily Rainfall Total (mm)
2016-04-13,0.0
2016-04-14,9.6
2016-04-15,4.8
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,0.2
2016-04-20,0.4
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,13.8
2016-04-25,18.2
2016-04-26,7.6
2016-04-27,4.2
2016-04-28,6.2
2016-04-29,0.4
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.6
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,8.0
2016-05-12,0.0
2016-05-13,0.8
2016-05-14,16.4
2016-05-15,0.0
2016-05-16,31.6
2016-05-17,0.0
2016-05-18,54.8
2016-05-19,0.0
2016-05-20,2.8
2016-05-21,10.6
2016-05-22,25.6
2016-05-23,1.8
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,29.8
2016-05-29,0.0
2016-05-30,11.0
2016-05-31,0.0
2016-06-01,0.8
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,3.8
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,3.8
2016-06-09,0.6
2016-06-10,0.0
2016-06-11,16.2
2016-06-12,0.0
2016-06-13,7.2
2016-06-14,0.2
2016-06-15,34.6
2016-06-16,6.4
2016-06-17,18.4
2016-06-18,0.4
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,2.2
2016-06-23,0.0
2016-06-24,67.8
2016-06-25,0.0
2016-06-26,0.8
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,1.2
2016-07-07,0.8
2016-07-08,4.4
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,1.4
2016-07-12,0.0
2016-07-13,1.2
2016-07-14,0.8
2016-07-15,0.4
2016-07-16,1.6
2016-07-17,0.4
2016-07-18,44.0
2016-07-19,0.4
2016-07-20,11.8
2016-07-21,59.4
2016-07-22,28.8
2016-07-23,4.8
2016-07-24,0.8
2016-07-25,0.2
2016-07-26,1.6
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.6
2016-07-31,4.0
2016-08-01,22.2
2016-08-02,0.0
2016-08-03,7.0
2016-08-04,0.0
2016-08-05,0.2
2016-08-06,4.6
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,3.6
2016-08-12,3.4
2016-08-13,0.0
2016-08-14,0.2
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,2.2
2016-08-18,0.0
2016-08-19,11.2
2016-08-20,0.0
2016-08-21,30.6
2016-08-22,0.2
2016-08-23,18.2
2016-08-24,13.4
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,10.6
2016-08-30,11.6
2016-08-31,0.0
2016-09-01,3.6
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,1.8
2016-09-05,12.6
2016-09-06,1.0
2016-09-07,5.0
2016-09-08,0.0
2016-09-09,6.6
2016-09-10,2.8
2016-09-11,0.2
2016-09-12,3.4
2016-09-13,0.0
2016-09-14,34.0
2016-09-15,0.0
2016-09-16,15.2
2016-09-17,0.0
2016-09-18,7.2
2016-09-19,15.8
2016-09-20,0.0
2016-09-21,2.5
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,7.2
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,75.4
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.4
2016-10-07,22.2
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.2
2016-10-13,0.0
2016-10-14,1.6
2016-10-15,0.0
2016-10-16,5.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,22.4
2016-10-20,0.0
2016-10-21,1.0
2016-10-22,4.2
2016-10-23,0.8
2016-10-24,7.0
2016-10-25,15.0
2016-10-26,1.6
2016-10-27,14.6
2016-10-28,0.0
2016-10-29,9.2
2016-10-30,0.4
2016-10-31,0.0
2016-11-01,35.0
2016-11-02,1.0
2016-11-03,19.2
2016-11-04,0.0
2016-11-05,4.4
2016-11-06,0.0
2016-11-07,1.2
2016-11-08,0.0
2016-11-09,64.4
2016-11-10,11.0
2016-11-11,5.6
2016-11-12,8.8
2016-11-13,0.0
2016-11-14,65.6
2016-11-15,0.0
2016-11-16,30.2
2016-11-17,29.4
2016-11-18,1.0
2016-11-19,0.8
2016-11-20,1.8
2016-11-21,0.0
2016-11-22,1.4
2016-11-23,1.2
2016-11-24,0.0
2016-11-25,2.8
2016-11-26,4.6
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.8
2016-11-30,0.0
2016-12-01,18.4
2016-12-02,1.2
2016-12-03,1.0
2016-12-04,18.6
2016-12-05,0.8
2016-12-06,21.6
2016-12-07,33.4
2016-12-08,0.0
2016-12-09,23.4
2016-12-10,2.0
2016-12-11,7.6
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.2
2016-12-15,0.0
2016-12-16,2.4
2016-12-17,29.6
2016-12-18,2.4
2016-12-19,6.0
2016-12-20,0.0
2016-12-21,3.0
2016-12-22,12.2
2016-12-23,19.6
2016-12-24,73.0
2016-12-25,10.4
2016-12-26,0.0
2016-12-27,0.6
2016-12-28,3.8
2016-12-29,0.0
2016-12-30,1.4
2016-12-31,0.0
2017-01-01,0.8
2017-01-02,0.0
2017-01-03,0.6
2017-01-04,2.8
2017-01-05,0.6
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.8
2017-01-09,0.0
2017-01-10,3.0
2017-01-11,26.4
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.4
2017-01-15,10.8
2017-01-16,3.0
2017-01-17,0.0
2017-01-18,6.0
2017-01-19,16.6
2017-01-20,4.6
2017-01-21,5.6
2017-01-22,31.4
2017-01-23,60.6
2017-01-24,17.4
2017-01-25,0.0
2017-01-26,1.8
2017-01-27,0.0
2017-01-28,1.4
2017-01-29,0.6
2017-01-30,2.6
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,1.4
2017-02-03,25.4
2017-02-04,15.0
2017-02-05,23.4
2017-02-06,5.4
2017-02-07,21.0
2017-02-08,4.6
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,5.2
2017-02-13,1.6
2017-02-14,0.2
2017-02-15,16.4
2017-02-16,0.8
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,3.6
2017-02-24,31.2
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,4.0
2017-03-01,22.0
2017-03-02,0.4
2017-03-03,10.4
2017-03-04,14.6
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,21.4
2017-03-21,0.0
2017-03-22,0.4
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,5.0
2017-03-28,30.2
2017-03-29,2.4
2017-03-30,19.2
2017-03-31,10.6
2017-04-01,7.6
2017-04-02,2.6
2017-04-03,1.4
2017-04-04,2.2
2017-04-05,0.0
2017-04-06,0.6
2017-04-07,37.8
2017-04-08,1.6
2017-04-09,6.2
2017-04-10,0.0
2017-04-11,11.8
2017-04-12,22.0
2017-04-13,0.6
2017-04-14,0.2
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,11.6
2017-04-19,0.2
2017-04-20,0.0
2017-04-21,18.0
2017-04-22,0.4
2017-04-23,7.6
2017-04-24,30.4
2017-04-25,2.4
2017-04-26,2.2
2017-04-27,0.2
2017-04-28,42.8
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,2.4
2017-05-05,8.0
2017-05-06,8.0
2017-05-07,12.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,19.2
2017-05-11,0.0
2017-05-12,0.8
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.6
2017-05-16,4.0
2017-05-17,0.0
2017-05-18,4.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,27.2
2017-05-22,9.8
2017-05-23,0.0
2017-05-24,11.0
2017-05-25,0.0
2017-05-26,25.8
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,13.8
2017-05-31,44.8
2017-06-01,8.2
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.2
2017-06-12,0.0
2017-06-13,0.2
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,8.0
2017-06-17,0.0
2017-06-18,13.8
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,20.2
2017-06-22,0.0
2017-06-23,29.6
2017-06-24,0.0
2017-06-25,22.8
2017-06-26,1.6
2017-06-27,1.4
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.2
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,23.2
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,8.8
2017-07-09,0.6
2017-07-10,0.0
2017-07-11,30.6
2017-07-12,4.6
2017-07-13,6.4
2017-07-14,3.2
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,2.4
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,1.6
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,7.2
2017-08-08,7.0
2017-08-09,2.0
2017-08-10,0.0
2017-08-11,1.2
2017-08-12,3.0
2017-08-13,1.0
2017-08-14,0.2
2017-08-15,0.2
2017-08-16,0.0
2017-08-17,14.0
2017-08-18,29.4
2017-08-19,4.8
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,5.2
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,1.2
2017-08-26,0.0
2017-08-27,1.8
2017-08-28,3.2
2017-08-29,0.6
2017-08-30,0.6
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.4
2017-09-05,10.4
2017-09-06,20.2
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,2.6
2017-09-10,3.8
2017-09-11,14.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,19.2
2017-09-17,3.0
2017-09-18,16.8
2017-09-19,3.8
2017-09-20,4.0
2017-09-21,3.2
2017-09-22,0.0
2017-09-23,8.8
2017-09-24,3.2
2017-09-25,0.0
2017-09-26,1.0
2017-09-27,1.8
2017-09-28,0.2
2017-09-29,8.4
2017-09-30,0.4
2017-10-01,2.2
2017-10-02,0.2
2017-10-03,3.2
2017-10-04,7.8
2017-10-05,0.2
2017-10-06,0.0
2017-10-07,2.0
2017-10-08,16.8
2017-10-09,31.4
2017-10-10,7.0
2017-10-11,2.2
2017-10-12,11.6
2017-10-13,1.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.2
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.2
2017-10-22,0.4
2017-10-23,0.0
2017-10-24,8.2
2017-10-25,0.8
2017-10-26,10.6
2017-10-27,4.0
2017-10-28,0.0
2017-10-29,8.2
2017-10-30,0.0
2017-10-31,3.4
2017-11-01,0.6
2017-11-02,0.0
2017-11-03,1.4
2017-11-04,6.4
2017-11-05,0.8
2017-11-06,42.6
2017-11-07,1.8
2017-11-08,0.2
2017-11-09,33.2
2017-11-10,21.8
2017-11-11,10.6
2017-11-12,19.6
2017-11-13,4.2
2017-11-14,45.0
2017-11-15,0.0
2017-11-16,18.0
2017-11-17,3.2
2017-11-18,11.4
2017-11-19,0.2
2017-11-20,11.2
2017-11-21,13.8
2017-11-22,0.0
2017-11-23,6.2
2017-11-24,1.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,3.4
2017-11-28,0.4
2017-11-29,14.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,1.0
2017-12-03,0.6
2017-12-04,14.0
2017-12-05,3.2
2017-12-06,3.6
2017-12-07,32.4
2017-12-08,0.0
2017-12-09,0.6
2017-12-10,8.6
2017-12-11,9.2
2017-12-12,31.6
2017-12-13,69.8
2017-12-14,0.8
2017-12-15,19.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.4
2017-12-19,0.4
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,51.6
2017-12-23,4.0
2017-12-24,0.0
2017-12-25,23.0
2017-12-26,5.2
2017-12-27,15.4
2017-12-28,9.0
2017-12-29,0.0
2017-12-30,4.4
2017-12-31,63.4
2018-01-01,32.2
2018-01-02,0.8
2018-01-03,2.0
2018-01-04,0.2
2018-01-05,1.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,45.8
2018-01-09,1.8
2018-01-10,29.8
2018-01-11,10.4
2018-01-12,9.8
2018-01-13,42.2
2018-01-14,6.8
2018-01-15,1.4
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,2.6
2018-01-20,22.8
2018-01-21,0.6
2018-01-22,5.6
2018-01-23,6.8
2018-01-24,1.0
2018-01-25,0.6
2018-01-26,0.6
2018-01-27,6.6
2018-01-28,12.2
2018-01-29,0.0
2018-01-30,40.8
2018-01-31,2.6
2018-02-01,0.0
2018-02-02,13.0
2018-02-03,0.0
2018-02-04,0.6
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.2
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.8
2018-02-24,0.2
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,3.2
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,5.8
2018-03-08,0.6
2018-03-09,0.0
2018-03-10,15.2
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,0.0
2018-03-24,0.0
2018-03-25,7.0
2018-03-26,0.0
2018-03-27,10.2
2018-03-28,1.2
2018-03-29,0.2
2018-03-30,0.8
2018-03-31,0.4
2018-04-01,0.8
2018-04-02,0.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,3.8
2018-04-07,1.4
2018-04-08,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,0.0
2018-04-14,0.4
2018-04-15,14.0
2018-04-16,1.6
2018-04-17,0.2
2018-04-18,0.0
2018-04-19,0.6
2018-04-20,0.0
2018-04-21,0.2
2018-04-22,0.0
2018-04-23,7.4
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,14.0
2018-04-27,12.0
2018-04-28,0.2
2018-04-29,0.0
2018-04-30,4.6
2018-05-01,6.8
2018-05-02,0.6
2018-05-03,14.2
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.2
2018-05-13,1.2
2018-05-14,0.0
2018-05-15,0.8
2018-05-16,5.0
2018-05-17,0.0
2018-05-18,1.2
2018-05-19,3.0
2018-05-20,0.2
2018-05-21,1.0
2018-05-22,0.0
2018-05-23,35.4
2018-05-24,0.8
2018-05-25,0.0
2018-05-26,10.0
2018-05-27,1.2
2018-05-28,47.4
2018-05-29,0.2
2018-05-30,0.2
2018-05-31,2.8
2018-06-01,24.2
2018-06-02,46.8
2018-06-03,0.0
2018-06-04,0.4
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,3.8
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,1.4
2018-06-14,3.2
2018-06-15,6.8
2018-06-16,0.0
2018-06-17,0.4
2018-06-18,9.4
2018-06-19,0.6
2018-06-20,21.2
2018-06-21,0.6
2018-06-22,0.0
