matchid,teamid,op_teamid,competitionid,seasonid,is_home,team_name,op_team_name,timestamp,goals,op_goals,points,avg_points,avg_goals,op_avg_goals,pass_70,pass_80,op_pass_70,op_pass_80,expected_goals,op_expected_goals,passes,bad_passes,pass_ratio,corners,fouls,cards,shots,op_passes,op_bad_passes,op_corners,op_fouls,op_cards,op_shots,goals_op_ratio,shots_op_ratio,pass_op_ratio
731828,366,632,4,2013,0,Netherlands,Argentina,2014-07-09 21:00:00.000000,0,0,1,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.4720355436081243,0.15069764464925758,0.2647796125618706,0.0785010240655402,1.4443742190815279,0.4114246610948559,3.834864097968937,1.0136222051544632,0.7655946911181255,0.07099121010411333,0.1262374125277351,1.0,0.1552259344598054,3.3898596176821982,1.0245509045912273,0.03467955282471411,0.15706605222734255,2.6666666666666665,0.09249658644819936,1.3333333333333333,1.7022727272727272,1.0254256457774875
731828,632,366,4,2013,1,Argentina,Netherlands,2014-07-09 21:00:00.000000,0,0,1,3.0,1.6666666666666667,0.6666666666666666,0.5103565365025468,0.17591963780418787,0.418939822674967,0.1527636295038672,1.9059696337240544,0.7598224357363069,4.279485002829655,1.034955668741747,0.800934520671154,0.08848330503678552,0.18442746651575173,1.3333333333333333,0.1775608375778155,2.9927183550273533,0.9928221090360309,0.041812865497076024,0.10490473495566875,2.0,0.11842105263157894,1.1666666666666667,1.4777777777777779,1.0740353750314315
731827,357,614,4,2013,0,Germany,Brazil,2014-07-08 21:00:00.000000,7,1,3,3.0,1.3333333333333333,0.3333333333333333,0.7944425066852693,0.20579002441576563,0.3104846523222481,0.13656639075476346,1.8364988279698438,0.7479686313573052,5.74822695035461,1.0775491221950935,0.8278621717556381,0.04859900011626555,0.16102778746657365,1.3333333333333333,0.15451691663760028,3.2072514698840973,1.0733366837814557,0.0358279169838966,0.12614249655891474,1.0,0.08775861271445055,1.3333333333333333,2.235911074740862,1.120409869752359
731827,614,357,4,2013,1,Brazil,Germany,2014-07-08 21:00:00.000000,1,7,0,2.3333333333333335,2.3333333333333335,1.0,0.4252121340375566,0.19116252685659532,0.43932540347350196,0.14653487463003292,1.9686679918803145,0.628712163548509,3.072144677324069,0.9379219534848179,0.7617962261804222,0.06247982999885373,0.19071459852512837,2.0,0.18648073526083597,2.8796560004467526,1.0110012844139165,0.055676551069414194,0.2507957781873011,2.6666666666666665,0.12880437817613224,2.3333333333333335,1.4360889597731703,1.0339466401429471
741520,1207,421,98,2014,0,Chicago Fire,Sporting Kansas City,2014-07-06 20:00:00.000000,1,1,1,0.6666666666666666,1.0,1.3333333333333333,0.43257168458781364,0.15961021505376344,0.32986111111111116,0.14213709677419353,0.9968983324862316,0.6999782178492779,3.2964829749103948,1.2149417562724016,0.7056774807445881,0.05297939068100358,0.11323924731182795,2.6666666666666665,0.13138440860215053,3.506048387096774,1.204525089605735,0.08534946236559139,0.15557795698924728,2.3333333333333335,0.08512544802867383,0.5555555555555555,1.632936507936508,0.9623494831294552
741520,421,1207,98,2014,1,Sporting Kansas City,Chicago Fire,2014-07-06 20:00:00.000000,1,1,1,2.0,1.0,0.3333333333333333,0.45263157894736844,0.17192982456140352,0.649122807017544,0.27368421052631575,0.8150935583594117,0.726077918072623,2.775438596491228,1.1578947368421053,0.6822995702439023,0.03859649122807018,0.15789473684210528,3.0,0.1263157894736842,3.926315789473684,1.312280701754386,0.07719298245614035,0.15087719298245614,3.0,0.12631578947368421,1.0,1.2383357383357385,0.9370543273573265
741519,1616,2079,98,2014,0,Montreal Impact,Chivas USA,2014-07-06 03:30:00.000000,0,1,0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.38396513251038633,0.14326390339490516,0.5205687021508693,0.18327398300392242,1.4620830290855007,0.9844896545533924,3.7141477591106073,1.0854081081170694,0.7680784125444858,0.057428903941989205,0.16843391390555007,2.0,0.1471200169761836,3.866913517617764,1.0678732356539644,0.06452110252354948,0.13235786590804346,2.0,0.10391115355157014,1.1666666666666667,1.4953703703703705,0.9823393044150683
741519,2079,1616,98,2014,1,Chivas USA,Montreal Impact,2014-07-06 03:30:00.000000,1,0,3,2.3333333333333335,1.0,0.3333333333333333,0.4469951474430758,0.18648749533407985,0.6344531541620008,0.2290780141843972,1.226035864222516,1.2243407019013954,2.5380365808137366,1.1548712206047034,0.6816446551799834,0.02467338559163867,0.09145203434117206,2.3333333333333335,0.12303098170959313,4.730869727510265,1.126427771556551,0.04919746173945502,0.14415826801045165,1.3333333333333333,0.162187383351997,1.0,1.0072751322751323,0.8462170334548992
741518,3500,1708,98,2014,0,Seattle Sounders FC,Vancouver Whitecaps,2014-07-06 03:00:00.000000,0,1,0,3.0,2.6666666666666665,0.6666666666666666,0.5136672576832152,0.17518180182958165,0.5611894850447117,0.184445343817453,1.1748935752843994,0.8726514597256335,3.2901955493884265,1.0756950868537363,0.7496759401325973,0.06361779216774592,0.18461237023332303,2.3333333333333335,0.09260972350704082,4.532637604070305,1.130129638195087,0.056528805632644674,0.1347935296536129,2.0,0.11312506424092918,2.1666666666666665,1.0757575757575757,0.9566269177109673
741518,1708,3500,98,2014,1,Vancouver Whitecaps,Seattle Sounders FC,2014-07-06 03:00:00.000000,1,0,3,0.6666666666666666,1.0,1.6666666666666667,0.42599444958371874,0.12164662349676225,0.5565834104224484,0.23874498920752388,0.8179125573243304,1.831934755253134,3.9532839962997226,1.0395467160037002,0.7857236687401238,0.042861547949429535,0.14623805118717237,1.6666666666666667,0.07855380820228183,3.8832870798643238,1.1243447425223558,0.06051495528831329,0.1497841504779525,2.3333333333333335,0.21423065063213076,0.3333333333333333,0.4250048197416619,1.0246148941274644
