matchid,teamid,op_teamid,competitionid,seasonid,is_home,team_name,op_team_name,timestamp,avg_points,avg_goals,op_avg_goals,pass_70,pass_80,op_pass_70,op_pass_80,expected_goals,op_expected_goals,passes,bad_passes,pass_ratio,corners,fouls,cards,shots,op_passes,op_bad_passes,op_corners,op_fouls,op_cards,op_shots,goals_op_ratio,shots_op_ratio,pass_op_ratio
731830,632,357,4,2013,0,Argentina,Germany,2014-07-13 20:00:00.000000,2.3333333333333335,0.6666666666666666,0.0,0.40996943972835315,0.1326508205998868,0.4774057724957555,0.16492133559705716,1.2628883364512802,0.5165444481075605,3.857979626485569,1.0064538766270517,0.7910425119033723,0.05613921901528013,0.1670797962648557,1.6666666666666667,0.14504470854555743,3.639628749292586,1.0127504244482173,0.03814261460101867,0.11365025466893038,2.0,0.10474363327674023,0.6666666666666666,1.3414141414141414,1.0351196449970954
731830,357,632,4,2013,1,Germany,Argentina,2014-07-13 20:00:00.000000,3.0,3.3333333333333335,0.6666666666666666,0.7048547894379774,0.23115827318826973,0.4304578690696584,0.20336697368437862,2.5702004852474336,1.3633061474778503,4.923037954952848,1.1199854093122317,0.8076323701656349,0.05627572055894344,0.14812933839791184,1.0,0.15969967713950972,3.5297927279092263,1.1194590202263728,0.05430048384356023,0.145166483324837,0.6666666666666666,0.13935576108579248,3.3333333333333335,1.4233618233618237,1.0904295652695652
731829,366,614,4,2013,0,Netherlands,Brazil,2014-07-12 21:00:00.000000,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.5986018518518518,0.1700238095238095,0.25041402116402117,0.07465873015873016,0.9722102288477922,0.590489025065847,4.865287037037037,0.9690343915343914,0.8322584529753961,0.074489417989418,0.10272486772486772,1.3333333333333333,0.13796428571428568,3.0328703703703703,0.9530383597883598,0.020256613756613754,0.10746031746031746,2.6666666666666665,0.09582275132275132,0.6666666666666666,1.4661616161616162,1.1107986167846897
731829,614,366,4,2013,1,Brazil,Netherlands,2014-07-12 21:00:00.000000,1.3333333333333333,1.3333333333333333,3.0,0.49332841491979496,0.20519105152341788,0.6227873316162812,0.24282510921813985,1.6261399613228713,1.4818630642780197,3.314994026556397,0.9655893215777178,0.7659527337852056,0.06329816060441838,0.19235125973625766,2.3333333333333335,0.18503891467007919,3.575743600789672,1.0498914722402743,0.05271497363975166,0.22371293195551867,1.6666666666666667,0.1375332379688218,1.0476190476190477,1.336882610566821,1.012560778972451
731828,366,632,4,2013,0,Netherlands,Argentina,2014-07-09 21:00:00.000000,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.4720355436081243,0.15069764464925758,0.2647796125618706,0.0785010240655402,1.4443742190815279,0.4114246610948559,3.834864097968937,1.0136222051544632,0.7655946911181255,0.07099121010411333,0.1262374125277351,1.0,0.1552259344598054,3.3898596176821982,1.0245509045912273,0.03467955282471411,0.15706605222734255,2.6666666666666665,0.09249658644819936,1.3333333333333333,1.7022727272727272,1.0254256457774875
731828,632,366,4,2013,1,Argentina,Netherlands,2014-07-09 21:00:00.000000,3.0,1.6666666666666667,0.6666666666666666,0.5103565365025468,0.17591963780418787,0.418939822674967,0.1527636295038672,1.9059696337240544,0.7598224357363069,4.279485002829655,1.034955668741747,0.800934520671154,0.08848330503678552,0.18442746651575173,1.3333333333333333,0.1775608375778155,2.9927183550273533,0.9928221090360309,0.041812865497076024,0.10490473495566875,2.0,0.11842105263157894,1.1666666666666667,1.4777777777777779,1.0740353750314315
731827,357,614,4,2013,0,Germany,Brazil,2014-07-08 21:00:00.000000,3.0,1.3333333333333333,0.3333333333333333,0.7944425066852693,0.20579002441576563,0.3104846523222481,0.13656639075476346,1.8364988279698438,0.7479686313573052,5.74822695035461,1.0775491221950935,0.8278621717556381,0.04859900011626555,0.16102778746657365,1.3333333333333333,0.15451691663760028,3.2072514698840973,1.0733366837814557,0.0358279169838966,0.12614249655891474,1.0,0.08775861271445055,1.3333333333333333,2.235911074740862,1.120409869752359
731827,614,357,4,2013,1,Brazil,Germany,2014-07-08 21:00:00.000000,2.3333333333333335,2.3333333333333335,1.0,0.4252121340375566,0.19116252685659532,0.43932540347350196,0.14653487463003292,1.9686679918803145,0.628712163548509,3.072144677324069,0.9379219534848179,0.7617962261804222,0.06247982999885373,0.19071459852512837,2.0,0.18648073526083597,2.8796560004467526,1.0110012844139165,0.055676551069414194,0.2507957781873011,2.6666666666666665,0.12880437817613224,2.3333333333333335,1.4360889597731703,1.0339466401429471
731825,838,366,4,2013,0,Costa Rica,Netherlands,2014-07-05 21:00:00.000000,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.2785058243727599,0.10357862903225806,0.3690356182795698,0.14331317204301075,0.43283492876559615,1.1402907971881244,3.0145609318996414,1.0381664426523296,0.7408859578579926,0.03648633512544803,0.13485663082437277,2.6666666666666665,0.08501344086021506,4.741011424731183,0.9182627688172044,0.06807235663082438,0.20424507168458783,2.0,0.13841285842293907,0.6666666666666666,0.6481481481481481,0.8906278320179416
731825,366,838,4,2013,1,Netherlands,Costa Rica,2014-07-05 21:00:00.000000,3.0,2.3333333333333335,1.0,0.37107974910394265,0.10640681003584229,0.36189516129032256,0.09923835125448029,1.545913172885146,0.6986075218258293,3.4537410394265238,1.0396505376344085,0.748953077724077,0.04905913978494624,0.1563620071684588,0.6666666666666666,0.141913082437276,4.008736559139785,1.0894937275985663,0.04278673835125448,0.2069892473118279,1.6666666666666667,0.09923835125448029,1.8333333333333333,1.4416666666666667,0.9608485775735632
