Actor,Capability,Position,Salience
Jalili,0.24,1,70
Haddad,0.08,2,100
Gharazi,0.01,4,100
Rezayi,0.20,4,60
Ghalibaf,0.64,5,100
Velayati,0.07,5,25
Ruhani,0.21,8,100
Aref,0.30,10,70
