Actor,Capability,Position,Salience
Mugabe,338.6,100,95
Tsvangirai,110.0,5,95
Electoral,30.0,95,90
Khupe,58.6,5,90
Matambara,73.3,45,90
Biti,66.0,5,90
ZAPU,44.0,15,90
UPP,29.3,50,90
ZPDP,29.3,50,90
Veterans,20.0,90,90
Motlanthe,108.0,50,65
Mbeki,92.0,50,50
Angola,27.0,35,40
Botswana,37.5,30,45
Lesotho,7.5,50,40
Malawi,15.0,65,40
Mozambique,52.5,50,45
Swaziland,7.5,50,40
Tanzania,41.0,30,45
Zambia,52.5,30,45
Namibia,45.0,50,45
Mauritius,18.0,50,30
DRCongo,22.5,50,20
Madagascar,7.5,50,35
Seychelles,7.5,50,30
AU,100.0,42,40
UN,60.0,50,20
EU,80.0,15,20
USA,100.0,15,20
UK,45.0,15,25
IMF,40.0,25,20
WorldBank,30.0,30,20
