ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.3783;1.2067;9.3278;3.1;22.324;40.969685;29.070023;332.26;NaN;2.81;74.19355;204.0;8 / 11;14;2019-08-04 23:36:39:100
0.0239;2.4181;9.1028;3.1;23.991;40.96966;29.070007;335.48;NaN;3.31;59.67742;202.6;8 / 12;1014;2019-08-04 23:36:40:100
-0.0335;2.2649;9.3182;3.1;27.355;40.969673;29.07002;335.48;NaN;4.18;62.903225;193.5;8 / 12;2013;2019-08-04 23:36:41:099
1.063;0.6273;8.0685;3.1;29.239;40.969677;29.070028;338.71;NaN;0.0;59.67742;0.0;7 / 12;3013;2019-08-04 23:36:42:099
0.5363;1.834;10.6255;3.1;28.621;40.969677;29.070028;338.71;NaN;0.0;59.67742;0.0;7 / 12;4013;2019-08-04 23:36:43:099
-0.1293;0.1963;10.7835;3.1;32.206;40.96968;29.070038;338.71;NaN;2.38;51.612904;194.1;6 / 12;5014;2019-08-04 23:36:44:100
0.1915;2.7102;9.1459;3.1;31.596;40.969673;29.070042;341.94;NaN;3.85;50.0;197.8;5 / 12;6014;2019-08-04 23:36:45:100
-0.6081;1.4988;9.0022;3.1;41.877;40.969658;29.070053;338.71;NaN;7.16;64.51613;184.1;5 / 12;7013;2019-08-04 23:36:46:099
-0.3543;2.1404;9.7348;3.1;27.293;40.969658;29.070053;338.71;NaN;7.16;64.51613;184.1;0 / 12;8014;2019-08-04 23:36:47:100
0.2538;1.2881;8.7819;3.1;28.835;40.969658;29.070091;322.58;NaN;6.8;59.67742;173.6;9 / 12;9013;2019-08-04 23:36:48:099
1.5371;0.5267;9.6965;3.1;29.281;40.969658;29.070091;322.58;NaN;6.8;59.67742;173.6;0 / 11;10014;2019-08-04 23:36:49:100
0.2682;1.2737;9.6391;3.1;32.993;40.96964;29.070145;319.35;NaN;6.12;66.12903;158.1;9 / 11;11014;2019-08-04 23:36:50:100
1.0008;1.1396;9.2991;3.1;32.81;40.96964;29.070145;319.35;NaN;6.12;66.12903;158.1;0 / 11;12014;2019-08-04 23:36:51:100
0.6177;1.6855;7.3837;3.1;28.225;40.96968;29.070225;319.35;NaN;14.65;98.38709;131.8;7 / 11;13013;2019-08-04 23:36:52:099
0.3017;1.2881;13.4889;3.1;34.181;40.96968;29.070225;319.35;NaN;14.65;98.38709;131.8;4 / 11;14013;2019-08-04 23:36:53:099
1.1444;0.9673;6.6224;3.1;28.46;40.96968;29.070225;319.35;NaN;14.65;98.38709;131.8;0 / 11;15014;2019-08-04 23:36:54:100
0.4741;1.4653;8.0206;3.1;33.952;40.96968;29.070225;319.35;NaN;14.65;98.38709;131.8;9 / 11;16014;2019-08-04 23:36:55:100
-0.2203;2.8874;8.9399;3.1;25.783;40.96968;29.070225;319.35;NaN;14.65;98.38709;131.8;6 / 11;17014;2019-08-04 23:36:56:100
0.6847;0.5698;9.3805;3.1;24.848;40.969578;29.070316;351.61;NaN;5.22;69.35484;159.0;7 / 11;18014;2019-08-04 23:36:57:100
-0.0287;1.9824;9.572;3.1;24.06;40.969566;29.070305;351.61;NaN;2.41;67.741936;166.6;8 / 10;19014;2019-08-04 23:36:58:100
0.8428;1.1301;9.1459;3.1;36.975;40.969566;29.070286;348.39;NaN;3.2;64.51613;179.8;8 / 10;20014;2019-08-04 23:36:59:100
0.0144;1.8196;9.3661;3.1;26.905;40.96959;29.07026;351.61;NaN;3.38;62.903225;191.0;9 / 11;21013;2019-08-04 23:37:00:099
0.1197;1.8483;9.5624;3.1;23.906;40.969604;29.070232;354.84;NaN;2.45;61.290325;203.9;10 / 11;22014;2019-08-04 23:37:01:100
