Date,pep,ko
2008-01-18,71.46,60.74
2008-01-17,72.1,62.04
2008-01-16,73.54,62.65
2008-01-15,74.83,63.61
2008-01-14,76.92,64.3
2008-01-11,77.78,63.77
2008-01-10,79.57,65.56
2008-01-09,78.74,65.27
2008-01-08,77.94,63.57
2008-01-07,77.32,63.31
2008-01-04,75.55,61.85
2008-01-03,75.78,61.73
2008-01-02,75.29,61.09
2007-12-31,75.9,61.37
2007-12-28,77.03,62.27
2007-12-27,76.7,62.3
2007-12-26,77.28,63.01
2007-12-24,77.71,63.21
2007-12-21,77.35,63.07
2007-12-20,76.49,62.28
2007-12-19,76.79,62.85
2007-12-18,77.02,62.22
2007-12-17,77.37,62.47
2007-12-14,78.46,63.81
2007-12-13,78.69,64.09
2007-12-12,78.09,63.77
2007-12-11,76.48,62.97
2007-12-10,77.28,63.27
2007-12-07,77.0,63.15
2007-12-06,77.03,63.07
2007-12-05,76.27,63.05
2007-12-04,76.28,62.75
2007-12-03,76.21,62.2
2007-11-30,76.8,62.1
2007-11-29,76.17,62.79
2007-11-28,76.78,62.99
2007-11-27,75.55,62.64
2007-11-26,74.32,61.4
2007-11-23,75.14,61.96
2007-11-21,74.67,61.91
2007-11-20,74.47,62.45
2007-11-19,74.71,61.96
2007-11-16,73.79,62.28
2007-11-15,73.22,61.62
2007-11-14,73.7,61.03
2007-11-13,72.98,60.71
2007-11-12,72.21,59.54
2007-11-09,73.12,60.5
2007-11-08,73.14,61.14
2007-11-07,71.99,59.64
2007-11-06,73.13,60.68
2007-11-05,72.4,60.01
2007-11-02,72.62,60.18
2007-11-01,72.04,60.57
2007-10-31,73.36,61.43
2007-10-30,73.48,61.4
2007-10-29,73.34,61.51
2007-10-26,71.99,61.24
2007-10-25,71.63,60.97
2007-10-24,71.45,59.86
2007-10-23,71.18,59.43
2007-10-22,70.82,58.93
2007-10-19,70.06,58.44
2007-10-18,71.53,59.04
2007-10-17,71.76,58.77
2007-10-16,71.52,57.45
2007-10-15,71.0,57.33
2007-10-12,71.43,57.49
2007-10-11,71.42,56.88
2007-10-10,73.24,57.56
2007-10-09,72.85,57.57
2007-10-08,73.55,57.49
