DATE,A4102C1A027NBEA,GDP,CMDEBT,NCBDBIQ027S,POPTOTUSA647NWDB,LNS11300060
1970-01-01,551.537,1053.528,454.74,157113.0,205052000.0,72.0
1970-02-01,,,,,,72.0
1970-03-01,,,,,,72.2
1970-04-01,,1070.11,454.82,162692.0,,72.3
1970-05-01,,,,,,71.9
1970-06-01,,,,,,72.1
1970-07-01,,1088.461,462.11,168518.0,,72.2
1970-08-01,,,,,,72.1
1970-09-01,,,,,,71.8
1970-10-01,,1091.462,467.16,173889.0,,72.1
1970-11-01,,,,,,72.2
1970-12-01,,,,,,72.1
1971-01-01,584.528,1137.812,479.21,180555.0,207661000.0,72.1
1971-02-01,,,,,,72.1
1971-03-01,,,,,,71.9
1971-04-01,,1159.355,486.22,184497.0,,71.9
1971-05-01,,,,,,72.0
1971-06-01,,,,,,72.0
1971-07-01,,1180.313,498.74,188691.0,,71.9
1971-08-01,,,,,,72.0
1971-09-01,,,,,,72.1
1971-10-01,,1193.585,511.31,191896.0,,72.1
1971-11-01,,,,,,72.2
1971-12-01,,,,,,72.1
1972-01-01,638.786,1233.807,527.75,196002.0,209896000.0,72.1
1972-02-01,,,,,,72.1
1972-03-01,,,,,,72.4
1972-04-01,,1270.122,540.9,200569.0,,72.2
1972-05-01,,,,,,72.3
1972-06-01,,,,,,72.3
1972-07-01,,1293.837,555.45,203414.0,,72.3
1972-08-01,,,,,,72.3
1972-09-01,,,,,,72.2
1972-10-01,,1332.023,571.27,205352.0,,72.1
1972-11-01,,,,,,72.0
1972-12-01,,,,,,72.3
1973-01-01,708.775,1380.68,593.83,206028.0,211909000.0,72.2
1973-02-01,,,,,,72.6
1973-03-01,,,,,,72.6
1973-04-01,,1417.595,605.47,209771.0,,72.7
1973-05-01,,,,,,72.7
1973-06-01,,,,,,72.9
1973-07-01,,1436.813,623.27,213220.0,,73.0
1973-08-01,,,,,,72.8
1973-09-01,,,,,,72.9
1973-10-01,,1479.069,636.68,217721.0,,73.1
1973-11-01,,,,,,73.3
1973-12-01,,,,,,73.3
1974-01-01,772.304,1494.654,652.43,222690.0,213854000.0,73.5
1974-02-01,,,,,,73.5
1974-03-01,,,,,,73.4
1974-04-01,,1534.22,664.99,229232.0,,73.3
1974-05-01,,,,,,73.4
1974-06-01,,,,,,73.6
1974-07-01,,1563.396,680.99,236357.0,,73.8
1974-08-01,,,,,,73.6
1974-09-01,,,,,,73.7
1974-10-01,,1603.004,690.67,243170.0,,73.8
1974-11-01,,,,,,73.8
1974-12-01,,,,,,73.8
1975-01-01,814.881,1619.553,703.09,254526.0,215973000.0,73.9
1975-02-01,,,,,,73.5
1975-03-01,,,,,,73.8
1975-04-01,,1656.448,708.69,261258.0,,73.9
1975-05-01,,,,,,74.0
1975-06-01,,,,,,74.2
1975-07-01,,1713.812,725.59,265658.0,,74.1
1975-08-01,,,,,,74.3
1975-09-01,,,,,,74.3
1975-10-01,,1765.867,745.48,270077.0,,74.5
1975-11-01,,,,,,74.2
1975-12-01,,,,,,74.1
1976-01-01,899.782,1824.509,769.7,278165.0,218035000.0,74.3
1976-02-01,,,,,,74.3
1976-03-01,,,,,,74.4
1976-04-01,,1856.944,788.18,284516.0,,74.7
1976-05-01,,,,,,74.6
1976-06-01,,,,,,74.9
1976-07-01,,1890.5,809.24,290157.0,,75.1
1976-08-01,,,,,,75.1
1976-09-01,,,,,,75.1
1976-10-01,,1938.413,833.93,296826.0,,75.1
1976-11-01,,,,,,75.2
1976-12-01,,,,,,75.3
1977-01-01,994.22,1992.534,866.85,306027.0,220239000.0,75.1
1977-02-01,,,,,,75.3
1977-03-01,,,,,,75.5
1977-04-01,,2060.165,898.18,312705.0,,75.6
1977-05-01,,,,,,75.7
1977-06-01,,,,,,75.8
1977-07-01,,2122.387,932.03,320704.0,,75.7
1977-08-01,,,,,,75.8
1977-09-01,,,,,,75.9
1977-10-01,,2168.716,963.92,329676.0,,76.0
1977-11-01,,,,,,76.3
1977-12-01,,,,,,76.3
1978-01-01,1120.669,2208.688,1004.57,336357.0,222585000.0,76.5
1978-02-01,,,,,,76.5
1978-03-01,,,,,,76.6
1978-04-01,,2336.563,1047.32,345610.0,,76.7
1978-05-01,,,,,,76.8
1978-06-01,,,,,,76.7
1978-07-01,,2398.866,1089.17,353531.0,,76.9
1978-08-01,,,,,,76.7
1978-09-01,,,,,,77.1
1978-10-01,,2482.159,1124.74,361147.0,,77.3
1978-11-01,,,,,,77.4
1978-12-01,,,,,,77.5
1979-01-01,1253.385,2531.555,1170.36,370006.0,225055000.0,77.5
1979-02-01,,,,,,77.7
1979-03-01,,,,,,77.7
1979-04-01,,2595.909,1209.48,380512.0,,77.4
1979-05-01,,,,,,77.4
1979-06-01,,,,,,77.6
1979-07-01,,2670.388,1252.8,390286.0,,77.9
1979-08-01,,,,,,78.1
1979-09-01,,,,,,78.2
1979-10-01,,2730.705,1290.26,397461.0,,78.2
1979-11-01,,,,,,78.1
1979-12-01,,,,,,78.4
1980-01-01,1373.52,2796.523,1333.73,412059.0,227225000.0,78.7
1980-02-01,,,,,,78.7
1980-03-01,,,,,,78.6
